cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,415,1425.85%,4277.55,1y 56d 5h 6m,1y 56d 5h 6m
ADAUSDT Perpetual,801,1391.81%,167.02,63d 4h,63d 4h
ETHUSDT Perpetual,189,1270.83%,3812.50,1y 56d 5h 27m,1y 56d 5h 27m
DOGEUSDT Perpetual,68,1024.24%,178.22,1y 1d 20h 31m,1y 1d 20h 31m
CHZUSDT Perpetual,17,931.16%,2377.72,1y 29d 19h 27m,1y 29d 19h 27m
TRXUSDT Perpetual,51,877.00%,184.17,156d 5h 14m,156d 5h 14m
ETHUSDT Perpetual,0,819.34%,2023.77,1y 55d 11h 39m,1y 55d 11h 39m
ALICEUSDT Perpetual,11,819.16%,737.25,350d 5h 49m,350d 5h 49m
ANKRUSDT Perpetual,11,767.81%,76.78,321d 14h 48m,321d 14h 48m
BAKEUSDT Perpetual,17,726.10%,72.61,49d 20h 11m,49d 20h 11m
ETHUSDT Perpetual,0,705.10%,1917.88,1y 54d 20h 39m,1y 54d 20h 39m
XMRUSDT Perpetual,6,702.43%,4214.59,159d 7h 25m,159d 7h 25m
BTCUSDT Perpetual,36,640.73%,44.85,1y 33d 13h 11m,1y 33d 13h 11m
API3USDT Perpetual,19,639.91%,127.98,38d 17h 45m,38d 17h 45m
UNFIUSDT Perpetual,64,634.57%,126.91,30d 1h 24m,30d 1h 24m
XMRUSDT Perpetual,0,563.75%,1127.50,1y 25d 23h 44m,1y 25d 23h 44m
CRVUSDT Perpetual,0,502.72%,235.28,31d 21h 11m,31d 21h 11m
MATICUSDT Perpetual,1,488.37%,33.65,43d 16h 20m,43d 16h 20m
UNIUSDT Perpetual,0,473.16%,1481.02,1y 28d 19h 13m,1y 28d 19h 13m
BTCUSDT Perpetual,4,450.77%,121.71,22d 11h 20m,22d 11h 20m
BTCUSDT Perpetual,9,450.61%,121.67,22d 11h 20m,22d 11h 20m
BTCUSDT Perpetual,4,442.05%,221.03,1y 87d 16h 21m,1y 87d 16h 21m
LTCUSDT Perpetual,1,425.22%,1271.42,1y 28d 19h 11m,1y 28d 19h 11m
PEOPLEUSDT Perpetual,9,394.65%,32.64,43d 23h 8m,43d 23h 8m
ZECUSDT Perpetual,0,384.93%,192.47,140d 7h 40m,140d 7h 40m
LTCUSDT Perpetual,0,360.53%,93.27,246d 14h 34m,246d 14h 34m
ADAUSDT Perpetual,1,354.90%,23.92,63d 6h 10m,63d 6h 10m
KNCUSDT Perpetual,0,344.85%,862.15,1y 70d 4h 46m,1y 70d 4h 46m
LINKUSDT Perpetual,1,339.25%,274.12,62d 22h 9m,62d 22h 9m
ETHUSDT Perpetual,10,330.56%,47.17,30d 23h 29m,30d 23h 29m
BLZUSDT Perpetual,0,325.03%,97.51,154d 18h 59m,154d 18h 59m
ETHUSDT Perpetual,1,314.88%,314.89,13d 2h 35m,13d 2h 35m
GMTUSDT Perpetual,6,314.31%,471.47,14d 22h 27m,14d 22h 27m
KNCUSDT Perpetual,3,312.83%,312.83,22d 11h 4m,22d 11h 4m
TRXUSDT Perpetual,2,312.70%,400.26,178d 2h 53m,178d 2h 53m
