cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,440,1440.07%,4320.24,1y 58d 5h 6m,1y 58d 5h 6m
ADAUSDT Perpetual,888,1394.39%,167.33,65d 4h,65d 4h
ETHUSDT Perpetual,198,1320.36%,3961.08,1y 58d 5h 27m,1y 58d 5h 27m
DOGEUSDT Perpetual,72,1025.28%,178.40,1y 3d 20h 31m,1y 3d 20h 31m
CHZUSDT Perpetual,17,960.13%,2451.71,1y 31d 19h 27m,1y 31d 19h 27m
ETHUSDT Perpetual,9,887.10%,2191.14,1y 57d 11h 39m,1y 57d 11h 39m
TRXUSDT Perpetual,53,882.61%,185.35,158d 5h 14m,158d 5h 14m
BAKEUSDT Perpetual,19,878.69%,87.87,51d 20h 11m,51d 20h 11m
ALICEUSDT Perpetual,11,819.16%,737.25,352d 5h 49m,352d 5h 49m
UNFIUSDT Perpetual,68,797.96%,159.59,32d 1h 24m,32d 1h 24m
ANKRUSDT Perpetual,11,772.75%,77.28,323d 14h 48m,323d 14h 48m
ETHUSDT Perpetual,0,763.44%,2076.56,1y 56d 20h 39m,1y 56d 20h 39m
XMRUSDT Perpetual,7,746.66%,4479.99,161d 7h 25m,161d 7h 25m
XMRUSDT Perpetual,0,661.54%,1323.10,1y 27d 23h 44m,1y 27d 23h 44m
BTCUSDT Perpetual,36,640.73%,44.85,1y 35d 13h 11m,1y 35d 13h 11m
MATICUSDT Perpetual,2,625.18%,43.08,45d 16h 20m,45d 16h 20m
BTCUSDT Perpetual,15,527.56%,142.44,24d 11h 19m,24d 11h 19m
UNIUSDT Perpetual,0,526.88%,1649.15,1y 30d 19h 13m,1y 30d 19h 13m
BTCUSDT Perpetual,7,525.32%,141.84,24d 11h 20m,24d 11h 20m
CRVUSDT Perpetual,0,502.72%,235.28,33d 21h 11m,33d 21h 11m
BTCUSDT Perpetual,4,446.81%,223.41,1y 89d 16h 21m,1y 89d 16h 21m
LTCUSDT Perpetual,1,444.61%,1329.40,1y 30d 19h 11m,1y 30d 19h 11m
ZECUSDT Perpetual,0,424.61%,212.31,142d 7h 40m,142d 7h 40m
KNCUSDT Perpetual,4,412.70%,412.70,24d 11h 4m,24d 11h 4m
PEOPLEUSDT Perpetual,10,407.07%,33.67,45d 23h 8m,45d 23h 8m
ZRXUSDT Perpetual,9,388.44%,19.42,18d 15h 27m,18d 15h 27m
BTCUSDT Perpetual,7,387.64%,257.09,32d 11h 39m,32d 11h 39m
GMTUSDT Perpetual,13,370.42%,22.23,20d 1h 9m,20d 1h 9m
ADAUSDT Perpetual,1,363.40%,24.49,65d 6h 10m,65d 6h 10m
LTCUSDT Perpetual,0,360.53%,93.27,248d 14h 34m,248d 14h 34m
KNCUSDT Perpetual,0,356.25%,890.64,1y 72d 4h 46m,1y 72d 4h 46m
LINKUSDT Perpetual,1,353.12%,285.32,64d 22h 9m,64d 22h 9m
ETHUSDT Perpetual,0,347.28%,31.26,21d 21h 46m,21d 21h 46m
ETHUSDT Perpetual,2,344.25%,55.08,21d 4h 9m,21d 4h 9m
BLZUSDT Perpetual,0,342.55%,102.77,156d 18h 59m,156d 18h 59m
GMTUSDT Perpetual,7,337.50%,506.26,16d 22h 27m,16d 22h 27m
XEMUSDT Perpetual,28,322.03%,64.41,13d 7h 52m,13d 7h 52m
EOSUSDT Perpetual,0,317.85%,635.70,33d 10h 52m,33d 10h 52m
TRXUSDT Perpetual,2,316.98%,405.74,180d 2h 53m,180d 2h 53m
EOSUSDT Perpetual,2,316.74%,95.02,17d 19h 27m,17d 19h 27m
1000SHIBUSDT Perpetual,5,316.46%,31.65,21d 16h 13m,21d 16h 13m
ETHBUSD Perpetual,3,313.24%,5.79,20d 10h 18m,20d 10h 18m
TRXUSDT Perpetual,0,311.07%,155.54,105d 19h 41m,105d 19h 41m
ARUSDT Perpetual,0,309.77%,278.79,142d 7h 44m,142d 7h 44m
ALPHAUSDT Perpetual,1,307.71%,8.31,24d 23h 40m,24d 23h 40m
APEUSDT Perpetual,0,307.49%,30.75,18d 3h 52m,18d 3h 52m
