cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,425,1445.07%,4335.23,1y 56d 19h 6m,1y 56d 19h 6m
ADAUSDT Perpetual,829,1378.38%,165.41,63d 18h,63d 18h
ETHUSDT Perpetual,192,1317.83%,3953.52,1y 56d 19h 27m,1y 56d 19h 27m
DOGEUSDT Perpetual,70,1025.45%,178.43,1y 2d 10h 31m,1y 2d 10h 31m
CHZUSDT Perpetual,17,955.78%,2440.58,1y 30d 9h 27m,1y 30d 9h 27m
ETHUSDT Perpetual,0,884.48%,2184.68,1y 56d 1h 39m,1y 56d 1h 39m
TRXUSDT Perpetual,51,882.35%,185.29,156d 19h 14m,156d 19h 14m
ALICEUSDT Perpetual,11,819.16%,737.25,350d 19h 49m,350d 19h 49m
BAKEUSDT Perpetual,17,794.98%,79.50,50d 10h 11m,50d 10h 11m
ANKRUSDT Perpetual,11,773.96%,77.40,322d 4h 49m,322d 4h 49m
UNFIUSDT Perpetual,65,771.73%,154.35,30d 15h 25m,30d 15h 25m
ETHUSDT Perpetual,0,761.19%,2070.44,1y 55d 10h 40m,1y 55d 10h 40m
XMRUSDT Perpetual,7,733.45%,4400.75,159d 21h 25m,159d 21h 25m
BTCUSDT Perpetual,36,640.73%,44.85,1y 34d 3h 11m,1y 34d 3h 11m
XMRUSDT Perpetual,0,630.90%,1261.82,1y 26d 13h 44m,1y 26d 13h 44m
MATICUSDT Perpetual,1,605.39%,41.71,44d 6h 20m,44d 6h 20m
API3USDT Perpetual,19,596.33%,119.27,39d 7h 45m,39d 7h 45m
UNIUSDT Perpetual,0,529.97%,1658.81,1y 29d 9h 13m,1y 29d 9h 13m
BTCUSDT Perpetual,5,504.25%,136.15,23d 1h 20m,23d 1h 20m
BTCUSDT Perpetual,10,503.33%,135.90,23d 1h 20m,23d 1h 20m
CRVUSDT Perpetual,0,502.72%,235.28,32d 11h 11m,32d 11h 11m
GMTUSDT Perpetual,8,476.00%,28.56,18d 15h 9m,18d 15h 9m
BTCUSDT Perpetual,4,446.64%,223.32,1y 88d 6h 21m,1y 88d 6h 21m
LTCUSDT Perpetual,1,444.21%,1328.19,1y 29d 9h 11m,1y 29d 9h 11m
PEOPLEUSDT Perpetual,10,412.88%,34.15,44d 13h 8m,44d 13h 8m
ZECUSDT Perpetual,0,408.73%,204.37,140d 21h 40m,140d 21h 40m
BTCUSDT Perpetual,7,377.31%,250.23,31d 1h 39m,31d 1h 39m
KNCUSDT Perpetual,3,372.69%,372.70,23d 1h 4m,23d 1h 4m
ADAUSDT Perpetual,1,365.14%,24.61,63d 20h 10m,63d 20h 10m
BTCUSDT Perpetual,1,365.06%,38.84,20d 19h 11m,20d 19h 11m
LTCUSDT Perpetual,0,360.53%,93.27,247d 4h 34m,247d 4h 34m
LINKUSDT Perpetual,1,355.36%,287.13,63d 12h 9m,63d 12h 9m
KNCUSDT Perpetual,0,353.85%,884.64,1y 70d 18h 46m,1y 70d 18h 46m
ZRXUSDT Perpetual,8,347.66%,17.38,17d 5h 27m,17d 5h 27m
BLZUSDT Perpetual,0,343.19%,102.96,155d 8h 59m,155d 8h 59m
ETHUSDT Perpetual,0,323.68%,29.13,20d 11h 46m,20d 11h 46m
APEUSDT Perpetual,0,322.16%,32.22,16d 17h 52m,16d 17h 52m
EOSUSDT Perpetual,0,320.03%,640.06,32d 52m,32d 52m
TRXUSDT Perpetual,2,317.38%,406.25,178d 16h 53m,178d 16h 53m
ETHUSDT Perpetual,2,315.54%,50.49,19d 18h 9m,19d 18h 9m
TRXUSDT Perpetual,0,311.80%,155.90,104d 9h 41m,104d 9h 41m
ARUSDT Perpetual,0,310.57%,279.51,140d 21h 44m,140d 21h 44m
SNXUSDT Perpetual,47,307.89%,18.72,24d 4h 6m,24d 4h 6m
AVAXUSDT Perpetual,0,307.43%,676.35,239d 7h 38m,239d 7h 38m
EOSUSDT Perpetual,2,303.04%,90.91,16d 9h 27m,16d 9h 27m
1000SHIBUSDT Perpetual,5,300.01%,30.00,20d 6h 13m,20d 6h 13m
SOLUSDT Perpetual,3,295.40%,24.43,27d 6h 56m,27d 6h 56m
ETHUSDT Perpetual,10,293.69%,41.91,31d 13h 30m,31d 13h 30m
GMTUSDT Perpetual,6,288.42%,432.63,15d 12h 27m,15d 12h 27m
ETHBUSD Perpetual,2,286.31%,5.30,19d 18m,19d 18m
UNIUSDT Perpetual,0,285.90%,48.60,61d 15h 51m,61d 15h 51m
TRBUSDT Perpetual,5,282.78%,145.49,34d 9h 35m,34d 9h 35m
ALPHAUSDT Perpetual,1,278.96%,7.53,23d 13h 40m,23d 13h 40m
TLMBUSD Perpetual,1,275.40%,413.11,28d 19h 25m,28d 19h 25m
DOTUSDT Perpetual,0,275.12%,14.50,29d 13h 15m,29d 13h 15m
JASMYUSDT Perpetual,0,274.50%,13.18,31d 5h 37m,31d 5h 37m
AXSUSDT Perpetual,2,266.14%,139.89,25d 1h 37m,25d 1h 37m
BTCBUSD Perpetual,16,262.49%,21.45,26d 16h 38m,26d 16h 38m
