cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,431,1444.23%,4332.71,1y 57d 11h 6m,1y 57d 11h 6m
ADAUSDT Perpetual,859,1388.32%,166.60,64d 10h,64d 10h
ETHUSDT Perpetual,194,1330.52%,3991.58,1y 57d 11h 27m,1y 57d 11h 27m
DOGEUSDT Perpetual,72,1025.83%,178.50,1y 3d 2h 31m,1y 3d 2h 31m
CHZUSDT Perpetual,17,960.35%,2452.25,1y 31d 1h 27m,1y 31d 1h 27m
ETHUSDT Perpetual,9,902.85%,2230.06,1y 56d 17h 38m,1y 56d 17h 38m
TRXUSDT Perpetual,52,883.13%,185.46,157d 11h 13m,157d 11h 13m
BAKEUSDT Perpetual,17,868.27%,86.83,51d 2h 11m,51d 2h 11m
ALICEUSDT Perpetual,11,819.16%,737.25,351d 11h 49m,351d 11h 49m
ETHUSDT Perpetual,0,777.00%,2113.47,1y 56d 2h 39m,1y 56d 2h 39m
ANKRUSDT Perpetual,11,774.81%,77.48,322d 20h 48m,322d 20h 48m
UNFIUSDT Perpetual,66,745.30%,149.06,31d 7h 24m,31d 7h 24m
XMRUSDT Perpetual,7,733.62%,4401.72,160d 13h 25m,160d 13h 25m
BTCUSDT Perpetual,36,640.73%,44.85,1y 34d 19h 11m,1y 34d 19h 11m
XMRUSDT Perpetual,0,629.29%,1258.59,1y 27d 5h 43m,1y 27d 5h 43m
MATICUSDT Perpetual,2,616.28%,42.46,44d 22h 20m,44d 22h 20m
API3USDT Perpetual,19,591.80%,118.36,39d 23h 45m,39d 23h 45m
BTCUSDT Perpetual,6,519.88%,140.37,23d 17h 20m,23d 17h 20m
BTCUSDT Perpetual,10,519.82%,140.35,23d 17h 19m,23d 17h 19m
UNIUSDT Perpetual,0,511.03%,1599.55,1y 30d 1h 13m,1y 30d 1h 13m
CRVUSDT Perpetual,0,502.72%,235.28,33d 3h 11m,33d 3h 11m
GMTUSDT Perpetual,9,480.40%,28.82,19d 7h 9m,19d 7h 9m
BTCUSDT Perpetual,4,447.87%,223.94,1y 88d 22h 21m,1y 88d 22h 21m
LTCUSDT Perpetual,1,446.23%,1334.24,1y 30d 1h 11m,1y 30d 1h 11m
ZECUSDT Perpetual,0,411.53%,205.77,141d 13h 40m,141d 13h 40m
PEOPLEUSDT Perpetual,10,411.10%,34.00,45d 5h 8m,45d 5h 8m
KNCUSDT Perpetual,3,410.51%,410.52,23d 17h 4m,23d 17h 4m
BTCUSDT Perpetual,7,397.82%,263.84,31d 17h 39m,31d 17h 39m
