cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,387,1427.91%,4283.74,1y 53d 16h 6m,1y 53d 16h 6m
ADAUSDT Perpetual,714,1348.46%,161.82,60d 15h,60d 15h
ETHUSDT Perpetual,175,1291.99%,3875.98,1y 53d 16h 27m,1y 53d 16h 27m
DOGEUSDT Perpetual,61,1026.16%,178.55,364d 7h 31m,364d 7h 31m
CHZUSDT Perpetual,17,963.31%,2459.83,1y 27d 6h 27m,1y 27d 6h 27m
TRXUSDT Perpetual,48,873.74%,183.49,153d 16h 13m,153d 16h 13m
ETHUSDT Perpetual,0,850.35%,2100.39,1y 52d 22h 38m,1y 52d 22h 38m
BAKEUSDT Perpetual,11,836.56%,83.66,47d 7h 11m,47d 7h 11m
ALICEUSDT Perpetual,9,819.16%,737.25,347d 16h 49m,347d 16h 49m
ANKRUSDT Perpetual,6,775.72%,77.57,319d 1h 48m,319d 1h 48m
UNFIUSDT Perpetual,52,758.51%,151.70,27d 12h 24m,27d 12h 24m
ETHUSDT Perpetual,0,731.81%,1990.53,1y 52d 7h 39m,1y 52d 7h 39m
XMRUSDT Perpetual,5,711.56%,4269.41,156d 18h 25m,156d 18h 25m
BTCUSDT Perpetual,28,640.73%,44.85,1y 31d 11m,1y 31d 11m
XMRUSDT Perpetual,0,589.90%,1179.81,1y 23d 10h 43m,1y 23d 10h 43m
API3USDT Perpetual,14,533.62%,106.72,36d 4h 45m,36d 4h 45m
CRVUSDT Perpetual,0,502.72%,235.28,29d 8h 11m,29d 8h 11m
BTCUSDT Perpetual,3,445.69%,222.85,1y 85d 3h 20m,1y 85d 3h 20m
LTCUSDT Perpetual,1,438.86%,1312.20,1y 26d 6h 11m,1y 26d 6h 11m
UNIUSDT Perpetual,0,429.56%,1344.54,1y 26d 6h 13m,1y 26d 6h 13m
BTCUSDT Perpetual,5,421.52%,113.81,19d 22h 19m,19d 22h 19m
BTCUSDT Perpetual,2,415.74%,112.25,19d 22h 20m,19d 22h 20m
ZECUSDT Perpetual,0,412.61%,206.31,137d 18h 40m,137d 18h 40m
PEOPLEUSDT Perpetual,8,394.46%,32.62,41d 10h 8m,41d 10h 8m
DUSKUSDT Perpetual,3,375.76%,22.17,28d 10h 52m,28d 10h 52m
LTCUSDT Perpetual,0,360.53%,93.27,244d 1h 34m,244d 1h 34m
ADAUSDT Perpetual,1,359.53%,24.23,60d 17h 10m,60d 17h 10m
KNCUSDT Perpetual,0,350.57%,876.45,1y 67d 15h 46m,1y 67d 15h 46m
LINKUSDT Perpetual,1,348.57%,281.65,60d 9h 9m,60d 9h 9m
BLZUSDT Perpetual,0,343.98%,103.20,152d 5h 59m,152d 5h 59m
BTCUSDT Perpetual,7,336.32%,223.05,27d 22h 39m,27d 22h 39m
ETHUSDT Perpetual,4,333.75%,10.01,13d 13h 51m,13d 13h 51m
ZRXUSDT Perpetual,7,324.01%,16.20,14d 2h 27m,14d 2h 27m
KNCUSDT Perpetual,3,319.87%,319.87,19d 22h 4m,19d 22h 4m
TRXUSDT Perpetual,2,310.94%,398.01,175d 13h 53m,175d 13h 53m
AVAXUSDT Perpetual,0,307.43%,676.35,236d 4h 37m,236d 4h 37m
TRXUSDT Perpetual,0,307.30%,153.65,101d 6h 41m,101d 6h 41m
ETHUSDT Perpetual,4,303.94%,43.37,28d 10h 29m,28d 10h 29m
EOSUSDT Perpetual,0,301.29%,602.58,28d 21h 52m,28d 21h 52m
TRBUSDT Perpetual,4,293.24%,150.87,31d 6h 35m,31d 6h 35m
MATICUSDT Perpetual,0,289.73%,19.96,41d 3h 20m,41d 3h 20m
SOLUSDT Perpetual,2,287.21%,23.75,24d 3h 55m,24d 3h 55m
ARUSDT Perpetual,0,282.22%,254.00,137d 18h 44m,137d 18h 44m
SNXUSDT Perpetual,43,277.85%,16.89,21d 1h 6m,21d 1h 6m
BTSUSDT Perpetual,0,269.51%,35.04,21d 17h 13m,21d 17h 13m
UNIUSDT Perpetual,0,266.65%,45.33,58d 12h 50m,58d 12h 50m
DOTUSDT Perpetual,0,264.80%,13.96,26d 10h 15m,26d 10h 15m
BTCUSDT Perpetual,1,261.50%,27.82,17d 16h 10m,17d 16h 10m
DOTUSDT Perpetual,2,261.47%,789.64,61d 8h 15m,61d 8h 15m
1000SHIBUSDT Perpetual,5,261.23%,26.12,17d 3h 13m,17d 3h 13m
MASKUSDT Perpetual,0,258.97%,517.96,20d 20h,20d 20h
GMTUSDT Perpetual,5,256.79%,385.19,12d 9h 27m,12d 9h 27m
LINKUSDT Perpetual,0,256.61%,1283.07,62d 18h 54m,62d 18h 54m
ETHUSDT Perpetual,0,256.53%,11.54,21d 8h 23m,21d 8h 23m
THETAUSDT Perpetual,0,252.55%,101.02,27d 8h 31m,27d 8h 31m
LUNA2BUSD Perpetual,1,248.43%,273.28,27d 13h 3m,27d 13h 3m
APEUSDT Perpetual,0,247.46%,24.75,13d 14h 52m,13d 14h 52m
EOSUSDT Perpetual,0,245.30%,73.59,13d 6h 27m,13d 6h 27m
XMRUSDT Perpetual,1,244.94%,533.98,115d 12h 49m,115d 12h 49m
AXSUSDT Perpetual,1,244.19%,128.35,21d 22h 37m,21d 22h 37m
BNBUSDT Perpetual,0,239.39%,598.49,1y 76d 14h 19m,1y 76d 14h 19m
ATOMUSDT Perpetual,0,239.34%,81.38,230d 15h 4m,230d 15h 4m
IOSTUSDT Perpetual,2,237.88%,13.32,28d 3h 44m,28d 3h 44m
BTCBUSD Perpetual,13,236.83%,19.35,23d 13h 38m,23d 13h 38m
