cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,531,1501.69%,4505.09,1y 62d 8h 8m,1y 62d 8h 8m
ETHUSDT Perpetual,249,1470.53%,4411.60,1y 62d 8h 29m,1y 62d 8h 29m
ETHUSDT Perpetual,0,1343.42%,268.68,34d 14h 40m,34d 14h 40m
ADAUSDT Perpetual,1076,1194.45%,143.33,69d 7h 2m,69d 7h 2m
BAKEUSDT Perpetual,49,1145.37%,114.54,55d 23h 14m,55d 23h 14m
ETHUSDT Perpetual,13,1144.55%,2827.05,1y 61d 14h 41m,1y 61d 14h 41m
DOGEUSDT Perpetual,92,1031.45%,179.47,1y 7d 23h 33m,1y 7d 23h 33m
CHZUSDT Perpetual,22,1011.58%,2583.08,1y 35d 22h 29m,1y 35d 22h 29m
ETHUSDT Perpetual,0,984.63%,2678.20,1y 60d 23h 42m,1y 60d 23h 42m
TRXUSDT Perpetual,56,894.05%,187.75,162d 8h 16m,162d 8h 16m
UNFIUSDT Perpetual,93,880.07%,176.02,36d 4h 27m,36d 4h 27m
ALICEUSDT Perpetual,15,819.16%,737.25,356d 8h 51m,356d 8h 51m
ANKRUSDT Perpetual,12,806.85%,80.69,327d 17h 51m,327d 17h 51m
XMRUSDT Perpetual,7,776.02%,4656.13,165d 10h 27m,165d 10h 27m
XMRUSDT Perpetual,1,726.61%,1453.22,1y 32d 2h 46m,1y 32d 2h 46m
BTCUSDT Perpetual,43,640.73%,44.85,1y 39d 16h 13m,1y 39d 16h 13m
MATICUSDT Perpetual,5,628.70%,43.32,49d 19h 22m,49d 19h 22m
UNIUSDT Perpetual,0,562.56%,1760.82,1y 34d 22h 16m,1y 34d 22h 16m
ZRXUSDT Perpetual,14,548.13%,27.41,22d 18h 29m,22d 18h 29m
BTCUSDT Perpetual,8,524.74%,348.01,36d 14h 41m,36d 14h 41m
CRVUSDT Perpetual,0,502.72%,235.28,38d 13m,38d 13m
LTCUSDT Perpetual,1,492.15%,1471.54,1y 34d 22h 13m,1y 34d 22h 13m
PEOPLEUSDT Perpetual,11,487.73%,40.34,50d 2h 10m,50d 2h 10m
KNCUSDT Perpetual,6,478.39%,478.39,28d 14h 6m,28d 14h 6m
BTCUSDT Perpetual,5,466.07%,233.04,1y 93d 19h 23m,1y 93d 19h 23m
ZECUSDT Perpetual,0,451.14%,225.57,146d 10h 42m,146d 10h 42m
DOTUSDT Perpetual,2,448.07%,1353.19,70d 17m,70d 17m
DOTUSDT Perpetual,0,425.37%,22.42,35d 2h 17m,35d 2h 17m
BLZUSDT Perpetual,0,410.52%,123.16,160d 22h 1m,160d 22h 1m
LINKUSDT Perpetual,1,408.57%,330.13,69d 1h 12m,69d 1h 12m
EOSUSDT Perpetual,0,407.64%,815.30,37d 13h 55m,37d 13h 55m
ANTUSDT Perpetual,0,407.23%,61.09,34d 7h 26m,34d 7h 26m
APEUSDT Perpetual,0,399.68%,199.84,64d 4h 37m,64d 4h 37m
SNXUSDT Perpetual,66,378.64%,23.02,29d 17h 8m,29d 17h 8m
KNCUSDT Perpetual,0,375.12%,937.82,1y 76d 7h 49m,1y 76d 7h 49m
ADAUSDT Perpetual,3,372.46%,25.10,69d 9h 12m,69d 9h 12m
DOTUSDT Perpetual,0,366.67%,55.92,27d 20h 12m,27d 20h 12m
YFIUSDT Perpetual,1,361.92%,54.29,25d 8h 17m,25d 8h 17m
LTCUSDT Perpetual,2,360.53%,93.27,252d 17h 37m,252d 17h 37m
TRBUSDT Perpetual,5,356.30%,183.32,39d 22h 38m,39d 22h 38m
MASKUSDT Perpetual,0,344.71%,689.44,29d 12h 3m,29d 12h 3m
LTCUSDT Perpetual,0,343.16%,196.63,69d 23h 53m,69d 23h 53m
EOSUSDT Perpetual,4,327.68%,98.30,21d 22h 30m,21d 22h 30m
TRXUSDT Perpetual,2,326.75%,418.25,184d 5h 55m,184d 5h 55m
LINKUSDT Perpetual,1,326.40%,1632.03,71d 10h 56m,71d 10h 56m
KSMUSDT Perpetual,0,324.23%,674.41,70d 2m,70d 2m
ARUSDT Perpetual,0,322.16%,289.95,146d 10h 46m,146d 10h 46m
TRXUSDT Perpetual,0,318.52%,159.26,109d 22h 43m,109d 22h 43m
LUNA2BUSD Perpetual,1,317.58%,349.34,36d 5h 5m,36d 5h 5m
SANDUSDT Perpetual,1,312.10%,93.63,51d 19h 55m,51d 19h 55m
FTMBUSD Perpetual,1,312.00%,34.32,42d 13h 13m,42d 13h 13m
GALAUSDT Perpetual,1,309.81%,46.47,40d 21h 19m,40d 21h 19m
AVAXUSDT Perpetual,0,307.43%,676.35,244d 20h 40m,244d 20h 40m
MANAUSDT Perpetual,1,303.63%,60.73,40d 6m,40d 6m
ADAUSDT Perpetual,2,300.74%,3909.68,48d 16h 59m,48d 16h 59m
SANDUSDT Perpetual,0,297.53%,25.29,55d 17h 30m,55d 17h 30m
SOLUSDT Perpetual,3,295.40%,24.43,32d 19h 58m,32d 19h 58m
LUNA2BUSD Perpetual,5,295.00%,442.51,34d 12h 25m,34d 12h 25m
XRPUSDT Perpetual,2,290.92%,58.19,41d 1h 2m,41d 1h 2m
JASMYUSDT Perpetual,0,290.36%,13.94,36d 18h 39m,36d 18h 39m
BTCUSDT Perpetual,26,287.92%,77.74,28d 14h 22m,28d 14h 22m
UNIUSDT Perpetual,0,285.90%,48.60,67d 4h 53m,67d 4h 53m
KSMUSDT Perpetual,0,281.30%,472.59,38d 20h,38d 20h
BTSUSDT Perpetual,1,279.78%,282.59,59d 13h 44m,59d 13h 44m
ATOMUSDT Perpetual,0,275.63%,93.72,239d 7h 7m,239d 7h 7m
ETCUSDT Perpetual,1,274.11%,1233.53,80d 8h 48m,80d 8h 48m
FILUSDT Perpetual,0,270.80%,939.17,69d 1h 35m,69d 1h 35m
SUSHIUSDT Perpetual,1,269.34%,96.97,59d 6h 57m,59d 6h 57m
TLMBUSD Perpetual,1,260.10%,390.15,34d 8h 27m,34d 8h 27m
DOGEUSDT Perpetual,1,259.46%,37.36,55d 4h 16m,55d 4h 16m
BNBUSDT Perpetual,0,256.56%,641.40,1y 85d 6h 22m,1y 85d 6h 22m
ANCBUSD Perpetual,5,254.26%,76.28,30d 16h 17m,30d 16h 17m
IOSTUSDT Perpetual,2,253.57%,14.20,36d 19h 46m,36d 19h 46m
HNTUSDT Perpetual,1,247.27%,51.93,41d 15h 35m,41d 15h 35m
AVAXUSDT Perpetual,1,246.21%,238.83,54d 4h 41m,54d 4h 41m
API3USDT Perpetual,0,244.94%,30.37,20d 22h 26m,20d 22h 26m
ATOMUSDT Perpetual,0,243.82%,392.55,68d 15h 51m,68d 15h 51m
PEOPLEUSDT Perpetual,0,241.38%,1206.91,54d 1h 49m,54d 1h 49m
CRVUSDT Perpetual,0,239.96%,225.28,68d 16h 1m,68d 16h 1m
THETAUSDT Perpetual,0,237.74%,59.44,19d 4h 21m,19d 4h 21m
LITUSDT Perpetual,2,236.32%,1181.55,29d 20h 42m,29d 20h 42m
REEFUSDT Perpetual,0,232.87%,32.60,58d 3h 26m,58d 3h 26m
ADAUSDT Perpetual,0,226.28%,48.27,41d 3h 42m,41d 3h 42m
XRPUSDT Perpetual,21,225.36%,28171.18,1y 58d 21h 19m,1y 58d 21h 19m
GALBUSD Perpetual,0,222.62%,38.05,22d 4h 45m,22d 4h 45m
SOLBUSD Perpetual,2,222.59%,1112.96,40d 3h,40d 3h
ADABUSD Perpetual,1,220.55%,2840.77,67d 22h 36m,67d 22h 36m
LITUSDT Perpetual,0,220.38%,66.12,31d 13h 42m,31d 13h 42m
ETHUSDT Perpetual,3,218.17%,1271.97,38d 19h 31m,38d 19h 31m
GMTUSDT Perpetual,7,218.03%,8.70,37d 9h 15m,37d 9h 15m
ZILUSDT Perpetual,2,217.49%,18.49,21d 21h,21d 21h
ETHBUSD Perpetual,1,216.27%,4325.43,41d 33m,41d 33m
UNIUSDT Perpetual,0,216.04%,585.48,1y 60d 23h 39m,1y 60d 23h 39m
ADAUSDT Perpetual,0,212.64%,35.34,172d 15h 39m,172d 15h 39m
LITUSDT Perpetual,0,211.29%,38.41,31d 7h 16m,31d 7h 16m
ZILUSDT Perpetual,0,211.16%,2.32,100d 14h 25m,100d 14h 25m
STORJUSDT Perpetual,0,210.54%,63.16,30d 4h 33m,30d 4h 33m
LTCUSDT Perpetual,0,206.85%,1383.83,66d 22h 8m,66d 22h 8m
CRVUSDT Perpetual,0,205.88%,51.47,53d 21h 48m,53d 21h 48m
ETCUSDT Perpetual,0,205.35%,301.87,126d 22h 56m,126d 22h 56m
LTCUSDT Perpetual,0,205.23%,730.65,1y 47d 2h 50m,1y 47d 2h 50m
1000LUNCBUSD Perpetual,27,204.89%,33.09,18d 17h 5m,18d 17h 5m
CHRUSDT Perpetual,0,204.29%,204.29,41d 10h 50m,41d 10h 50m
TLMBUSD Perpetual,0,204.00%,51.00,40d 4h 32m,40d 4h 32m
DODOBUSD Perpetual,0,203.39%,711.87,39d 8h 53m,39d 8h 53m
DOGEUSDT Perpetual,1,201.14%,161.96,38d 12h 26m,38d 12h 26m
SNXUSDT Perpetual,0,198.91%,29.84,29d 23h 58m,29d 23h 58m
SANDUSDT Perpetual,0,197.21%,98.61,58d 19h 16m,58d 19h 16m
