cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,438,1446.09%,4338.28,1y 57d 19h 6m,1y 57d 19h 6m
ADAUSDT Perpetual,873,1384.95%,166.19,64d 18h,64d 18h
ETHUSDT Perpetual,198,1334.39%,4003.20,1y 57d 19h 27m,1y 57d 19h 27m
DOGEUSDT Perpetual,72,1025.78%,178.49,1y 3d 10h 31m,1y 3d 10h 31m
CHZUSDT Perpetual,17,961.34%,2454.79,1y 31d 9h 27m,1y 31d 9h 27m
ETHUSDT Perpetual,9,908.59%,2244.22,1y 57d 1h 39m,1y 57d 1h 39m
BAKEUSDT Perpetual,17,900.84%,90.08,51d 10h 11m,51d 10h 11m
TRXUSDT Perpetual,53,883.88%,185.62,157d 19h 13m,157d 19h 13m
ALICEUSDT Perpetual,11,819.16%,737.25,351d 19h 49m,351d 19h 49m
ETHUSDT Perpetual,0,781.94%,2126.89,1y 56d 10h 39m,1y 56d 10h 39m
ANKRUSDT Perpetual,11,775.72%,77.57,323d 4h 48m,323d 4h 48m
UNFIUSDT Perpetual,67,756.52%,151.30,31d 15h 24m,31d 15h 24m
XMRUSDT Perpetual,7,747.74%,4486.46,160d 21h 25m,160d 21h 25m
XMRUSDT Perpetual,0,665.08%,1330.18,1y 27d 13h 43m,1y 27d 13h 43m
BTCUSDT Perpetual,36,640.73%,44.85,1y 35d 3h 11m,1y 35d 3h 11m
MATICUSDT Perpetual,2,623.90%,42.99,45d 6h 20m,45d 6h 20m
API3USDT Perpetual,19,592.64%,118.53,40d 7h 45m,40d 7h 45m
BTCUSDT Perpetual,11,526.45%,142.14,24d 1h 19m,24d 1h 19m
BTCUSDT Perpetual,7,525.10%,141.78,24d 1h 20m,24d 1h 20m
UNIUSDT Perpetual,0,511.77%,1601.86,1y 30d 9h 13m,1y 30d 9h 13m
CRVUSDT Perpetual,0,502.72%,235.28,33d 11h 11m,33d 11h 11m
GMTUSDT Perpetual,13,449.53%,26.97,19d 15h 9m,19d 15h 9m
BTCUSDT Perpetual,4,448.13%,224.07,1y 89d 6h 21m,1y 89d 6h 21m
LTCUSDT Perpetual,1,447.34%,1337.55,1y 30d 9h 11m,1y 30d 9h 11m
KNCUSDT Perpetual,3,417.41%,417.42,24d 1h 4m,24d 1h 4m
ZECUSDT Perpetual,0,413.32%,206.66,141d 21h 40m,141d 21h 40m
PEOPLEUSDT Perpetual,10,412.72%,34.13,45d 13h 8m,45d 13h 8m
BTCUSDT Perpetual,7,402.87%,267.19,32d 1h 39m,32d 1h 39m
ZRXUSDT Perpetual,9,375.07%,18.75,18d 5h 27m,18d 5h 27m
ADAUSDT Perpetual,1,365.24%,24.62,64d 20h 10m,64d 20h 10m
KNCUSDT Perpetual,0,364.03%,910.09,1y 71d 18h 46m,1y 71d 18h 46m
LINKUSDT Perpetual,1,362.74%,293.10,64d 12h 9m,64d 12h 9m
LTCUSDT Perpetual,0,360.53%,93.27,248d 4h 34m,248d 4h 34m
BLZUSDT Perpetual,0,354.98%,106.49,156d 8h 59m,156d 8h 59m
ETHUSDT Perpetual,0,346.47%,31.18,21d 11h 46m,21d 11h 46m
ETHUSDT Perpetual,2,344.84%,55.17,20d 18h 9m,20d 18h 9m
EOSUSDT Perpetual,0,327.88%,655.78,33d 52m,33d 52m
APEUSDT Perpetual,0,325.12%,32.51,17d 17h 52m,17d 17h 52m
EOSUSDT Perpetual,2,322.10%,96.63,17d 9h 27m,17d 9h 27m
ETHBUSD Perpetual,3,318.53%,5.89,20d 18m,20d 18m
TRXUSDT Perpetual,2,318.46%,407.64,179d 16h 53m,179d 16h 53m
GMTUSDT Perpetual,7,316.97%,475.46,16d 12h 27m,16d 12h 27m
1000SHIBUSDT Perpetual,5,314.97%,31.50,21d 6h 13m,21d 6h 13m
TRXUSDT Perpetual,0,312.31%,156.16,105d 9h 41m,105d 9h 41m
AVAXUSDT Perpetual,0,307.43%,676.35,240d 7h 37m,240d 7h 37m
ARUSDT Perpetual,0,306.76%,276.09,141d 21h 44m,141d 21h 44m
TRBUSDT Perpetual,5,303.69%,156.25,35d 9h 35m,35d 9h 35m
ALPHAUSDT Perpetual,1,297.44%,8.03,24d 13h 40m,24d 13h 40m
DOTUSDT Perpetual,0,295.82%,15.59,30d 13h 15m,30d 13h 15m
SOLUSDT Perpetual,3,295.40%,24.43,28d 6h 55m,28d 6h 55m
XEMUSDT Perpetual,28,295.05%,59.01,12d 21h 52m,12d 21h 52m
ANTUSDT Perpetual,0,292.26%,43.84,29d 18h 24m,29d 18h 24m
SNXUSDT Perpetual,47,291.63%,17.73,25d 4h 6m,25d 4h 6m
ETHUSDT Perpetual,0,287.75%,57.55,30d 1h 38m,30d 1h 38m
UNIUSDT Perpetual,0,285.90%,48.60,62d 15h 51m,62d 15h 51m
DOTUSDT Perpetual,2,279.41%,843.83,65d 11h 15m,65d 11h 15m
JASMYUSDT Perpetual,0,279.07%,13.40,32d 5h 37m,32d 5h 37m
ETHUSDT Perpetual,10,277.64%,39.62,32d 13h 29m,32d 13h 29m
KSMUSDT Perpetual,0,274.70%,461.50,34d 6h 57m,34d 6h 57m
TLMBUSD Perpetual,1,272.54%,408.82,29d 19h 25m,29d 19h 25m
AXSUSDT Perpetual,2,269.88%,141.85,26d 1h 37m,26d 1h 37m
LINKUSDT Perpetual,0,263.43%,1317.19,66d 21h 54m,66d 21h 54m
1000XECUSDT Perpetual,1,259.70%,12.99,22d 20h 48m,22d 20h 48m
