cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,422,1445.82%,4337.48,1y 56d 14h 6m,1y 56d 14h 6m
ADAUSDT Perpetual,820,1377.05%,165.25,63d 13h,63d 13h
ETHUSDT Perpetual,192,1318.90%,3956.73,1y 56d 14h 27m,1y 56d 14h 27m
DOGEUSDT Perpetual,69,1025.50%,178.44,1y 2d 5h 31m,1y 2d 5h 31m
CHZUSDT Perpetual,17,951.38%,2429.36,1y 30d 4h 27m,1y 30d 4h 27m
ETHUSDT Perpetual,0,886.30%,2189.18,1y 55d 20h 39m,1y 55d 20h 39m
TRXUSDT Perpetual,51,883.87%,185.61,156d 14h 14m,156d 14h 14m
ALICEUSDT Perpetual,11,819.16%,737.25,350d 14h 49m,350d 14h 49m
BAKEUSDT Perpetual,17,790.41%,79.04,50d 5h 12m,50d 5h 12m
ANKRUSDT Perpetual,11,774.55%,77.46,321d 23h 49m,321d 23h 49m
ETHUSDT Perpetual,0,762.75%,2074.71,1y 55d 5h 40m,1y 55d 5h 40m
XMRUSDT Perpetual,7,734.43%,4406.58,159d 16h 25m,159d 16h 25m
UNFIUSDT Perpetual,64,724.25%,144.85,30d 10h 25m,30d 10h 25m
BTCUSDT Perpetual,36,640.73%,44.85,1y 33d 22h 11m,1y 33d 22h 11m
XMRUSDT Perpetual,0,633.78%,1267.57,1y 26d 8h 44m,1y 26d 8h 44m
MATICUSDT Perpetual,1,598.54%,41.24,44d 1h 20m,44d 1h 20m
API3USDT Perpetual,19,589.62%,117.93,39d 2h 46m,39d 2h 46m
UNIUSDT Perpetual,0,530.52%,1660.55,1y 29d 4h 14m,1y 29d 4h 14m
CRVUSDT Perpetual,0,502.72%,235.28,32d 6h 11m,32d 6h 11m
BTCUSDT Perpetual,4,502.47%,135.67,22d 20h 20m,22d 20h 20m
BTCUSDT Perpetual,9,501.00%,135.27,22d 20h 20m,22d 20h 20m
ETHUSDT Perpetual,5,472.22%,14.17,16d 11h 51m,16d 11h 51m
BTCUSDT Perpetual,4,447.44%,223.72,1y 88d 1h 21m,1y 88d 1h 21m
LTCUSDT Perpetual,1,445.58%,1332.29,1y 29d 4h 11m,1y 29d 4h 11m
GMTUSDT Perpetual,7,441.92%,26.52,18d 10h 9m,18d 10h 9m
PEOPLEUSDT Perpetual,10,417.74%,34.55,44d 8h 8m,44d 8h 8m
ZECUSDT Perpetual,0,412.76%,206.38,140d 16h 40m,140d 16h 40m
BTCUSDT Perpetual,7,385.79%,255.86,30d 20h 39m,30d 20h 39m
BTCUSDT Perpetual,1,376.68%,40.08,20d 14h 11m,20d 14h 11m
KNCUSDT Perpetual,3,369.50%,369.50,22d 20h 4m,22d 20h 4m
ADAUSDT Perpetual,1,365.34%,24.62,63d 15h 10m,63d 15h 10m
LTCUSDT Perpetual,0,360.53%,93.27,246d 23h 34m,246d 23h 34m
LINKUSDT Perpetual,1,359.86%,290.77,63d 7h 9m,63d 7h 9m
KNCUSDT Perpetual,0,353.51%,883.78,1y 70d 13h 47m,1y 70d 13h 47m
ZRXUSDT Perpetual,8,351.76%,17.59,17d 27m,17d 27m
BLZUSDT Perpetual,0,346.59%,103.98,155d 3h 59m,155d 3h 59m
ETHUSDT Perpetual,0,324.38%,29.20,20d 6h 46m,20d 6h 46m
APEUSDT Perpetual,0,322.09%,32.21,16d 12h 52m,16d 12h 52m
EOSUSDT Perpetual,0,320.57%,641.14,31d 19h 53m,31d 19h 53m
TRXUSDT Perpetual,2,318.99%,408.32,178d 11h 53m,178d 11h 53m
SNXUSDT Perpetual,46,314.90%,19.15,23d 23h 6m,23d 23h 6m
ETHUSDT Perpetual,2,313.98%,50.24,19d 13h 10m,19d 13h 10m
TRXUSDT Perpetual,0,313.21%,156.61,104d 4h 41m,104d 4h 41m
ARUSDT Perpetual,0,313.17%,281.85,140d 16h 44m,140d 16h 44m
AVAXUSDT Perpetual,0,307.43%,676.35,239d 2h 38m,239d 2h 38m
EOSUSDT Perpetual,2,301.16%,90.35,16d 4h 27m,16d 4h 27m
1000SHIBUSDT Perpetual,5,299.72%,29.97,20d 1h 13m,20d 1h 13m
SOLUSDT Perpetual,3,295.40%,24.43,27d 1h 56m,27d 1h 56m
GMTUSDT Perpetual,6,293.68%,440.53,15d 7h 28m,15d 7h 28m
ETHUSDT Perpetual,10,291.31%,41.57,31d 8h 30m,31d 8h 30m
UNIUSDT Perpetual,0,285.90%,48.60,61d 10h 51m,61d 10h 51m
ETHBUSD Perpetual,2,278.74%,5.16,18d 19h 18m,18d 19h 18m
DOTUSDT Perpetual,0,275.84%,14.54,29d 8h 15m,29d 8h 15m
JASMYUSDT Perpetual,0,274.50%,13.18,31d 37m,31d 37m
TLMBUSD Perpetual,1,271.37%,407.06,28d 14h 25m,28d 14h 25m
TRBUSDT Perpetual,5,270.97%,139.42,34d 4h 36m,34d 4h 36m
ALPHAUSDT Perpetual,1,269.03%,7.26,23d 8h 40m,23d 8h 40m
AXSUSDT Perpetual,2,265.53%,139.57,24d 20h 37m,24d 20h 37m
LINKUSDT Perpetual,0,262.94%,1314.75,65d 16h 54m,65d 16h 54m
