cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,388,1415.00%,4245.02,1y 53d 20h 6m,1y 53d 20h 6m
ADAUSDT Perpetual,720,1364.36%,163.72,60d 19h,60d 19h
ETHUSDT Perpetual,175,1268.25%,3804.76,1y 53d 20h 27m,1y 53d 20h 27m
DOGEUSDT Perpetual,62,1025.12%,178.37,364d 11h 31m,364d 11h 31m
CHZUSDT Perpetual,17,966.69%,2468.46,1y 27d 10h 27m,1y 27d 10h 27m
TRXUSDT Perpetual,49,871.69%,183.06,153d 20h 14m,153d 20h 14m
BAKEUSDT Perpetual,12,838.89%,83.89,47d 11h 11m,47d 11h 11m
ALICEUSDT Perpetual,10,819.16%,737.25,347d 20h 49m,347d 20h 49m
ETHUSDT Perpetual,0,817.84%,2020.08,1y 53d 2h 39m,1y 53d 2h 39m
ANKRUSDT Perpetual,6,770.35%,77.04,319d 5h 48m,319d 5h 48m
UNFIUSDT Perpetual,55,732.13%,146.43,27d 16h 24m,27d 16h 24m
XMRUSDT Perpetual,5,708.78%,4252.71,156d 22h 25m,156d 22h 25m
ETHUSDT Perpetual,0,703.81%,1914.39,1y 52d 11h 39m,1y 52d 11h 39m
BTCUSDT Perpetual,28,640.73%,44.85,1y 31d 4h 11m,1y 31d 4h 11m
API3USDT Perpetual,18,591.52%,118.31,36d 8h 45m,36d 8h 45m
XMRUSDT Perpetual,0,583.10%,1166.21,1y 23d 14h 43m,1y 23d 14h 43m
CRVUSDT Perpetual,0,502.72%,235.28,29d 12h 11m,29d 12h 11m
BTCUSDT Perpetual,3,442.06%,221.03,1y 85d 7h 21m,1y 85d 7h 21m
LTCUSDT Perpetual,1,427.38%,1277.88,1y 26d 10h 11m,1y 26d 10h 11m
UNIUSDT Perpetual,0,413.01%,1292.73,1y 26d 10h 13m,1y 26d 10h 13m
ZECUSDT Perpetual,0,395.17%,197.59,137d 22h 40m,137d 22h 40m
BTCUSDT Perpetual,5,392.27%,105.91,20d 2h 19m,20d 2h 19m
BTCUSDT Perpetual,2,383.73%,103.61,20d 2h 20m,20d 2h 20m
PEOPLEUSDT Perpetual,8,381.86%,31.58,41d 14h 8m,41d 14h 8m
DUSKUSDT Perpetual,3,377.91%,22.30,28d 14h 52m,28d 14h 52m
LTCUSDT Perpetual,0,360.53%,93.27,244d 5h 34m,244d 5h 34m
ADAUSDT Perpetual,1,356.68%,24.04,60d 21h 10m,60d 21h 10m
KNCUSDT Perpetual,0,344.02%,860.07,1y 67d 19h 46m,1y 67d 19h 46m
LINKUSDT Perpetual,1,336.74%,272.09,60d 13h 9m,60d 13h 9m
BLZUSDT Perpetual,0,321.63%,96.49,152d 9h 59m,152d 9h 59m
ETHUSDT Perpetual,4,320.18%,45.69,28d 14h 29m,28d 14h 29m
TRXUSDT Perpetual,2,309.06%,395.60,175d 17h 53m,175d 17h 53m
AVAXUSDT Perpetual,0,307.43%,676.35,236d 8h 38m,236d 8h 38m
TRXUSDT Perpetual,0,305.92%,152.96,101d 10h 41m,101d 10h 41m
TRBUSDT Perpetual,4,298.85%,153.76,31d 10h 35m,31d 10h 35m
BTSUSDT Perpetual,0,289.68%,37.66,21d 21h 14m,21d 21h 14m
