cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,425,1445.77%,4337.34,1y 56d 16h 6m,1y 56d 16h 6m
ADAUSDT Perpetual,825,1379.29%,165.52,63d 15h,63d 15h
ETHUSDT Perpetual,192,1318.16%,3954.49,1y 56d 16h 27m,1y 56d 16h 27m
DOGEUSDT Perpetual,70,1025.31%,178.40,1y 2d 7h 31m,1y 2d 7h 31m
CHZUSDT Perpetual,17,946.68%,2417.37,1y 30d 6h 27m,1y 30d 6h 27m
ETHUSDT Perpetual,0,884.94%,2185.82,1y 55d 22h 39m,1y 55d 22h 39m
TRXUSDT Perpetual,51,883.58%,185.55,156d 16h 14m,156d 16h 14m
ALICEUSDT Perpetual,11,819.16%,737.25,350d 16h 49m,350d 16h 49m
BAKEUSDT Perpetual,17,789.79%,78.98,50d 7h 11m,50d 7h 11m
ANKRUSDT Perpetual,11,772.90%,77.29,322d 1h 48m,322d 1h 48m
ETHUSDT Perpetual,0,761.59%,2071.53,1y 55d 7h 40m,1y 55d 7h 40m
XMRUSDT Perpetual,7,733.39%,4400.36,159d 18h 25m,159d 18h 25m
UNFIUSDT Perpetual,65,721.24%,144.25,30d 12h 25m,30d 12h 25m
BTCUSDT Perpetual,36,640.73%,44.85,1y 34d 11m,1y 34d 11m
XMRUSDT Perpetual,0,631.17%,1262.35,1y 26d 10h 44m,1y 26d 10h 44m
MATICUSDT Perpetual,1,601.79%,41.46,44d 3h 20m,44d 3h 20m
API3USDT Perpetual,19,598.18%,119.64,39d 4h 45m,39d 4h 45m
UNIUSDT Perpetual,0,525.18%,1643.82,1y 29d 6h 13m,1y 29d 6h 13m
BTCUSDT Perpetual,4,504.12%,136.11,22d 22h 20m,22d 22h 20m
BTCUSDT Perpetual,10,503.53%,135.96,22d 22h 20m,22d 22h 20m
CRVUSDT Perpetual,0,502.72%,235.28,32d 8h 11m,32d 8h 11m
BTCUSDT Perpetual,4,447.16%,223.58,1y 88d 3h 21m,1y 88d 3h 21m
LTCUSDT Perpetual,1,442.97%,1324.49,1y 29d 6h 11m,1y 29d 6h 11m
GMTUSDT Perpetual,7,434.38%,26.06,18d 12h 9m,18d 12h 9m
PEOPLEUSDT Perpetual,10,410.62%,33.96,44d 10h 8m,44d 10h 8m
ZECUSDT Perpetual,0,408.47%,204.24,140d 18h 40m,140d 18h 40m
BTCUSDT Perpetual,7,383.45%,254.31,30d 22h 39m,30d 22h 39m
BTCUSDT Perpetual,1,373.95%,39.79,20d 16h 11m,20d 16h 11m
KNCUSDT Perpetual,3,371.79%,371.79,22d 22h 4m,22d 22h 4m
ADAUSDT Perpetual,1,364.94%,24.60,63d 17h 10m,63d 17h 10m
LTCUSDT Perpetual,0,360.53%,93.27,247d 1h 34m,247d 1h 34m
LINKUSDT Perpetual,1,355.84%,287.53,63d 9h 9m,63d 9h 9m
