cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,390,1415.71%,4247.15,1y 53d 23h 6m,1y 53d 23h 6m
ADAUSDT Perpetual,726,1363.12%,163.57,60d 22h,60d 22h
ETHUSDT Perpetual,175,1268.08%,3804.25,1y 53d 23h 27m,1y 53d 23h 27m
DOGEUSDT Perpetual,62,1025.31%,178.41,364d 14h 31m,364d 14h 31m
CHZUSDT Perpetual,17,965.56%,2465.58,1y 27d 13h 27m,1y 27d 13h 27m
TRXUSDT Perpetual,49,873.18%,183.37,153d 23h 14m,153d 23h 14m
BAKEUSDT Perpetual,13,832.05%,83.21,47d 14h 11m,47d 14h 11m
ALICEUSDT Perpetual,10,819.16%,737.25,347d 23h 49m,347d 23h 49m
ETHUSDT Perpetual,0,817.65%,2019.61,1y 53d 5h 39m,1y 53d 5h 39m
ANKRUSDT Perpetual,8,772.36%,77.24,319d 8h 48m,319d 8h 48m
UNFIUSDT Perpetual,55,731.02%,146.21,27d 19h 24m,27d 19h 24m
XMRUSDT Perpetual,5,712.95%,4277.71,157d 1h 25m,157d 1h 25m
ETHUSDT Perpetual,0,703.65%,1913.94,1y 52d 14h 39m,1y 52d 14h 39m
BTCUSDT Perpetual,29,640.73%,44.85,1y 31d 7h 11m,1y 31d 7h 11m
XMRUSDT Perpetual,0,591.75%,1183.50,1y 23d 17h 44m,1y 23d 17h 44m
API3USDT Perpetual,19,590.27%,118.06,36d 11h 45m,36d 11h 45m
CRVUSDT Perpetual,0,502.72%,235.28,29d 15h 11m,29d 15h 11m
BTCUSDT Perpetual,3,442.77%,221.39,1y 85d 10h 21m,1y 85d 10h 21m
LTCUSDT Perpetual,1,427.39%,1277.92,1y 26d 13h 11m,1y 26d 13h 11m
UNIUSDT Perpetual,0,408.25%,1277.84,1y 26d 13h 13m,1y 26d 13h 13m
BTCUSDT Perpetual,5,401.79%,108.48,20d 5h 20m,20d 5h 20m
BTCUSDT Perpetual,2,393.42%,106.23,20d 5h 20m,20d 5h 20m
ZECUSDT Perpetual,0,392.34%,196.17,138d 1h 40m,138d 1h 40m
PEOPLEUSDT Perpetual,8,387.48%,32.04,41d 17h 8m,41d 17h 8m
DUSKUSDT Perpetual,4,377.55%,22.28,28d 17h 52m,28d 17h 52m
LTCUSDT Perpetual,0,360.53%,93.27,244d 8h 34m,244d 8h 34m
ADAUSDT Perpetual,1,357.16%,24.07,61d 10m,61d 10m
KNCUSDT Perpetual,0,343.97%,859.93,1y 67d 22h 46m,1y 67d 22h 46m
LINKUSDT Perpetual,1,336.05%,271.53,60d 16h 9m,60d 16h 9m
BLZUSDT Perpetual,0,321.68%,96.51,152d 12h 59m,152d 12h 59m
ETHUSDT Perpetual,4,320.26%,45.70,28d 17h 30m,28d 17h 30m
TRXUSDT Perpetual,2,310.38%,397.30,175d 20h 53m,175d 20h 53m
AVAXUSDT Perpetual,0,307.43%,676.35,236d 11h 38m,236d 11h 38m
TRXUSDT Perpetual,0,306.89%,153.45,101d 13h 41m,101d 13h 41m
TRBUSDT Perpetual,4,298.85%,153.76,31d 13h 35m,31d 13h 35m
ZRXUSDT Perpetual,7,297.36%,14.87,14d 9h 27m,14d 9h 27m
BTCUSDT Perpetual,7,294.49%,195.31,28d 5h 39m,28d 5h 39m
BTSUSDT Perpetual,0,290.84%,37.81,22d 14m,22d 14m
MATICUSDT Perpetual,0,290.29%,20.00,41d 10h 20m,41d 10h 20m
SOLUSDT Perpetual,2,287.21%,23.75,24d 10h 55m,24d 10h 55m
ETHBUSD Perpetual,15,282.82%,342.22,25d 17h 16m,25d 17h 16m
ETHUSDT Perpetual,0,280.70%,1.60,8d 8h 10m,8d 8h 10m
EOSUSDT Perpetual,0,279.88%,559.77,29d 4h 52m,29d 4h 52m
KNCUSDT Perpetual,3,279.21%,279.21,20d 5h 4m,20d 5h 4m
ARUSDT Perpetual,0,278.61%,250.75,138d 1h 44m,138d 1h 44m
SNXUSDT Perpetual,44,272.69%,16.58,21d 8h 6m,21d 8h 6m
UNIUSDT Perpetual,0,265.98%,45.22,58d 19h 51m,58d 19h 51m
1000SHIBUSDT Perpetual,5,260.17%,26.02,17d 10h 13m,17d 10h 13m
GMTUSDT Perpetual,5,259.78%,389.67,12d 16h 27m,12d 16h 27m
FLMUSDT Perpetual,1,257.58%,33.51,17d 6h 36m,17d 6h 36m
THETAUSDT Perpetual,0,257.15%,102.86,27d 15h 31m,27d 15h 31m
ETHUSDT Perpetual,0,256.64%,11.55,21d 15h 24m,21d 15h 24m
TLMBUSD Perpetual,0,254.70%,382.06,25d 23h 25m,25d 23h 25m
BTCBUSD Perpetual,14,253.65%,20.72,23d 20h 38m,23d 20h 38m
ETHUSDT Perpetual,0,248.46%,248.46,10d 20h 35m,10d 20h 35m
JASMYUSDT Perpetual,0,248.35%,11.92,28d 9h 37m,28d 9h 37m
XMRUSDT Perpetual,1,246.49%,537.37,115d 19h 49m,115d 19h 49m
LINKUSDT Perpetual,0,242.93%,1214.67,63d 1h 54m,63d 1h 54m
AXSUSDT Perpetual,1,239.50%,125.88,22d 5h 37m,22d 5h 37m
BNBUSDT Perpetual,0,236.79%,591.98,1y 76d 21h 19m,1y 76d 21h 19m
