cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,731,1521.52%,4564.58,1y 71d 1h 8m,1y 71d 1h 8m
ETHUSDT Perpetual,389,1512.61%,4537.85,1y 71d 1h 29m,1y 71d 1h 29m
ADAUSDT Perpetual,1534,1270.30%,152.44,78d 2m,78d 2m
BAKEUSDT Perpetual,121,1263.48%,126.35,64d 16h 14m,64d 16h 14m
ETHUSDT Perpetual,22,1223.00%,3020.83,1y 70d 7h 41m,1y 70d 7h 41m
ETHUSDT Perpetual,1,1050.87%,2858.39,1y 69d 16h 42m,1y 69d 16h 42m
CHZUSDT Perpetual,35,1031.57%,2634.12,1y 44d 15h 29m,1y 44d 15h 29m
DOGEUSDT Perpetual,156,1030.43%,179.30,1y 16d 16h 33m,1y 16d 16h 33m
UNFIUSDT Perpetual,142,1010.72%,202.15,44d 21h 27m,44d 21h 27m
TRXUSDT Perpetual,75,903.53%,189.74,171d 1h 16m,171d 1h 16m
XMRUSDT Perpetual,3,830.30%,1660.62,1y 40d 19h 46m,1y 40d 19h 46m
ALICEUSDT Perpetual,23,819.16%,737.25,1y 1h 51m,1y 1h 51m
XMRUSDT Perpetual,15,811.21%,4867.28,174d 3h 27m,174d 3h 27m
ANKRUSDT Perpetual,20,796.56%,79.66,336d 10h 51m,336d 10h 51m
UNIUSDT Perpetual,0,698.14%,2185.19,1y 43d 15h 16m,1y 43d 15h 16m
MATICUSDT Perpetual,9,628.70%,43.32,58d 12h 22m,58d 12h 22m
BTCUSDT Perpetual,22,607.39%,402.83,45d 7h 41m,45d 7h 41m
APEUSDT Perpetual,2,599.70%,299.85,72d 21h 37m,72d 21h 37m
LTCUSDT Perpetual,4,525.67%,1571.75,1y 43d 15h 13m,1y 43d 15h 13m
DOTUSDT Perpetual,4,517.98%,1564.32,78d 17h 17m,78d 17h 17m
CRVUSDT Perpetual,3,502.72%,235.28,46d 17h 13m,46d 17h 13m
ANTUSDT Perpetual,1,494.64%,74.20,43d 26m,43d 26m
DOTUSDT Perpetual,3,470.50%,71.75,36d 13h 12m,36d 13h 12m
BTCUSDT Perpetual,5,466.95%,233.48,1y 102d 12h 23m,1y 102d 12h 23m
ZECUSDT Perpetual,2,454.18%,227.09,155d 3h 42m,155d 3h 42m
BLZUSDT Perpetual,0,439.53%,131.86,169d 15h 1m,169d 15h 1m
LINKUSDT Perpetual,1,437.27%,353.31,77d 18h 12m,77d 18h 12m
LTCUSDT Perpetual,0,428.85%,245.73,78d 16h 53m,78d 16h 53m
SANDUSDT Perpetual,2,411.61%,123.49,60d 12h 55m,60d 12h 55m
MASKUSDT Perpetual,0,401.72%,803.45,38d 5h 3m,38d 5h 3m
ADAUSDT Perpetual,7,390.12%,26.29,78d 2h 12m,78d 2h 12m
FTMBUSD Perpetual,5,388.41%,42.73,51d 6h 13m,51d 6h 13m
KSMUSDT Perpetual,0,383.90%,798.53,78d 17h 2m,78d 17h 2m
KNCUSDT Perpetual,2,382.81%,957.03,1y 85d 49m,1y 85d 49m
MANAUSDT Perpetual,1,369.91%,73.98,48d 17h 6m,48d 17h 6m
TRBUSDT Perpetual,5,363.87%,187.22,48d 15h 38m,48d 15h 38m
LTCUSDT Perpetual,2,360.53%,93.27,261d 10h 37m,261d 10h 37m
SANDUSDT Perpetual,0,360.08%,30.61,64d 10h 30m,64d 10h 30m
LINKUSDT Perpetual,1,356.23%,1781.19,80d 3h 56m,80d 3h 56m
ADAUSDT Perpetual,2,352.83%,4586.87,57d 9h 59m,57d 9h 59m
FILUSDT Perpetual,0,345.34%,1197.64,77d 18h 35m,77d 18h 35m
XRPUSDT Perpetual,5,339.01%,67.80,49d 18h 2m,49d 18h 2m
XMRUSDT Perpetual,0,335.70%,1007.12,260d 2h 48m,260d 2h 48m
ETCUSDT Perpetual,0,333.73%,3337.35,275d 21h 12m,275d 21h 12m
TRXUSDT Perpetual,2,333.57%,426.97,192d 22h 55m,192d 22h 55m
JASMYUSDT Perpetual,0,332.85%,15.98,45d 11h 39m,45d 11h 39m
TRXUSDT Perpetual,1,322.52%,161.26,118d 15h 43m,118d 15h 43m
ARUSDT Perpetual,0,315.27%,283.74,155d 3h 46m,155d 3h 46m
GALAUSDT Perpetual,1,313.14%,46.97,49d 14h 19m,49d 14h 19m
AVAXUSDT Perpetual,0,307.43%,676.35,253d 13h 40m,253d 13h 40m
ADAUSDT Perpetual,0,306.74%,65.43,49d 20h 42m,49d 20h 42m
BTSUSDT Perpetual,1,304.17%,307.22,68d 6h 44m,68d 6h 44m
SUSHIUSDT Perpetual,1,302.58%,108.93,67d 23h 57m,67d 23h 57m
ADAUSDT Perpetual,3,302.25%,75.56,29d 6h 25m,29d 6h 25m
UNIUSDT Perpetual,0,300.31%,813.85,1y 69d 16h 39m,1y 69d 16h 39m
LUNA2BUSD Perpetual,5,296.89%,445.34,43d 5h 25m,43d 5h 25m
ATOMUSDT Perpetual,0,292.05%,99.30,248d 7m,248d 7m
ADAUSDT Perpetual,1,286.03%,5.92,43d 9h 11m,43d 9h 11m
UNIUSDT Perpetual,0,285.90%,48.60,75d 21h 53m,75d 21h 53m
ADAUSDT Perpetual,0,285.19%,52.02,34d 17h 18m,34d 17h 18m
