cryptoPair,copyPopularity,roi,pnl,runningTime,direction
PEOPLEUSDT Perpetual,0,204.91%,1024.56,46d 9h 47m,46d 9h 47m
MANAUSDT Perpetual,1,199.64%,39.93,32d 8h 4m,32d 8h 4m
SUSHIUSDT Perpetual,1,198.71%,71.54,51d 14h 55m,51d 14h 55m
DOTUSDT Perpetual,0,192.41%,10.14,27d 10h 15m,27d 10h 15m
STORJUSDT Perpetual,0,191.14%,57.34,22d 12h 30m,22d 12h 30m
DOTUSDT Perpetual,2,190.67%,575.85,62d 8h 15m,62d 8h 15m
CHZUSDT Perpetual,0,188.71%,18.87,19d 16h 9m,19d 16h 9m
MASKUSDT Perpetual,0,188.04%,376.09,21d 20h,21d 20h
HNTUSDT Perpetual,1,187.75%,39.43,33d 23h 32m,33d 23h 32m
APEUSDT Perpetual,0,187.25%,18.73,14d 14h 52m,14d 14h 52m
LUNA2BUSD Perpetual,1,185.21%,203.74,28d 13h 3m,28d 13h 3m
THETAUSDT Perpetual,0,184.19%,185.12,27d 14h 29m,27d 14h 29m
UNFIUSDT Perpetual,0,183.69%,18.37,13d 5h 41m,13d 5h 41m
XRPUSDT Perpetual,2,182.67%,11.16,29d 11h 8m,29d 11h 8m
MATICUSDT Perpetual,1,182.56%,12.58,42d 3h 20m,42d 3h 20m
ETHUSDT Perpetual,1,182.16%,21.57,28d 21h 30m,28d 21h 30m
LINKUSDT Perpetual,0,181.00%,98.94,20d 3h 48m,20d 3h 48m
XRPUSDT Perpetual,17,180.91%,22613.89,1y 51d 5h 17m,1y 51d 5h 17m
SOLUSDT Perpetual,0,180.61%,90.31,23d 21h 41m,23d 21h 41m
BATUSDT Perpetual,0,180.05%,21.61,25d 9h 27m,25d 9h 27m
FTMBUSD Perpetual,0,178.58%,17.86,29d 4h 4m,29d 4h 4m
IOTXUSDT Perpetual,0,178.44%,12.76,28d 7h 31m,28d 7h 31m
AVAXUSDT Perpetual,1,173.58%,168.37,46d 12h 39m,46d 12h 39m
MASKUSDT Perpetual,0,173.36%,26.01,19d 18h 38m,19d 18h 38m
RLCUSDT Perpetual,0,172.93%,112.41,11d 19h 36m,11d 19h 36m
LTCUSDT Perpetual,0,172.92%,615.63,1y 39d 10h 48m,1y 39d 10h 48m
MATICUSDT Perpetual,1,172.82%,27.65,49d 10h 12m,49d 10h 12m
LINKUSDT Perpetual,0,171.93%,68.77,23d 20h 27m,23d 20h 27m
LITUSDT Perpetual,1,170.57%,852.87,22d 4h 40m,22d 4h 40m
SOLBUSD Perpetual,1,168.96%,844.81,32d 10h 58m,32d 10h 58m
SNXUSDT Perpetual,0,168.90%,49.98,14d 13h 15m,14d 13h 15m
CVCUSDT Perpetual,0,168.55%,42.14,28d 14h 36m,28d 14h 36m
SOLBUSD Perpetual,0,166.91%,166.92,26d 1h 7m,26d 1h 7m
TRXUSDT Perpetual,0,165.55%,240.06,119d 6h 52m,119d 6h 52m
1000LUNCBUSD Perpetual,6,164.71%,16471.57,14d 13h 27m,14d 13h 27m
XRPBUSD Perpetual,5,164.14%,6.57,193d 19h 45m,193d 19h 45m
SANDUSDT Perpetual,1,164.13%,49.24,44d 3h 53m,44d 3h 53m
LUNA2BUSD Perpetual,3,163.90%,245.86,26d 20h 23m,26d 20h 23m
BNBBUSD Perpetual,14,163.72%,11.69,29d 11h 43m,29d 11h 43m
LINKUSDT Perpetual,0,163.54%,10.91,11d 17h 46m,11d 17h 46m
RLCUSDT Perpetual,0,162.23%,27.58,12d 10h 2m,12d 10h 2m
MATICUSDT Perpetual,0,162.23%,20.86,18d 16h 32m,18d 16h 32m
LITUSDT Perpetual,0,158.33%,47.50,23d 21h 39m,23d 21h 39m
OGNUSDT Perpetual,0,157.71%,27.60,14d 4h 35m,14d 4h 35m
ETHBUSD Perpetual,0,157.41%,152.69,28d 19h 51m,28d 19h 51m
SANDUSDT Perpetual,0,156.13%,13.27,48d 1h 27m,48d 1h 27m
BTSUSDT Perpetual,1,155.95%,157.51,51d 21h 42m,51d 21h 42m
STORJUSDT Perpetual,0,155.81%,34.28,23d 15h 8m,23d 15h 8m
THETAUSDT Perpetual,0,155.33%,38.83,11d 12h 19m,11d 12h 19m
SNXUSDT Perpetual,0,155.20%,23.28,22d 7h 55m,22d 7h 55m
DODOBUSD Perpetual,0,154.53%,19.44,14d 17h 32m,14d 17h 32m
SUSHIUSDT Perpetual,0,152.94%,18.20,28d 2h 10m,28d 2h 10m
MATICUSDT Perpetual,0,152.80%,29.37,39d 23h 35m,39d 23h 35m
ETHUSDT Perpetual,0,152.68%,16.80,27d 10h 15m,27d 10h 15m
