cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,437,1448.64%,4345.94,1y 57d 18h 6m,1y 57d 18h 6m
ADAUSDT Perpetual,873,1381.42%,165.77,64d 17h,64d 17h
ETHUSDT Perpetual,196,1341.86%,4025.60,1y 57d 18h 27m,1y 57d 18h 27m
DOGEUSDT Perpetual,72,1026.15%,178.55,1y 3d 9h 31m,1y 3d 9h 31m
CHZUSDT Perpetual,17,961.56%,2455.36,1y 31d 8h 27m,1y 31d 8h 27m
ETHUSDT Perpetual,9,919.74%,2271.76,1y 57d 39m,1y 57d 39m
BAKEUSDT Perpetual,17,919.33%,91.93,51d 9h 11m,51d 9h 11m
TRXUSDT Perpetual,53,884.78%,185.80,157d 18h 14m,157d 18h 14m
ALICEUSDT Perpetual,11,819.16%,737.25,351d 18h 49m,351d 18h 49m
ETHUSDT Perpetual,0,791.54%,2153.00,1y 56d 9h 39m,1y 56d 9h 39m
ANKRUSDT Perpetual,11,776.54%,77.65,323d 3h 48m,323d 3h 48m
UNFIUSDT Perpetual,67,750.12%,150.02,31d 14h 24m,31d 14h 24m
XMRUSDT Perpetual,7,746.65%,4479.95,160d 20h 25m,160d 20h 25m
XMRUSDT Perpetual,0,661.85%,1323.71,1y 27d 12h 44m,1y 27d 12h 44m
BTCUSDT Perpetual,36,640.73%,44.85,1y 35d 2h 11m,1y 35d 2h 11m
MATICUSDT Perpetual,2,623.90%,42.99,45d 5h 20m,45d 5h 20m
API3USDT Perpetual,19,590.11%,118.02,40d 6h 45m,40d 6h 45m
BTCUSDT Perpetual,11,524.83%,141.70,24d 20m,24d 20m
BTCUSDT Perpetual,7,524.44%,141.60,24d 20m,24d 20m
UNIUSDT Perpetual,0,520.66%,1629.67,1y 30d 8h 13m,1y 30d 8h 13m
CRVUSDT Perpetual,0,502.72%,235.28,33d 10h 11m,33d 10h 11m
GMTUSDT Perpetual,13,474.86%,28.49,19d 14h 9m,19d 14h 9m
LTCUSDT Perpetual,1,449.19%,1343.09,1y 30d 8h 11m,1y 30d 8h 11m
BTCUSDT Perpetual,4,448.51%,224.26,1y 89d 5h 21m,1y 89d 5h 21m
PEOPLEUSDT Perpetual,10,416.45%,34.44,45d 12h 8m,45d 12h 8m
ZECUSDT Perpetual,0,415.34%,207.67,141d 20h 40m,141d 20h 40m
KNCUSDT Perpetual,3,413.06%,413.07,24d 4m,24d 4m
BTCUSDT Perpetual,7,406.76%,269.77,32d 39m,32d 39m
ZRXUSDT Perpetual,9,375.69%,18.78,18d 4h 27m,18d 4h 27m
KNCUSDT Perpetual,0,365.90%,914.77,1y 71d 17h 46m,1y 71d 17h 46m
ADAUSDT Perpetual,1,365.85%,24.66,64d 19h 10m,64d 19h 10m
LINKUSDT Perpetual,1,364.35%,294.40,64d 11h 9m,64d 11h 9m
LTCUSDT Perpetual,0,360.53%,93.27,248d 3h 34m,248d 3h 34m
BLZUSDT Perpetual,0,359.33%,107.80,156d 7h 59m,156d 7h 59m
ETHUSDT Perpetual,0,345.54%,69.11,30d 38m,30d 38m
ETHUSDT Perpetual,0,341.93%,30.77,21d 10h 46m,21d 10h 46m
ETHUSDT Perpetual,2,340.94%,54.55,20d 17h 9m,20d 17h 9m
APEUSDT Perpetual,0,332.78%,33.28,17d 16h 52m,17d 16h 52m
EOSUSDT Perpetual,0,331.34%,662.68,32d 23h 52m,32d 23h 52m
EOSUSDT Perpetual,2,323.45%,97.04,17d 8h 27m,17d 8h 27m
TRXUSDT Perpetual,2,319.50%,408.97,179d 15h 53m,179d 15h 53m
ETHBUSD Perpetual,3,316.28%,5.85,19d 23h 18m,19d 23h 18m
1000SHIBUSDT Perpetual,5,313.29%,31.33,21d 5h 13m,21d 5h 13m
TRXUSDT Perpetual,0,313.19%,156.60,105d 8h 41m,105d 8h 41m
DOTUSDT Perpetual,0,310.91%,16.39,30d 12h 15m,30d 12h 15m
GMTUSDT Perpetual,7,308.91%,463.37,16d 11h 27m,16d 11h 27m
ARUSDT Perpetual,0,307.70%,276.93,141d 20h 44m,141d 20h 44m
AVAXUSDT Perpetual,0,307.43%,676.35,240d 6h 38m,240d 6h 38m
XEMUSDT Perpetual,28,299.92%,59.99,12d 20h 52m,12d 20h 52m
TRBUSDT Perpetual,5,295.78%,152.18,35d 8h 35m,35d 8h 35m
SOLUSDT Perpetual,3,295.40%,24.43,28d 5h 55m,28d 5h 55m
DOTUSDT Perpetual,2,294.56%,889.57,65d 10h 15m,65d 10h 15m
