cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,383,1430.22%,4290.68,1y 53d 11h 6m,1y 53d 11h 6m
ADAUSDT Perpetual,706,1349.15%,161.90,60d 10h,60d 10h
ETHUSDT Perpetual,174,1294.42%,3883.26,1y 53d 11h 27m,1y 53d 11h 27m
DOGEUSDT Perpetual,61,1026.28%,178.57,364d 2h 31m,364d 2h 31m
CHZUSDT Perpetual,17,969.10%,2474.62,1y 27d 1h 27m,1y 27d 1h 27m
TRXUSDT Perpetual,48,873.94%,183.53,153d 11h 13m,153d 11h 13m
ETHUSDT Perpetual,0,853.92%,2109.20,1y 52d 17h 38m,1y 52d 17h 38m
BAKEUSDT Perpetual,10,822.50%,82.25,47d 2h 11m,47d 2h 11m
ALICEUSDT Perpetual,9,819.16%,737.25,347d 11h 49m,347d 11h 49m
ANKRUSDT Perpetual,6,775.79%,77.58,318d 20h 48m,318d 20h 48m
UNFIUSDT Perpetual,49,757.61%,151.52,27d 7h 24m,27d 7h 24m
ETHUSDT Perpetual,0,734.88%,1998.88,1y 52d 2h 39m,1y 52d 2h 39m
XMRUSDT Perpetual,4,718.61%,4311.67,156d 13h 25m,156d 13h 25m
BTCUSDT Perpetual,28,640.73%,44.85,1y 30d 19h 11m,1y 30d 19h 11m
XMRUSDT Perpetual,0,606.71%,1213.43,1y 23d 5h 43m,1y 23d 5h 43m
CRVUSDT Perpetual,0,502.72%,235.28,29d 3h 11m,29d 3h 11m
API3USDT Perpetual,14,499.38%,99.88,35d 23h 45m,35d 23h 45m
UNIUSDT Perpetual,0,454.70%,1423.23,1y 26d 1h 13m,1y 26d 1h 13m
BTCUSDT Perpetual,3,445.77%,222.89,1y 84d 22h 20m,1y 84d 22h 20m
LTCUSDT Perpetual,1,439.30%,1313.52,1y 26d 1h 11m,1y 26d 1h 11m
BTCUSDT Perpetual,5,419.02%,113.14,19d 17h 19m,19d 17h 19m
BTCUSDT Perpetual,2,413.83%,111.73,19d 17h 20m,19d 17h 20m
ZECUSDT Perpetual,0,411.91%,205.96,137d 13h 40m,137d 13h 40m
