cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,543,1478.64%,4435.94,1y 63d 1h 8m,1y 63d 1h 8m
ETHUSDT Perpetual,251,1436.90%,4310.70,1y 63d 1h 29m,1y 63d 1h 29m
ADAUSDT Perpetual,1104,1363.04%,163.57,70d 2m,70d 2m
ETHUSDT Perpetual,0,1101.37%,220.27,35d 7h 40m,35d 7h 40m
ETHUSDT Perpetual,13,1079.17%,2665.57,1y 62d 7h 41m,1y 62d 7h 41m
DOGEUSDT Perpetual,94,1028.88%,179.03,1y 8d 16h 33m,1y 8d 16h 33m
BAKEUSDT Perpetual,53,1013.46%,101.35,56d 16h 14m,56d 16h 14m
CHZUSDT Perpetual,24,970.86%,2479.09,1y 36d 15h 29m,1y 36d 15h 29m
ETHUSDT Perpetual,0,926.20%,2519.28,1y 61d 16h 42m,1y 61d 16h 42m
TRXUSDT Perpetual,56,892.09%,187.34,163d 1h 16m,163d 1h 16m
ALICEUSDT Perpetual,15,819.16%,737.25,357d 1h 51m,357d 1h 51m
UNFIUSDT Perpetual,95,809.66%,161.93,36d 21h 27m,36d 21h 27m
ANKRUSDT Perpetual,12,790.46%,79.05,328d 10h 51m,328d 10h 51m
XMRUSDT Perpetual,7,784.30%,4705.81,166d 3h 28m,166d 3h 28m
XMRUSDT Perpetual,1,747.24%,1494.50,1y 32d 19h 46m,1y 32d 19h 46m
BTCUSDT Perpetual,46,640.73%,44.85,1y 40d 9h 13m,1y 40d 9h 13m
MATICUSDT Perpetual,5,628.70%,43.32,50d 12h 22m,50d 12h 22m
ZRXUSDT Perpetual,14,557.96%,27.90,23d 11h 30m,23d 11h 30m
BTCUSDT Perpetual,9,552.96%,366.72,37d 7h 41m,37d 7h 41m
BTCUSDT Perpetual,27,523.41%,141.32,29d 7h 22m,29d 7h 22m
UNIUSDT Perpetual,0,515.65%,1613.99,1y 35d 15h 16m,1y 35d 15h 16m
CRVUSDT Perpetual,0,502.72%,235.28,38d 17h 13m,38d 17h 13m
LTCUSDT Perpetual,1,475.64%,1422.18,1y 35d 15h 13m,1y 35d 15h 13m
PEOPLEUSDT Perpetual,12,469.10%,38.79,50d 19h 10m,50d 19h 10m
EOSUSDT Perpetual,4,465.16%,139.55,22d 15h 30m,22d 15h 30m
BTCUSDT Perpetual,5,460.70%,230.35,1y 94d 12h 23m,1y 94d 12h 23m
ZECUSDT Perpetual,0,424.40%,212.20,147d 3h 43m,147d 3h 43m
DOTUSDT Perpetual,0,416.17%,21.93,35d 19h 17m,35d 19h 17m
LINKUSDT Perpetual,1,403.40%,325.95,69d 18h 12m,69d 18h 12m
EOSUSDT Perpetual,0,400.85%,801.72,38d 6h 55m,38d 6h 55m
DOTUSDT Perpetual,0,395.47%,60.31,28d 13h 12m,28d 13h 12m
DOTUSDT Perpetual,2,392.53%,1185.46,70d 17h 17m,70d 17h 17m
ADAUSDT Perpetual,3,389.24%,26.24,70d 2h 13m,70d 2h 13m
TRBUSDT Perpetual,5,386.45%,198.83,40d 15h 38m,40d 15h 38m
BLZUSDT Perpetual,0,377.70%,113.31,161d 15h 1m,161d 15h 1m
SNXUSDT Perpetual,69,374.79%,22.79,30d 10h 8m,30d 10h 8m
KNCUSDT Perpetual,0,363.72%,909.30,1y 77d 49m,1y 77d 49m
LTCUSDT Perpetual,2,360.53%,93.27,253d 10h 37m,253d 10h 37m
SANDUSDT Perpetual,1,348.12%,104.44,52d 12h 56m,52d 12h 56m
ANTUSDT Perpetual,0,342.95%,51.44,35d 26m,35d 26m
YFIUSDT Perpetual,1,328.16%,49.22,26d 1h 17m,26d 1h 17m
THETAUSDT Perpetual,0,326.73%,81.68,19d 21h 21m,19d 21h 21m
TRXUSDT Perpetual,2,323.13%,413.61,184d 22h 55m,184d 22h 55m
MANAUSDT Perpetual,1,320.11%,64.02,40d 17h 6m,40d 17h 6m
TRXUSDT Perpetual,0,315.25%,157.63,110d 15h 43m,110d 15h 43m
MASKUSDT Perpetual,0,314.93%,629.88,30d 5h 3m,30d 5h 3m
TLMBUSD Perpetual,2,313.32%,469.99,35d 1h 27m,35d 1h 27m
LTCUSDT Perpetual,0,311.27%,178.36,70d 16h 53m,70d 16h 53m
SANDUSDT Perpetual,0,309.91%,26.34,56d 10h 30m,56d 10h 30m
JASMYUSDT Perpetual,0,309.19%,14.84,37d 11h 39m,37d 11h 39m
ARUSDT Perpetual,0,308.32%,277.49,147d 3h 47m,147d 3h 47m
AVAXUSDT Perpetual,0,307.43%,676.35,245d 13h 40m,245d 13h 40m
LINKUSDT Perpetual,1,304.53%,1522.70,72d 3h 56m,72d 3h 56m
LINKUSDT Perpetual,1,301.63%,20.12,20d 2h 48m,20d 2h 48m
SOLUSDT Perpetual,3,295.40%,24.43,33d 12h 58m,33d 12h 58m
ADAUSDT Perpetual,0,287.28%,71.82,21d 6h 25m,21d 6h 25m
FTMBUSD Perpetual,1,286.04%,31.47,43d 6h 13m,43d 6h 13m
UNIUSDT Perpetual,0,285.90%,48.60,67d 21h 53m,67d 21h 53m
BTSUSDT Perpetual,1,281.85%,284.67,60d 6h 44m,60d 6h 44m
KSMUSDT Perpetual,0,281.30%,472.59,39d 13h,39d 13h
ADAUSDT Perpetual,2,274.24%,3565.14,49d 9h 59m,49d 9h 59m
IOSTUSDT Perpetual,2,273.50%,15.32,37d 12h 46m,37d 12h 46m
KSMUSDT Perpetual,0,273.16%,568.19,70d 17h 2m,70d 17h 2m
XRPUSDT Perpetual,3,270.42%,54.09,41d 18h 2m,41d 18h 2m
ATOMUSDT Perpetual,0,268.42%,91.26,240d 7m,240d 7m
APEUSDT Perpetual,0,266.11%,133.06,64d 21h 37m,64d 21h 37m
SUSHIUSDT Perpetual,1,265.42%,95.55,59d 23h 57m,59d 23h 57m
ETCUSDT Perpetual,1,263.47%,1185.65,81d 1h 48m,81d 1h 48m
AVAXUSDT Perpetual,1,262.29%,254.42,54d 21h 41m,54d 21h 41m
LUNA2BUSD Perpetual,1,259.29%,285.23,36d 22h 5m,36d 22h 5m
1000SHIBUSDT Perpetual,0,259.12%,7.77,25d 22h 9m,25d 22h 9m
ANCBUSD Perpetual,5,258.57%,77.57,31d 9h 17m,31d 9h 17m
API3USDT Perpetual,0,254.76%,31.59,21d 15h 26m,21d 15h 26m
1000XECUSDT Perpetual,1,254.43%,12.72,28d 2h 51m,28d 2h 51m
APEUSDT Perpetual,1,252.04%,25.20,22d 23h 54m,22d 23h 54m
BNBUSDT Perpetual,0,250.02%,625.06,1y 85d 23h 22m,1y 85d 23h 22m
ADAUSDT Perpetual,13,245.49%,49.10,14d 10h 37m,14d 10h 37m
DOGEUSDT Perpetual,1,245.12%,35.30,55d 21h 16m,55d 21h 16m
