cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,429,1442.56%,4327.70,1y 57d 7h 6m,1y 57d 7h 6m
ADAUSDT Perpetual,851,1388.57%,166.63,64d 6h,64d 6h
ETHUSDT Perpetual,194,1326.10%,3978.32,1y 57d 7h 27m,1y 57d 7h 27m
DOGEUSDT Perpetual,72,1025.92%,178.51,1y 2d 22h 31m,1y 2d 22h 31m
CHZUSDT Perpetual,17,955.99%,2441.13,1y 30d 21h 27m,1y 30d 21h 27m
BAKEUSDT Perpetual,17,903.27%,90.33,50d 22h 11m,50d 22h 11m
ETHUSDT Perpetual,9,896.65%,2214.75,1y 56d 13h 38m,1y 56d 13h 38m
TRXUSDT Perpetual,51,883.89%,185.62,157d 7h 13m,157d 7h 13m
ALICEUSDT Perpetual,11,819.16%,737.25,351d 7h 49m,351d 7h 49m
ANKRUSDT Perpetual,11,774.34%,77.43,322d 16h 48m,322d 16h 48m
ETHUSDT Perpetual,0,771.67%,2098.95,1y 55d 22h 39m,1y 55d 22h 39m
UNFIUSDT Perpetual,65,744.60%,148.92,31d 3h 24m,31d 3h 24m
XMRUSDT Perpetual,7,738.26%,4429.58,160d 10h 25m,160d 10h 25m
XMRUSDT Perpetual,0,640.88%,1281.77,1y 27d 2h 44m,1y 27d 2h 44m
BTCUSDT Perpetual,36,640.73%,44.85,1y 34d 16h 11m,1y 34d 16h 11m
MATICUSDT Perpetual,2,614.99%,42.37,44d 19h 20m,44d 19h 20m
API3USDT Perpetual,19,591.99%,118.40,39d 20h 45m,39d 20h 45m
UNIUSDT Perpetual,0,528.37%,1653.80,1y 29d 22h 13m,1y 29d 22h 13m
BTCUSDT Perpetual,10,515.55%,139.20,23d 14h 20m,23d 14h 20m
BTCUSDT Perpetual,6,515.42%,139.17,23d 14h 20m,23d 14h 20m
GMTUSDT Perpetual,9,514.12%,30.85,19d 4h 9m,19d 4h 9m
CRVUSDT Perpetual,0,502.72%,235.28,33d 11m,33d 11m
BTCUSDT Perpetual,4,449.11%,224.56,1y 88d 19h 21m,1y 88d 19h 21m
LTCUSDT Perpetual,1,445.00%,1330.57,1y 29d 22h 11m,1y 29d 22h 11m
PEOPLEUSDT Perpetual,10,417.74%,34.55,45d 2h 8m,45d 2h 8m
ZECUSDT Perpetual,0,415.87%,207.94,141d 10h 40m,141d 10h 40m
BTCUSDT Perpetual,7,410.34%,272.14,31d 14h 39m,31d 14h 39m
KNCUSDT Perpetual,3,408.88%,408.89,23d 14h 4m,23d 14h 4m
BLZUSDT Perpetual,0,370.22%,111.07,155d 21h 59m,155d 21h 59m
ZRXUSDT Perpetual,9,367.64%,18.38,17d 18h 27m,17d 18h 27m
ADAUSDT Perpetual,1,365.29%,24.62,64d 9h 10m,64d 9h 10m
KNCUSDT Perpetual,0,361.51%,903.79,1y 71d 7h 46m,1y 71d 7h 46m
LTCUSDT Perpetual,0,360.53%,93.27,247d 17h 34m,247d 17h 34m
LINKUSDT Perpetual,1,359.33%,290.35,64d 1h 9m,64d 1h 9m
ETHUSDT Perpetual,0,336.74%,30.31,21d 46m,21d 46m
ETHUSDT Perpetual,2,332.15%,53.14,20d 7h 9m,20d 7h 9m
EOSUSDT Perpetual,0,330.44%,660.89,32d 13h 52m,32d 13h 52m
APEUSDT Perpetual,0,329.60%,32.96,17d 6h 52m,17d 6h 52m
TRXUSDT Perpetual,2,319.33%,408.75,179d 5h 53m,179d 5h 53m
EOSUSDT Perpetual,2,316.89%,95.07,16d 22h 27m,16d 22h 27m
TRXUSDT Perpetual,0,313.23%,156.62,104d 22h 41m,104d 22h 41m
DOTUSDT Perpetual,0,313.07%,16.50,30d 2h 15m,30d 2h 15m
ARUSDT Perpetual,0,312.01%,280.82,141d 10h 44m,141d 10h 44m
AVAXUSDT Perpetual,0,307.43%,676.35,239d 20h 38m,239d 20h 38m
SNXUSDT Perpetual,47,304.35%,18.50,24d 17h 6m,24d 17h 6m
ETHBUSD Perpetual,3,304.32%,5.63,19d 13h 18m,19d 13h 18m
1000SHIBUSDT Perpetual,5,302.82%,30.28,20d 19h 13m,20d 19h 13m
XEMUSDT Perpetual,28,302.42%,60.49,12d 10h 52m,12d 10h 52m
DOTUSDT Perpetual,2,298.77%,902.29,65d 15m,65d 15m
TRBUSDT Perpetual,5,298.53%,153.60,34d 22h 35m,34d 22h 35m
SOLUSDT Perpetual,3,295.40%,24.43,27d 19h 56m,27d 19h 56m
UNIUSDT Perpetual,0,285.90%,48.60,62d 4h 51m,62d 4h 51m
GMTUSDT Perpetual,7,283.99%,425.99,16d 1h 27m,16d 1h 27m
ALPHAUSDT Perpetual,1,280.55%,7.57,24d 2h 40m,24d 2h 40m
ETHUSDT Perpetual,10,276.39%,39.44,32d 2h 30m,32d 2h 30m
JASMYUSDT Perpetual,0,275.63%,13.23,31d 18h 37m,31d 18h 37m
TLMBUSD Perpetual,1,273.62%,410.44,29d 8h 25m,29d 8h 25m
KSMUSDT Perpetual,0,272.15%,457.22,33d 19h 58m,33d 19h 58m
ETHUSDT Perpetual,0,270.64%,54.13,29d 14h 38m,29d 14h 38m
AXSUSDT Perpetual,2,267.34%,140.52,25d 14h 37m,25d 14h 37m
LINKUSDT Perpetual,0,260.99%,1304.95,66d 10h 54m,66d 10h 54m
MASKUSDT Perpetual,0,256.34%,512.68,24d 12h,24d 12h
ATOMUSDT Perpetual,0,253.99%,86.36,234d 7h 4m,234d 7h 4m
BTSUSDT Perpetual,1,253.38%,255.91,54d 13h 42m,54d 13h 42m
1000XECUSDT Perpetual,1,253.10%,12.66,22d 9h 48m,22d 9h 48m
IOSTUSDT Perpetual,2,251.89%,14.11,31d 19h 44m,31d 19h 44m
APEBUSD Perpetual,1,250.89%,4.89,19d 13h 20m,19d 13h 20m
SUSHIUSDT Perpetual,1,249.24%,89.73,54d 6h 55m,54d 6h 55m
