cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,436,1446.67%,4340.02,1y 57d 16h 6m,1y 57d 16h 6m
ADAUSDT Perpetual,870,1379.66%,165.56,64d 15h,64d 15h
ETHUSDT Perpetual,195,1345.21%,4035.66,1y 57d 16h 27m,1y 57d 16h 27m
DOGEUSDT Perpetual,72,1025.99%,178.52,1y 3d 7h 31m,1y 3d 7h 31m
CHZUSDT Perpetual,17,959.83%,2450.94,1y 31d 6h 27m,1y 31d 6h 27m
ETHUSDT Perpetual,9,925.07%,2284.93,1y 56d 22h 38m,1y 56d 22h 38m
BAKEUSDT Perpetual,17,908.22%,90.82,51d 7h 11m,51d 7h 11m
TRXUSDT Perpetual,53,884.95%,185.84,157d 16h 13m,157d 16h 13m
ALICEUSDT Perpetual,11,819.16%,737.25,351d 16h 49m,351d 16h 49m
ETHUSDT Perpetual,0,796.15%,2165.55,1y 56d 7h 39m,1y 56d 7h 39m
ANKRUSDT Perpetual,11,776.03%,77.60,323d 1h 48m,323d 1h 48m
UNFIUSDT Perpetual,67,748.35%,149.67,31d 12h 24m,31d 12h 24m
XMRUSDT Perpetual,7,747.48%,4484.94,160d 18h 25m,160d 18h 25m
XMRUSDT Perpetual,0,663.96%,1327.93,1y 27d 10h 43m,1y 27d 10h 43m
BTCUSDT Perpetual,36,640.73%,44.85,1y 35d 11m,1y 35d 11m
MATICUSDT Perpetual,2,623.90%,42.99,45d 3h 20m,45d 3h 20m
API3USDT Perpetual,19,598.66%,119.73,40d 4h 45m,40d 4h 45m
UNIUSDT Perpetual,0,523.44%,1638.39,1y 30d 6h 13m,1y 30d 6h 13m
BTCUSDT Perpetual,11,523.36%,141.31,23d 22h 19m,23d 22h 19m
BTCUSDT Perpetual,7,523.22%,141.27,23d 22h 20m,23d 22h 20m
CRVUSDT Perpetual,0,502.72%,235.28,33d 8h 11m,33d 8h 11m
GMTUSDT Perpetual,11,475.97%,28.56,19d 12h 9m,19d 12h 9m
LTCUSDT Perpetual,1,449.65%,1344.46,1y 30d 6h 11m,1y 30d 6h 11m
BTCUSDT Perpetual,4,448.77%,224.39,1y 89d 3h 20m,1y 89d 3h 20m
ZECUSDT Perpetual,0,414.75%,207.38,141d 18h 40m,141d 18h 40m
KNCUSDT Perpetual,3,413.98%,413.98,23d 22h 4m,23d 22h 4m
PEOPLEUSDT Perpetual,10,413.86%,34.23,45d 10h 8m,45d 10h 8m
BTCUSDT Perpetual,7,409.14%,271.35,31d 22h 39m,31d 22h 39m
ETHUSDT Perpetual,0,372.65%,74.53,29d 22h 38m,29d 22h 38m
ZRXUSDT Perpetual,9,368.10%,18.41,18d 2h 27m,18d 2h 27m
ADAUSDT Perpetual,1,366.18%,24.68,64d 17h 10m,64d 17h 10m
KNCUSDT Perpetual,0,365.02%,912.57,1y 71d 15h 46m,1y 71d 15h 46m
LINKUSDT Perpetual,1,362.58%,292.97,64d 9h 9m,64d 9h 9m
LTCUSDT Perpetual,0,360.53%,93.27,248d 1h 34m,248d 1h 34m
BLZUSDT Perpetual,0,354.18%,106.26,156d 5h 59m,156d 5h 59m
ETHUSDT Perpetual,0,337.38%,30.36,21d 8h 46m,21d 8h 46m
ETHUSDT Perpetual,2,336.57%,53.85,20d 15h 9m,20d 15h 9m
EOSUSDT Perpetual,0,331.68%,663.37,32d 21h 52m,32d 21h 52m
APEUSDT Perpetual,0,329.41%,32.94,17d 14h 52m,17d 14h 52m
EOSUSDT Perpetual,2,322.71%,96.82,17d 6h 27m,17d 6h 27m
TRXUSDT Perpetual,2,319.67%,409.19,179d 13h 53m,179d 13h 53m
1000SHIBUSDT Perpetual,5,313.67%,31.37,21d 3h 13m,21d 3h 13m
ETHBUSD Perpetual,3,313.53%,5.80,19d 21h 18m,19d 21h 18m
TRXUSDT Perpetual,0,313.36%,156.68,105d 6h 41m,105d 6h 41m
GMTUSDT Perpetual,7,308.05%,462.08,16d 9h 27m,16d 9h 27m
AVAXUSDT Perpetual,0,307.43%,676.35,240d 4h 37m,240d 4h 37m
DOTUSDT Perpetual,0,305.28%,16.09,30d 10h 15m,30d 10h 15m
ARUSDT Perpetual,0,305.00%,274.50,141d 18h 44m,141d 18h 44m
TRBUSDT Perpetual,5,297.70%,153.17,35d 6h 35m,35d 6h 35m
