cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,399,1421.35%,4264.08,1y 55d 4h 6m,1y 55d 4h 6m
ADAUSDT Perpetual,759,1374.70%,164.97,62d 3h,62d 3h
ETHUSDT Perpetual,179,1264.21%,3792.66,1y 55d 4h 27m,1y 55d 4h 27m
DOGEUSDT Perpetual,65,1025.00%,178.35,1y 19h 31m,1y 19h 31m
CHZUSDT Perpetual,17,936.36%,2391.00,1y 28d 18h 27m,1y 28d 18h 27m
TRXUSDT Perpetual,50,876.75%,184.12,155d 4h 14m,155d 4h 14m
ALICEUSDT Perpetual,10,819.16%,737.25,349d 4h 49m,349d 4h 49m
ETHUSDT Perpetual,0,811.95%,2005.52,1y 54d 10h 39m,1y 54d 10h 39m
ANKRUSDT Perpetual,10,771.60%,77.16,320d 13h 48m,320d 13h 48m
XMRUSDT Perpetual,6,703.41%,4220.51,158d 6h 25m,158d 6h 25m
ETHUSDT Perpetual,0,698.74%,1900.59,1y 53d 19h 39m,1y 53d 19h 39m
UNFIUSDT Perpetual,59,692.41%,138.48,29d 24m,29d 24m
BTCUSDT Perpetual,34,640.73%,44.85,1y 32d 12h 11m,1y 32d 12h 11m
BAKEUSDT Perpetual,15,631.33%,63.13,48d 19h 11m,48d 19h 11m
API3USDT Perpetual,19,604.31%,120.86,37d 16h 45m,37d 16h 45m
XMRUSDT Perpetual,0,568.38%,1136.77,1y 24d 22h 44m,1y 24d 22h 44m
CRVUSDT Perpetual,0,502.72%,235.28,30d 20h 11m,30d 20h 11m
BTCUSDT Perpetual,3,442.32%,221.16,1y 86d 15h 21m,1y 86d 15h 21m
LTCUSDT Perpetual,1,428.69%,1281.79,1y 27d 18h 11m,1y 27d 18h 11m
UNIUSDT Perpetual,0,424.01%,1327.16,1y 27d 18h 13m,1y 27d 18h 13m
BTCUSDT Perpetual,7,413.67%,111.69,21d 10h 20m,21d 10h 20m
BTCUSDT Perpetual,3,406.93%,109.87,21d 10h 20m,21d 10h 20m
PEOPLEUSDT Perpetual,9,403.18%,33.34,42d 22h 8m,42d 22h 8m
ZECUSDT Perpetual,0,386.10%,193.05,139d 6h 40m,139d 6h 40m
DUSKUSDT Perpetual,5,383.00%,22.60,29d 22h 52m,29d 22h 52m
LTCUSDT Perpetual,0,360.53%,93.27,245d 13h 34m,245d 13h 34m
ADAUSDT Perpetual,1,359.67%,24.24,62d 5h 10m,62d 5h 10m
