cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,530,1500.75%,4502.25,1y 62d 7h 9m,1y 62d 7h 9m
ETHUSDT Perpetual,249,1470.13%,4410.42,1y 62d 7h 30m,1y 62d 7h 30m
ETHUSDT Perpetual,0,1340.57%,268.11,34d 13h 40m,34d 13h 40m
ADAUSDT Perpetual,1075,1188.24%,142.59,69d 6h 2m,69d 6h 2m
ETHUSDT Perpetual,13,1144.01%,2825.72,1y 61d 13h 41m,1y 61d 13h 41m
BAKEUSDT Perpetual,49,1142.58%,114.26,55d 22h 14m,55d 22h 14m
DOGEUSDT Perpetual,92,1031.51%,179.48,1y 7d 22h 34m,1y 7d 22h 34m
CHZUSDT Perpetual,22,1010.31%,2579.84,1y 35d 21h 29m,1y 35d 21h 29m
ETHUSDT Perpetual,0,984.30%,2677.32,1y 60d 22h 42m,1y 60d 22h 42m
TRXUSDT Perpetual,56,893.99%,187.74,162d 7h 16m,162d 7h 16m
UNFIUSDT Perpetual,93,878.78%,175.76,36d 3h 27m,36d 3h 27m
ALICEUSDT Perpetual,15,819.16%,737.25,356d 7h 52m,356d 7h 52m
ANKRUSDT Perpetual,12,806.47%,80.65,327d 16h 51m,327d 16h 51m
XMRUSDT Perpetual,7,772.34%,4634.09,165d 9h 28m,165d 9h 28m
XMRUSDT Perpetual,1,715.34%,1430.70,1y 32d 1h 46m,1y 32d 1h 46m
BTCUSDT Perpetual,43,640.73%,44.85,1y 39d 15h 14m,1y 39d 15h 14m
MATICUSDT Perpetual,5,628.70%,43.32,49d 18h 23m,49d 18h 23m
UNIUSDT Perpetual,0,563.82%,1764.78,1y 34d 21h 16m,1y 34d 21h 16m
ZRXUSDT Perpetual,14,546.57%,27.33,22d 17h 30m,22d 17h 30m
BTCUSDT Perpetual,8,525.87%,348.76,36d 13h 41m,36d 13h 41m
CRVUSDT Perpetual,0,502.72%,235.28,37d 23h 13m,37d 23h 13m
LTCUSDT Perpetual,1,491.10%,1468.40,1y 34d 21h 13m,1y 34d 21h 13m
PEOPLEUSDT Perpetual,11,487.60%,40.33,50d 1h 11m,50d 1h 11m
KNCUSDT Perpetual,6,480.56%,480.57,28d 13h 6m,28d 13h 6m
BTCUSDT Perpetual,5,465.51%,232.76,1y 93d 18h 23m,1y 93d 18h 23m
ZECUSDT Perpetual,0,449.93%,224.97,146d 9h 43m,146d 9h 43m
DOTUSDT Perpetual,2,448.00%,1352.98,69d 23h 18m,69d 23h 18m
DOTUSDT Perpetual,0,425.37%,22.42,35d 1h 17m,35d 1h 17m
BLZUSDT Perpetual,0,408.82%,122.65,160d 21h 2m,160d 21h 2m
LINKUSDT Perpetual,1,408.51%,330.08,69d 12m,69d 12m
EOSUSDT Perpetual,0,406.11%,812.22,37d 12h 55m,37d 12h 55m
ANTUSDT Perpetual,0,404.00%,60.60,34d 6h 26m,34d 6h 26m
APEUSDT Perpetual,0,390.48%,195.24,64d 3h 37m,64d 3h 37m
SNXUSDT Perpetual,66,378.92%,23.04,29d 16h 9m,29d 16h 9m
KNCUSDT Perpetual,0,374.55%,936.39,1y 76d 6h 49m,1y 76d 6h 49m
ADAUSDT Perpetual,3,371.93%,25.07,69d 8h 13m,69d 8h 13m
DOTUSDT Perpetual,0,364.09%,55.53,27d 19h 12m,27d 19h 12m
YFIUSDT Perpetual,1,360.80%,54.12,25d 7h 18m,25d 7h 18m
LTCUSDT Perpetual,2,360.53%,93.27,252d 16h 37m,252d 16h 37m
TRBUSDT Perpetual,5,356.06%,183.19,39d 21h 38m,39d 21h 38m
EOSUSDT Perpetual,4,351.00%,105.30,21d 21h 30m,21d 21h 30m
MASKUSDT Perpetual,0,342.28%,684.58,29d 11h 3m,29d 11h 3m
LTCUSDT Perpetual,0,340.64%,195.19,69d 22h 53m,69d 22h 53m
KSMUSDT Perpetual,0,328.59%,683.47,69d 23h 3m,69d 23h 3m
LINKUSDT Perpetual,1,327.32%,1636.62,71d 9h 57m,71d 9h 57m
TRXUSDT Perpetual,2,327.10%,418.70,184d 4h 55m,184d 4h 55m
ARUSDT Perpetual,0,322.92%,290.63,146d 9h 47m,146d 9h 47m
TRXUSDT Perpetual,0,318.91%,159.46,109d 21h 44m,109d 21h 44m
LUNA2BUSD Perpetual,1,313.27%,344.61,36d 4h 5m,36d 4h 5m
FTMBUSD Perpetual,1,311.14%,34.23,42d 12h 14m,42d 12h 14m
BTCUSDT Perpetual,26,308.56%,83.31,28d 13h 22m,28d 13h 22m
SANDUSDT Perpetual,1,307.55%,92.27,51d 18h 56m,51d 18h 56m
AVAXUSDT Perpetual,0,307.43%,676.35,244d 19h 40m,244d 19h 40m
MANAUSDT Perpetual,1,303.78%,60.76,39d 23h 6m,39d 23h 6m
GALAUSDT Perpetual,1,302.84%,45.43,40d 20h 19m,40d 20h 19m
ADAUSDT Perpetual,2,300.54%,3907.04,48d 16h,48d 16h
SANDUSDT Perpetual,0,295.85%,25.15,55d 16h 30m,55d 16h 30m
SOLUSDT Perpetual,3,295.40%,24.43,32d 18h 58m,32d 18h 58m
LUNA2BUSD Perpetual,5,290.98%,436.48,34d 11h 26m,34d 11h 26m
JASMYUSDT Perpetual,0,290.45%,13.94,36d 17h 40m,36d 17h 40m
XRPUSDT Perpetual,2,288.83%,57.77,41d 2m,41d 2m
UNIUSDT Perpetual,0,285.90%,48.60,67d 3h 53m,67d 3h 53m
KSMUSDT Perpetual,0,281.30%,472.59,38d 19h,38d 19h
BTSUSDT Perpetual,1,279.42%,282.22,59d 12h 45m,59d 12h 45m
ATOMUSDT Perpetual,0,275.75%,93.76,239d 6h 7m,239d 6h 7m
ETCUSDT Perpetual,1,275.08%,1237.89,80d 7h 49m,80d 7h 49m
FILUSDT Perpetual,0,269.63%,935.10,69d 35m,69d 35m
SUSHIUSDT Perpetual,1,269.26%,96.94,59d 5h 58m,59d 5h 58m
TLMBUSD Perpetual,1,264.26%,396.39,34d 7h 27m,34d 7h 27m
DOGEUSDT Perpetual,1,259.51%,37.37,55d 3h 17m,55d 3h 17m
BNBUSDT Perpetual,0,256.29%,640.73,1y 85d 5h 22m,1y 85d 5h 22m
IOSTUSDT Perpetual,2,255.20%,14.29,36d 18h 47m,36d 18h 47m
ANCBUSD Perpetual,5,254.04%,76.21,30d 15h 17m,30d 15h 17m
HNTUSDT Perpetual,1,247.17%,51.91,41d 14h 35m,41d 14h 35m
AVAXUSDT Perpetual,1,246.06%,238.68,54d 3h 41m,54d 3h 41m
API3USDT Perpetual,0,245.56%,30.45,20d 21h 26m,20d 21h 26m
ATOMUSDT Perpetual,0,243.84%,392.58,68d 14h 51m,68d 14h 51m
THETAUSDT Perpetual,0,242.56%,60.64,19d 3h 22m,19d 3h 22m
PEOPLEUSDT Perpetual,0,241.10%,1205.52,54d 50m,54d 50m
CRVUSDT Perpetual,0,240.08%,225.39,68d 15h 2m,68d 15h 2m
LITUSDT Perpetual,2,235.26%,1176.28,29d 19h 42m,29d 19h 42m
REEFUSDT Perpetual,0,231.91%,32.47,58d 2h 27m,58d 2h 27m
ADAUSDT Perpetual,0,228.90%,48.82,41d 2h 42m,41d 2h 42m
XRPUSDT Perpetual,21,224.70%,28087.93,1y 58d 20h 19m,1y 58d 20h 19m
SOLBUSD Perpetual,2,223.15%,1115.80,40d 2h 1m,40d 2h 1m
GALBUSD Perpetual,0,222.03%,37.95,22d 3h 45m,22d 3h 45m
ADABUSD Perpetual,1,220.63%,2841.83,67d 21h 36m,67d 21h 36m
LITUSDT Perpetual,0,218.89%,65.67,31d 12h 42m,31d 12h 42m
ETHUSDT Perpetual,3,218.17%,1271.97,38d 18h 31m,38d 18h 31m
GMTUSDT Perpetual,7,218.03%,8.70,37d 8h 16m,37d 8h 16m
ZILUSDT Perpetual,2,217.49%,18.49,21d 20h 1m,21d 20h 1m
UNIUSDT Perpetual,0,216.83%,587.61,1y 60d 22h 40m,1y 60d 22h 40m
ETHBUSD Perpetual,1,215.65%,4313.18,40d 23h 34m,40d 23h 34m
ADAUSDT Perpetual,0,212.64%,35.34,172d 14h 40m,172d 14h 40m
STORJUSDT Perpetual,0,211.54%,63.46,30d 3h 33m,30d 3h 33m
ZILUSDT Perpetual,0,211.16%,2.32,100d 13h 25m,100d 13h 25m
LITUSDT Perpetual,0,209.53%,38.09,31d 6h 16m,31d 6h 16m
LTCUSDT Perpetual,0,205.60%,1375.53,66d 21h 9m,66d 21h 9m
ETCUSDT Perpetual,0,205.44%,302.00,126d 21h 56m,126d 21h 56m
CRVUSDT Perpetual,0,204.82%,51.21,53d 20h 48m,53d 20h 48m
LTCUSDT Perpetual,0,204.75%,728.94,1y 47d 1h 51m,1y 47d 1h 51m
CHRUSDT Perpetual,0,203.55%,203.56,41d 9h 50m,41d 9h 50m
TLMBUSD Perpetual,0,201.74%,50.44,40d 3h 32m,40d 3h 32m
DOGEUSDT Perpetual,1,200.19%,161.20,38d 11h 26m,38d 11h 26m
1000LUNCBUSD Perpetual,27,199.95%,32.29,18d 16h 5m,18d 16h 5m
DODOBUSD Perpetual,0,199.71%,699.01,39d 7h 53m,39d 7h 53m
SNXUSDT Perpetual,0,199.24%,29.89,29d 22h 58m,29d 22h 58m
SANDUSDT Perpetual,0,196.96%,98.48,58d 18h 16m,58d 18h 16m
LINAUSDT Perpetual,0,194.94%,877.27,48d 21h 57m,48d 21h 57m
ADABUSD Perpetual,0,194.59%,33.08,67d 3h 34m,67d 3h 34m
BNBBUSD Perpetual,11,194.04%,2499.33,68d 23h 43m,68d 23h 43m
WAVESUSDT Perpetual,0,193.38%,38.68,26d 21h 16m,26d 21h 16m
DODOBUSD Perpetual,1,193.08%,241.36,10d 21h 49m,10d 21h 49m
ETCUSDT Perpetual,0,190.96%,57.29,66d 6h 34m,66d 6h 34m
1000SHIBUSDT Perpetual,0,186.82%,5.60,25d 4h 9m,25d 4h 9m
EOSUSDT Perpetual,1,184.24%,27.64,40d 23h 44m,40d 23h 44m
PEOPLEUSDT Perpetual,0,183.31%,124.65,30d 11h 56m,30d 11h 56m
ADAUSDT Perpetual,0,182.45%,3.78,34d 15h 11m,34d 15h 11m
SOLBUSD Perpetual,0,182.43%,176.51,45d 20h 58m,45d 20h 58m
LINKUSDT Perpetual,1,181.90%,909.54,72d 9h 33m,72d 9h 33m
GRTUSDT Perpetual,0,177.13%,70.85,54d 1h 5m,54d 1h 5m
PEOPLEUSDT Perpetual,0,176.38%,38.15,29d 16h 39m,29d 16h 39m
1000XECUSDT Perpetual,1,172.13%,8.61,27d 8h 51m,27d 8h 51m
CVCUSDT Perpetual,0,171.08%,25.66,144d 20h 27m,144d 20h 27m
DODOBUSD Perpetual,0,170.95%,1709.54,37d 4h 24m,37d 4h 24m
1000SHIBUSDT Perpetual,0,170.67%,76.49,28d 21h 50m,28d 21h 50m
1000LUNCBUSD Perpetual,1,169.32%,25.40,13d 1h 37m,13d 1h 37m
AUDIOUSDT Perpetual,4,167.83%,33.57,26d 17h 3m,26d 17h 3m
ALICEUSDT Perpetual,0,166.38%,831.95,68d 23h 3m,68d 23h 3m
1000LUNCBUSD Perpetual,10,164.82%,16482.01,22d 4h 30m,22d 4h 30m
XRPBUSD Perpetual,5,164.14%,6.57,201d 10h 48m,201d 10h 48m
CHZUSDT Perpetual,0,163.92%,62.36,62d 10h 12m,62d 10h 12m
