cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,409,1414.48%,4243.47,1y 55d 12h 6m,1y 55d 12h 6m
ADAUSDT Perpetual,776,1387.43%,166.49,62d 11h,62d 11h
ETHUSDT Perpetual,181,1263.00%,3789.01,1y 55d 12h 27m,1y 55d 12h 27m
DOGEUSDT Perpetual,66,1024.03%,178.18,1y 1d 3h 31m,1y 1d 3h 31m
CHZUSDT Perpetual,17,924.12%,2359.76,1y 29d 2h 27m,1y 29d 2h 27m
TRXUSDT Perpetual,51,873.90%,183.52,155d 12h 14m,155d 12h 14m
ALICEUSDT Perpetual,10,819.16%,737.25,349d 12h 49m,349d 12h 49m
ETHUSDT Perpetual,0,809.40%,1999.23,1y 54d 18h 39m,1y 54d 18h 39m
ANKRUSDT Perpetual,10,765.34%,76.53,320d 21h 49m,320d 21h 49m
ETHUSDT Perpetual,0,696.55%,1894.63,1y 54d 3h 40m,1y 54d 3h 40m
XMRUSDT Perpetual,6,686.95%,4121.73,158d 14h 25m,158d 14h 25m
API3USDT Perpetual,19,641.32%,128.27,38d 45m,38d 45m
BTCUSDT Perpetual,36,640.73%,44.85,1y 32d 20h 11m,1y 32d 20h 11m
UNFIUSDT Perpetual,61,636.36%,127.27,29d 8h 25m,29d 8h 25m
BAKEUSDT Perpetual,15,592.17%,59.22,49d 3h 11m,49d 3h 11m
XMRUSDT Perpetual,0,535.18%,1070.37,1y 25d 6h 44m,1y 25d 6h 44m
CRVUSDT Perpetual,0,502.72%,235.28,31d 4h 11m,31d 4h 11m
BTCUSDT Perpetual,3,440.89%,220.45,1y 86d 23h 21m,1y 86d 23h 21m
LTCUSDT Perpetual,1,423.35%,1265.84,1y 28d 2h 11m,1y 28d 2h 11m
BTCUSDT Perpetual,7,414.58%,111.94,21d 18h 20m,21d 18h 20m
UNIUSDT Perpetual,0,414.38%,1297.01,1y 28d 2h 14m,1y 28d 2h 14m
BTCUSDT Perpetual,3,409.48%,110.56,21d 18h 20m,21d 18h 20m
PEOPLEUSDT Perpetual,9,392.96%,32.50,43d 6h 8m,43d 6h 8m
ZECUSDT Perpetual,0,382.48%,191.24,139d 14h 40m,139d 14h 40m
DUSKUSDT Perpetual,5,381.18%,22.49,30d 6h 52m,30d 6h 52m
LTCUSDT Perpetual,0,360.53%,93.27,245d 21h 34m,245d 21h 34m
ADAUSDT Perpetual,1,353.77%,23.84,62d 13h 10m,62d 13h 10m
KNCUSDT Perpetual,0,344.89%,862.23,1y 69d 11h 47m,1y 69d 11h 47m
ETHUSDT Perpetual,9,331.10%,47.25,30d 6h 30m,30d 6h 30m
LINKUSDT Perpetual,1,329.58%,266.31,62d 5h 9m,62d 5h 9m
BLZUSDT Perpetual,0,315.79%,94.74,154d 1h 59m,154d 1h 59m
TRXUSDT Perpetual,2,310.41%,397.33,177d 9h 53m,177d 9h 53m
ETHBUSD Perpetual,16,309.08%,374.00,27d 6h 16m,27d 6h 16m
AVAXUSDT Perpetual,0,307.43%,676.35,238d 38m,238d 38m
TRXUSDT Perpetual,0,306.78%,153.39,103d 2h 41m,103d 2h 41m
KNCUSDT Perpetual,3,306.34%,306.35,21d 18h 4m,21d 18h 4m
ETHUSDT Perpetual,1,303.87%,303.87,12d 9h 35m,12d 9h 35m
TRBUSDT Perpetual,5,303.54%,156.17,33d 2h 36m,33d 2h 36m
GMTUSDT Perpetual,6,301.72%,452.59,14d 5h 27m,14d 5h 27m
SOLUSDT Perpetual,3,295.40%,24.43,25d 23h 56m,25d 23h 56m
BTCUSDT Perpetual,7,277.56%,184.08,29d 18h 39m,29d 18h 39m
UNIUSDT Perpetual,0,276.89%,47.07,60d 8h 51m,60d 8h 51m
ARUSDT Perpetual,0,275.42%,247.89,139d 14h 44m,139d 14h 44m
1000SHIBUSDT Perpetual,5,274.08%,27.41,18d 23h 13m,18d 23h 13m
JASMYUSDT Perpetual,0,273.37%,13.12,29d 22h 37m,29d 22h 37m
TLMBUSD Perpetual,1,272.67%,409.02,27d 12h 25m,27d 12h 25m
BTCBUSD Perpetual,15,270.89%,22.13,25d 9h 38m,25d 9h 38m
SNXUSDT Perpetual,45,268.21%,16.31,22d 21h 6m,22d 21h 6m
1000SHIBUSDT Perpetual,10,267.03%,21.36,20d 13h 54m,20d 13h 54m
EOSUSDT Perpetual,0,264.48%,528.97,30d 17h 52m,30d 17h 52m
THETAUSDT Perpetual,0,263.56%,105.43,29d 4h 31m,29d 4h 31m
APEUSDT Perpetual,0,256.10%,25.61,15d 10h 52m,15d 10h 52m
MATICUSDT Perpetual,1,254.44%,17.53,42d 23h 20m,42d 23h 20m
MATICUSDT Perpetual,4,249.46%,104.88,20d 16h 48m,20d 16h 48m
ETHUSDT Perpetual,5,245.43%,7.36,15d 9h 51m,15d 9h 51m
SNXUSDT Perpetual,1,242.40%,29.84,13d 11h 51m,13d 11h 51m
AVAXUSDT Perpetual,0,241.15%,137.08,23d 18h 38m,23d 18h 38m
AXSUSDT Perpetual,1,241.10%,126.72,23d 18h 37m,23d 18h 37m
1000XECUSDT Perpetual,1,240.43%,12.02,20d 13h 49m,20d 13h 49m
IOSTUSDT Perpetual,2,239.80%,13.43,29d 23h 44m,29d 23h 44m
BNBUSDT Perpetual,0,236.38%,590.97,1y 78d 10h 19m,1y 78d 10h 19m
LINKUSDT Perpetual,0,234.05%,1170.27,64d 14h 54m,64d 14h 54m
ANCBUSD Perpetual,4,231.80%,69.54,23d 20h 15m,23d 20h 15m
API3USDT Perpetual,0,219.57%,27.23,14d 2h 24m,14d 2h 24m
APEBUSD Perpetual,0,219.49%,4.28,17d 17h 20m,17d 17h 20m
ALPHAUSDT Perpetual,0,218.87%,5.91,22d 6h 40m,22d 6h 40m
GMTUSDT Perpetual,6,218.03%,8.70,30d 13h 13m,30d 13h 13m
NEARUSDT Perpetual,1,216.33%,113.40,23d 19h 12m,23d 19h 12m
ATOMUSDT Perpetual,0,216.15%,73.49,232d 11h 4m,232d 11h 4m
EOSUSDT Perpetual,2,215.65%,64.70,15d 2h 27m,15d 2h 27m
KSMUSDT Perpetual,0,214.61%,360.55,31d 23h 58m,31d 23h 58m
ADAUSDT Perpetual,0,212.64%,35.34,165d 19h 37m,165d 19h 37m
ZILUSDT Perpetual,0,211.16%,2.32,93d 18h 22m,93d 18h 22m
CHZUSDT Perpetual,0,210.90%,21.09,20d 12h 10m,20d 12h 10m
SUSHIUSDT Perpetual,1,206.97%,74.51,52d 10h 55m,52d 10h 55m
PEOPLEUSDT Perpetual,0,205.62%,1028.13,47d 5h 47m,47d 5h 47m
ZRXUSDT Perpetual,8,202.48%,10.12,15d 22h 27m,15d 22h 27m
ETHUSDT Perpetual,1,201.93%,23.91,29d 17h 30m,29d 17h 30m
THETAUSDT Perpetual,0,198.98%,199.98,28d 10h 30m,28d 10h 30m
XMRUSDT Perpetual,1,198.87%,433.54,117d 8h 49m,117d 8h 49m
STORJUSDT Perpetual,0,197.36%,59.21,23d 8h 30m,23d 8h 30m
BATUSDT Perpetual,0,196.41%,23.57,26d 5h 28m,26d 5h 28m
MANAUSDT Perpetual,1,192.72%,38.55,33d 4h 4m,33d 4h 4m
HNTUSDT Perpetual,1,189.21%,39.74,34d 19h 33m,34d 19h 33m
UNFIUSDT Perpetual,0,188.91%,18.89,14d 1h 41m,14d 1h 41m
XRPUSDT Perpetual,2,187.05%,11.43,30d 7h 8m,30d 7h 8m
STORJUSDT Perpetual,0,185.93%,40.91,24d 11h 9m,24d 11h 9m
MATICUSDT Perpetual,1,185.72%,29.72,50d 6h 13m,50d 6h 13m
AVAXUSDT Perpetual,1,185.15%,179.60,47d 8h 39m,47d 8h 39m
IOTXUSDT Perpetual,0,184.81%,13.21,29d 3h 31m,29d 3h 31m
SOLUSDT Perpetual,0,184.00%,92.00,24d 17h 41m,24d 17h 41m
ETHUSDT Perpetual,0,183.21%,16.49,19d 4h 46m,19d 4h 46m
XRPUSDT Perpetual,17,181.70%,22712.70,1y 52d 1h 17m,1y 52d 1h 17m
MASKUSDT Perpetual,0,181.69%,363.38,22d 16h,22d 16h
LINKUSDT Perpetual,0,180.19%,98.49,20d 23h 48m,20d 23h 48m
MASKUSDT Perpetual,0,179.53%,26.93,20d 14h 38m,20d 14h 38m
SOLBUSD Perpetual,1,178.82%,894.15,33d 6h 58m,33d 6h 58m
LINKUSDT Perpetual,0,175.37%,70.15,24d 16h 27m,24d 16h 27m
MATICUSDT Perpetual,0,174.30%,22.42,19d 12h 33m,19d 12h 33m
CVCUSDT Perpetual,0,174.19%,43.55,29d 10h 36m,29d 10h 36m
LTCUSDT Perpetual,0,173.83%,618.84,1y 40d 6h 48m,1y 40d 6h 48m
SNXUSDT Perpetual,0,173.73%,51.41,15d 9h 15m,15d 9h 15m
BTCUSDT Perpetual,1,173.29%,18.44,19d 12h 11m,19d 12h 11m
FLMUSDT Perpetual,2,172.44%,22.44,18d 19h 36m,18d 19h 36m
ETHUSDT Perpetual,0,171.37%,171.38,21d 23h 41m,21d 23h 41m
BTSUSDT Perpetual,1,169.58%,171.28,52d 17h 42m,52d 17h 42m
1000LUNCBUSD Perpetual,6,169.52%,16952.29,15d 9h 27m,15d 9h 27m
SANDUSDT Perpetual,1,168.98%,50.70,44d 23h 53m,44d 23h 53m
DOTUSDT Perpetual,2,168.93%,510.18,63d 4h 15m,63d 4h 15m
SOLBUSD Perpetual,0,168.75%,168.75,26d 21h 7m,26d 21h 7m
BNBBUSD Perpetual,16,168.01%,12.00,30d 7h 44m,30d 7h 44m
LINKUSDT Perpetual,0,167.46%,11.17,12d 13h 46m,12d 13h 46m
DOTUSDT Perpetual,0,167.07%,8.80,28d 6h 15m,28d 6h 15m
TRXUSDT Perpetual,0,165.92%,240.59,120d 2h 52m,120d 2h 52m
DODOBUSD Perpetual,0,165.50%,20.82,15d 13h 32m,15d 13h 32m
ETHBUSD Perpetual,0,165.30%,330.61,23d 20h 40m,23d 20h 40m
XRPBUSD Perpetual,5,164.14%,6.57,194d 15h 46m,194d 15h 46m
MATICUSDT Perpetual,0,164.11%,31.54,40d 19h 35m,40d 19h 35m
SANDUSDT Perpetual,0,163.96%,13.94,48d 21h 27m,48d 21h 27m
BTCBUSD Perpetual,1,163.46%,114.42,21d 18h 27m,21d 18h 27m
BTCBUSD Perpetual,0,162.40%,113.69,21d 18h 28m,21d 18h 28m
RLCUSDT Perpetual,0,162.23%,27.58,13d 6h 2m,13d 6h 2m
ETHBUSD Perpetual,2,162.01%,21.14,26d 11h 27m,26d 11h 27m
SOLUSDT Perpetual,1,160.46%,240.70,12d 13h 25m,12d 13h 25m
ETHUSDT Perpetual,0,159.25%,17.52,28d 6h 15m,28d 6h 15m
THETAUSDT Perpetual,0,158.38%,39.60,12d 8h 19m,12d 8h 19m
OGNUSDT Perpetual,0,157.71%,27.60,15d 35m,15d 35m
LITUSDT Perpetual,1,157.66%,788.28,23d 40m,23d 40m
BCHUSDT Perpetual,0,155.46%,9.14,27d 10h 20m,27d 10h 20m
ETHBUSD Perpetual,0,153.20%,148.61,29d 15h 51m,29d 15h 51m
LITUSDT Perpetual,0,153.00%,382.51,25d 9h 53m,25d 9h 53m
BTCUSDT Perpetual,0,151.95%,607.81,21d 15h 12m,21d 15h 12m
ETHUSDT Perpetual,1,151.90%,24.30,18d 11h 9m,18d 11h 9m
SANDUSDT Perpetual,0,151.49%,227.24,12d 15h 16m,12d 15h 16m
DASHUSDT Perpetual,0,151.45%,10.30,24d 37m,24d 37m
SUSHIUSDT Perpetual,0,151.00%,17.97,28d 22h 11m,28d 22h 11m
GMTUSDT Perpetual,0,149.98%,749.90,14d 23h 5m,14d 23h 5m
BTCUSDT Perpetual,2,149.96%,112.94,15d 18h 39m,15d 18h 39m
XRPUSDT Perpetual,0,149.70%,7.49,24d 6h 5m,24d 6h 5m
UNFIUSDT Perpetual,2,149.36%,29.87,10d 2h 41m,10d 2h 41m
SNXUSDT Perpetual,0,149.13%,22.37,23d 3h 56m,23d 3h 56m
LINKUSDT Perpetual,1,148.97%,22.39,11d 7h 40m,11d 7h 40m
1000LUNCBUSD Perpetual,0,148.81%,14881.16,15d 9h 39m,15d 9h 39m
APEBUSD Perpetual,0,148.12%,1851.62,32d 6h 34m,32d 6h 34m
XRPUSDT Perpetual,1,147.76%,1.46,25d 19h 33m,25d 19h 33m
BATUSDT Perpetual,0,147.47%,23.91,21d 5h 31m,21d 5h 31m
WAVESUSDT Perpetual,0,147.01%,735.08,25d 5h 13m,25d 5h 13m
WAVESUSDT Perpetual,0,145.43%,145.43,60d 19h 38m,60d 19h 38m
ETHUSDT Perpetual,1,142.87%,14.42,29d 21h 11m,29d 21h 11m
SANDUSDT Perpetual,0,142.39%,71.20,51d 23h 13m,51d 23h 13m
ZENUSDT Perpetual,0,142.25%,376.99,1y 63d 11h 29m,1y 63d 11h 29m
CHZUSDT Perpetual,0,141.88%,74.29,19d 2m,19d 2m
SOLUSDT Perpetual,0,141.79%,283.60,28d 7h 38m,28d 7h 38m
LUNA2BUSD Perpetual,2,141.15%,6.20,32d 11h 25m,32d 11h 25m
PEOPLEUSDT Perpetual,0,140.78%,281.58,31d 14h 14m,31d 14h 14m
AXSUSDT Perpetual,0,140.40%,196.57,27d 15h 46m,27d 15h 46m
BTCBUSD Perpetual,7,138.42%,197.95,24d 19h 20m,24d 19h 20m
MTLUSDT Perpetual,0,138.03%,41.41,23d 13h 42m,23d 13h 42m
PEOPLEUSDT Perpetual,0,138.03%,29.86,22d 21h 36m,22d 21h 36m
SOLBUSD Perpetual,0,137.95%,1776.88,31d 15h 19m,31d 15h 19m
BTCBUSD Perpetual,0,137.90%,1379.03,27d 43m,27d 43m
BTCUSDT Perpetual,0,137.85%,55.14,24d 20h,24d 20h
BNBUSDT Perpetual,0,137.51%,183.35,12d 9h 27m,12d 9h 27m
CRVUSDT Perpetual,0,137.48%,129.07,61d 19h 59m,61d 19h 59m
APEBUSD Perpetual,0,137.39%,114.16,13d 10h 57m,13d 10h 57m
DOGEUSDT Perpetual,1,135.88%,109.41,31d 16h 23m,31d 16h 23m
BNBBUSD Perpetual,7,135.59%,1746.51,62d 4h 41m,62d 4h 41m
LITUSDT Perpetual,0,135.39%,40.62,24d 17h 40m,24d 17h 40m
CHZUSDT Perpetual,0,135.37%,51.50,55d 15h 9m,55d 15h 9m
SOLBUSD Perpetual,2,134.80%,71.47,24d 15h 54m,24d 15h 54m
TLMBUSD Perpetual,0,134.43%,134.44,13d 6h 57m,13d 6h 57m
WAVESUSDT Perpetual,0,134.32%,67.16,44d 2h 3m,44d 2h 3m
XEMUSDT Perpetual,26,133.93%,26.79,10d 14h 53m,10d 14h 53m
AVAXBUSD Perpetual,0,133.69%,20.05,28d 6h 50m,28d 6h 50m
ATOMUSDT Perpetual,0,133.29%,214.60,61d 19h 49m,61d 19h 49m
1000SHIBUSDT Perpetual,0,133.15%,39.95,23d 6h 9m,23d 6h 9m
BTCBUSD Perpetual,0,132.08%,1316.19,24d 13h 30m,24d 13h 30m
ETHUSDT Perpetual,1,132.01%,33.00,25d 23h 38m,25d 23h 38m
ANCBUSD Perpetual,2,131.88%,13188.39,23d 14h 51m,23d 14h 51m
XRPUSDT Perpetual,0,131.30%,41.36,1y 41d 12h 21m,1y 41d 12h 21m
CELRUSDT Perpetual,0,131.02%,196.54,12d 7h 47m,12d 7h 47m
1000SHIBUSDT Perpetual,1,130.81%,32.70,22d 1h 25m,22d 1h 25m
RVNUSDT Perpetual,0,130.28%,13.03,26d 19h 29m,26d 19h 29m
SOLUSDT Perpetual,0,129.19%,21.51,16d 21h 35m,16d 21h 35m
ATOMUSDT Perpetual,0,129.09%,27.11,26d 39m,26d 39m
ADABUSD Perpetual,0,128.47%,1654.75,61d 2h 34m,61d 2h 34m
LTCUSDT Perpetual,0,128.46%,25.69,27d 1h 37m,27d 1h 37m
MATICUSDT Perpetual,0,127.88%,6.39,1y 49d 22h 41m,1y 49d 22h 41m
BTCUSDT Perpetual,2,127.34%,107.10,6d 23h 40m,6d 23h 40m
GMTBUSD Perpetual,2,127.17%,2.67,19d 6h 42m,19d 6h 42m
WAVESUSDT Perpetual,0,126.98%,76.19,23d 23h 55m,23d 23h 55m
MATICUSDT Perpetual,0,126.62%,59.52,40d 8h 42m,40d 8h 42m
APEUSDT Perpetual,0,126.56%,13.92,16d 17h 56m,16d 17h 56m
GMTBUSD Perpetual,1,125.66%,40.21,23d 11h 34m,23d 11h 34m
LUNA2BUSD Perpetual,1,125.53%,138.09,29d 9h 3m,29d 9h 3m
TLMBUSD Perpetual,0,124.80%,30.45,15d 13h 34m,15d 13h 34m
LITUSDT Perpetual,0,124.25%,22.59,24d 11h 13m,24d 11h 13m
UNIUSDT Perpetual,0,123.93%,335.88,1y 54d 3h 37m,1y 54d 3h 37m
GMTUSDT Perpetual,0,123.87%,87.95,17d 6h 10m,17d 6h 10m
MATICUSDT Perpetual,2,123.46%,61.73,49d 7h 8m,49d 7h 8m
STORJUSDT Perpetual,0,122.29%,3.67,10d 3h 7m,10d 3h 7m
BNXUSDT Perpetual,2,121.87%,9140.52,30d 44m,30d 44m
BNBUSDT Perpetual,3,121.25%,42.22,29d 20h 27m,29d 20h 27m
1000SHIBUSDT Perpetual,0,120.47%,15.71,19d 5h 42m,19d 5h 42m
PEOPLEUSDT Perpetual,6,119.72%,2394.54,16d 1h 32m,16d 1h 32m
