cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,415,1424.29%,4272.88,1y 56d 7h 6m,1y 56d 7h 6m
ADAUSDT Perpetual,804,1392.57%,167.11,63d 6h,63d 6h
ETHUSDT Perpetual,189,1268.11%,3804.35,1y 56d 7h 27m,1y 56d 7h 27m
DOGEUSDT Perpetual,68,1024.08%,178.19,1y 1d 22h 31m,1y 1d 22h 31m
CHZUSDT Perpetual,17,927.75%,2369.01,1y 29d 21h 27m,1y 29d 21h 27m
TRXUSDT Perpetual,51,876.74%,184.12,156d 7h 14m,156d 7h 14m
ALICEUSDT Perpetual,11,819.16%,737.25,350d 7h 49m,350d 7h 49m
ETHUSDT Perpetual,0,815.48%,2014.25,1y 55d 13h 39m,1y 55d 13h 39m
ANKRUSDT Perpetual,11,767.87%,76.79,321d 16h 48m,321d 16h 48m
BAKEUSDT Perpetual,17,714.94%,71.49,49d 22h 11m,49d 22h 11m
ETHUSDT Perpetual,0,701.78%,1908.86,1y 54d 22h 40m,1y 54d 22h 40m
XMRUSDT Perpetual,6,701.13%,4206.83,159d 9h 25m,159d 9h 25m
API3USDT Perpetual,19,641.00%,128.20,38d 19h 45m,38d 19h 45m
BTCUSDT Perpetual,36,640.73%,44.85,1y 33d 15h 11m,1y 33d 15h 11m
UNFIUSDT Perpetual,64,637.21%,127.44,30d 3h 25m,30d 3h 25m
XMRUSDT Perpetual,0,561.23%,1122.47,1y 26d 1h 44m,1y 26d 1h 44m
CRVUSDT Perpetual,0,502.72%,235.28,31d 23h 11m,31d 23h 11m
MATICUSDT Perpetual,1,478.09%,32.94,43d 18h 20m,43d 18h 20m
UNIUSDT Perpetual,0,468.04%,1464.99,1y 28d 21h 13m,1y 28d 21h 13m
BTCUSDT Perpetual,4,445.68%,120.33,22d 13h 20m,22d 13h 20m
BTCUSDT Perpetual,9,445.63%,120.32,22d 13h 20m,22d 13h 20m
BTCUSDT Perpetual,4,441.63%,220.82,1y 87d 18h 21m,1y 87d 18h 21m
LTCUSDT Perpetual,1,424.97%,1270.67,1y 28d 21h 11m,1y 28d 21h 11m
PEOPLEUSDT Perpetual,9,391.35%,32.36,44d 1h 8m,44d 1h 8m
ZECUSDT Perpetual,0,384.44%,192.22,140d 9h 40m,140d 9h 40m
LTCUSDT Perpetual,0,360.53%,93.27,246d 16h 34m,246d 16h 34m
ADAUSDT Perpetual,1,353.74%,23.84,63d 8h 10m,63d 8h 10m
KNCUSDT Perpetual,0,344.70%,861.77,1y 70d 6h 46m,1y 70d 6h 46m
LINKUSDT Perpetual,1,334.92%,270.62,63d 9m,63d 9m
ETHUSDT Perpetual,10,331.97%,47.37,31d 1h 30m,31d 1h 30m
BLZUSDT Perpetual,0,328.05%,98.42,154d 20h 59m,154d 20h 59m
ETHUSDT Perpetual,1,319.07%,319.08,13d 4h 35m,13d 4h 35m
GMTUSDT Perpetual,6,316.46%,474.70,15d 27m,15d 27m
KNCUSDT Perpetual,3,312.61%,312.61,22d 13h 4m,22d 13h 4m
TRXUSDT Perpetual,2,312.47%,399.97,178d 4h 53m,178d 4h 53m
ETHBUSD Perpetual,16,308.78%,373.63,28d 1h 16m,28d 1h 16m
TRXUSDT Perpetual,0,308.20%,154.10,103d 21h 41m,103d 21h 41m
AVAXUSDT Perpetual,0,307.43%,676.35,238d 19h 38m,238d 19h 38m
TRBUSDT Perpetual,5,304.51%,156.67,33d 21h 35m,33d 21h 35m
SNXUSDT Perpetual,46,301.12%,18.31,23d 16h 6m,23d 16h 6m
BTCUSDT Perpetual,7,298.83%,198.18,30d 13h 39m,30d 13h 39m
SOLUSDT Perpetual,3,295.40%,24.43,26d 18h 56m,26d 18h 56m
ETHUSDT Perpetual,5,288.46%,8.65,16d 4h 51m,16d 4h 51m
ARUSDT Perpetual,0,287.63%,258.87,140d 9h 44m,140d 9h 44m
UNIUSDT Perpetual,0,285.90%,48.60,61d 3h 51m,61d 3h 51m
1000SHIBUSDT Perpetual,5,282.41%,28.24,19d 18h 13m,19d 18h 13m
EOSUSDT Perpetual,0,279.81%,559.63,31d 12h 52m,31d 12h 52m
BTCBUSD Perpetual,15,277.53%,22.67,26d 4h 38m,26d 4h 38m
1000SHIBUSDT Perpetual,19,277.03%,22.16,21d 8h 54m,21d 8h 54m
TLMBUSD Perpetual,1,274.92%,412.39,28d 7h 25m,28d 7h 25m
JASMYUSDT Perpetual,0,274.50%,13.18,30d 17h 37m,30d 17h 37m
ALPHAUSDT Perpetual,1,267.76%,7.23,23d 1h 40m,23d 1h 40m
GMTUSDT Perpetual,7,262.22%,15.73,18d 3h 9m,18d 3h 9m
APEUSDT Perpetual,0,261.76%,26.18,16d 5h 52m,16d 5h 52m
AXSUSDT Perpetual,2,252.18%,132.55,24d 13h 37m,24d 13h 37m
1000XECUSDT Perpetual,1,248.47%,12.42,21d 8h 49m,21d 8h 49m
EOSUSDT Perpetual,2,246.52%,73.96,15d 21h 27m,15d 21h 27m
AVAXUSDT Perpetual,0,243.95%,138.66,24d 13h 38m,24d 13h 38m
ZRXUSDT Perpetual,8,241.60%,12.08,16d 17h 27m,16d 17h 27m
APEBUSD Perpetual,1,241.19%,4.70,18d 12h 20m,18d 12h 20m
IOSTUSDT Perpetual,2,241.09%,13.50,30d 18h 44m,30d 18h 44m
BNBUSDT Perpetual,0,238.35%,595.89,1y 79d 5h 19m,1y 79d 5h 19m
LINKUSDT Perpetual,0,238.19%,1190.97,65d 9h 54m,65d 9h 54m
ANCBUSD Perpetual,5,230.83%,69.25,24d 15h 15m,24d 15h 15m
ATOMUSDT Perpetual,0,226.21%,76.91,233d 6h 4m,233d 6h 4m
SUSHIUSDT Perpetual,1,224.61%,80.86,53d 5h 55m,53d 5h 55m
NEARUSDT Perpetual,1,220.67%,115.68,24d 14h 12m,24d 14h 12m
KSMUSDT Perpetual,0,219.82%,369.31,32d 18h 58m,32d 18h 58m
API3USDT Perpetual,0,219.57%,27.23,14d 21h 24m,14d 21h 24m
BTCUSDT Perpetual,1,218.30%,23.23,20d 7h 11m,20d 7h 11m
GMTUSDT Perpetual,6,218.03%,8.70,31d 8h 13m,31d 8h 13m
MATICUSDT Perpetual,1,217.20%,34.75,51d 1h 13m,51d 1h 13m
MATICUSDT Perpetual,0,216.30%,27.82,20d 7h 33m,20d 7h 33m
MATICUSDT Perpetual,2,214.81%,107.41,50d 2h 8m,50d 2h 8m
CHZUSDT Perpetual,0,214.80%,21.48,21d 7h 10m,21d 7h 10m
ADAUSDT Perpetual,0,212.64%,35.34,166d 14h 37m,166d 14h 37m
ZILUSDT Perpetual,0,211.16%,2.32,94d 13h 22m,94d 13h 22m
ETHUSDT Perpetual,1,207.86%,24.61,30d 12h 30m,30d 12h 30m
ETHUSDT Perpetual,0,206.99%,18.63,19d 23h 46m,19d 23h 46m
THETAUSDT Perpetual,0,204.77%,205.80,29d 5h 30m,29d 5h 30m
PEOPLEUSDT Perpetual,0,204.47%,1022.38,48d 47m,48d 47m
MASKUSDT Perpetual,0,202.82%,405.66,23d 11h,23d 11h
STORJUSDT Perpetual,0,199.75%,59.93,24d 3h 30m,24d 3h 30m
BATUSDT Perpetual,0,198.18%,23.78,27d 28m,27d 28m
MANAUSDT Perpetual,1,195.82%,39.16,33d 23h 4m,33d 23h 4m
SNXUSDT Perpetual,1,195.46%,24.06,14d 6h 51m,14d 6h 51m
UNFIUSDT Perpetual,0,193.73%,19.37,14d 20h 41m,14d 20h 41m
AVAXUSDT Perpetual,1,193.70%,187.90,48d 3h 39m,48d 3h 39m
SANDUSDT Perpetual,1,193.25%,57.98,45d 18h 53m,45d 18h 53m
BTSUSDT Perpetual,1,192.90%,194.84,53d 12h 42m,53d 12h 42m
LINKUSDT Perpetual,0,191.87%,104.88,21d 18h 48m,21d 18h 48m
HNTUSDT Perpetual,1,190.22%,39.95,35d 14h 33m,35d 14h 33m
XRPUSDT Perpetual,2,189.92%,11.60,31d 2h 8m,31d 2h 8m
IOTXUSDT Perpetual,0,187.49%,13.41,29d 22h 31m,29d 22h 31m
STORJUSDT Perpetual,0,186.83%,41.10,25d 6h 9m,25d 6h 9m
SOLBUSD Perpetual,2,186.75%,933.78,34d 1h 58m,34d 1h 58m
DOTUSDT Perpetual,0,186.67%,9.84,29d 1h 15m,29d 1h 15m
DOTUSDT Perpetual,2,185.08%,558.97,63d 23h 15m,63d 23h 15m
