cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,393,1420.01%,4260.04,1y 54d 11h 6m,1y 54d 11h 6m
ADAUSDT Perpetual,739,1369.06%,164.29,61d 10h,61d 10h
ETHUSDT Perpetual,179,1263.91%,3791.75,1y 54d 11h 27m,1y 54d 11h 27m
DOGEUSDT Perpetual,63,1025.05%,178.36,1y 2h 31m,1y 2h 31m
CHZUSDT Perpetual,17,944.50%,2411.78,1y 28d 1h 27m,1y 28d 1h 27m
TRXUSDT Perpetual,49,873.89%,183.52,154d 11h 13m,154d 11h 13m
ALICEUSDT Perpetual,10,819.16%,737.25,348d 11h 49m,348d 11h 49m
ETHUSDT Perpetual,0,811.83%,2005.23,1y 53d 17h 38m,1y 53d 17h 38m
ANKRUSDT Perpetual,8,773.50%,77.35,319d 20h 48m,319d 20h 48m
UNFIUSDT Perpetual,57,734.71%,146.94,28d 7h 24m,28d 7h 24m
XMRUSDT Perpetual,6,710.58%,4263.51,157d 13h 25m,157d 13h 25m
ETHUSDT Perpetual,0,698.68%,1900.43,1y 53d 2h 39m,1y 53d 2h 39m
BAKEUSDT Perpetual,14,694.75%,69.48,48d 2h 11m,48d 2h 11m
BTCUSDT Perpetual,32,640.73%,44.85,1y 31d 19h 11m,1y 31d 19h 11m
API3USDT Perpetual,19,601.47%,120.30,36d 23h 45m,36d 23h 45m
XMRUSDT Perpetual,0,585.56%,1171.13,1y 24d 5h 43m,1y 24d 5h 43m
CRVUSDT Perpetual,0,502.72%,235.28,30d 3h 11m,30d 3h 11m
BTCUSDT Perpetual,3,442.50%,221.25,1y 85d 22h 20m,1y 85d 22h 20m
UNIUSDT Perpetual,0,432.12%,1352.54,1y 27d 1h 13m,1y 27d 1h 13m
LTCUSDT Perpetual,1,426.08%,1273.98,1y 27d 1h 11m,1y 27d 1h 11m
BTCUSDT Perpetual,6,404.77%,109.29,20d 17h 19m,20d 17h 19m
BTCUSDT Perpetual,2,398.23%,107.52,20d 17h 20m,20d 17h 20m
PEOPLEUSDT Perpetual,8,397.20%,32.85,42d 5h 8m,42d 5h 8m
ZECUSDT Perpetual,0,390.89%,195.45,138d 13h 40m,138d 13h 40m
DUSKUSDT Perpetual,4,377.78%,22.29,29d 5h 52m,29d 5h 52m
LTCUSDT Perpetual,0,360.53%,93.27,244d 20h 34m,244d 20h 34m
ADAUSDT Perpetual,1,356.30%,24.02,61d 12h 10m,61d 12h 10m
KNCUSDT Perpetual,0,344.47%,861.19,1y 68d 10h 46m,1y 68d 10h 46m
LINKUSDT Perpetual,1,342.02%,276.36,61d 4h 9m,61d 4h 9m
BLZUSDT Perpetual,0,334.32%,100.30,153d 59m,153d 59m
ETHUSDT Perpetual,7,323.19%,46.12,29d 5h 29m,29d 5h 29m
TRXUSDT Perpetual,2,310.98%,398.07,176d 8h 53m,176d 8h 53m
AVAXUSDT Perpetual,0,307.43%,676.35,236d 23h 37m,236d 23h 37m
TRXUSDT Perpetual,0,307.11%,153.56,102d 1h 41m,102d 1h 41m
TRBUSDT Perpetual,4,299.70%,154.20,32d 1h 35m,32d 1h 35m
BTSUSDT Perpetual,0,294.21%,38.25,22d 12h 13m,22d 12h 13m
BAKEUSDT Perpetual,9,293.04%,301.51,18d 22h 9m,18d 22h 9m
BTCUSDT Perpetual,7,292.48%,193.97,28d 17h 39m,28d 17h 39m
ETHBUSD Perpetual,15,292.37%,353.77,26d 5h 16m,26d 5h 16m
MATICUSDT Perpetual,0,288.91%,19.91,41d 22h 20m,41d 22h 20m
SOLUSDT Perpetual,2,287.21%,23.75,24d 22h 55m,24d 22h 55m
KNCUSDT Perpetual,3,286.86%,286.87,20d 17h 4m,20d 17h 4m
ETHUSDT Perpetual,0,284.98%,1.62,8d 20h 10m,8d 20h 10m
SNXUSDT Perpetual,45,281.21%,17.10,21d 20h 6m,21d 20h 6m
ZRXUSDT Perpetual,7,281.06%,14.05,14d 21h 27m,14d 21h 27m
EOSUSDT Perpetual,0,278.16%,556.33,29d 16h 52m,29d 16h 52m
UNIUSDT Perpetual,0,275.16%,46.78,59d 7h 51m,59d 7h 51m
GMTUSDT Perpetual,5,269.81%,404.72,13d 4h 27m,13d 4h 27m
ARUSDT Perpetual,0,267.30%,240.58,138d 13h 44m,138d 13h 44m
1000SHIBUSDT Perpetual,5,265.81%,26.58,17d 22h 13m,17d 22h 13m
ETHUSDT Perpetual,0,260.66%,260.67,11d 8h 35m,11d 8h 35m
BTCBUSD Perpetual,14,258.02%,21.08,24d 8h 38m,24d 8h 38m
THETAUSDT Perpetual,0,257.96%,103.19,28d 3h 31m,28d 3h 31m
JASMYUSDT Perpetual,0,253.76%,12.18,28d 21h 37m,28d 21h 37m
FLMUSDT Perpetual,1,250.90%,32.64,17d 18h 36m,17d 18h 36m
TLMBUSD Perpetual,1,249.67%,374.51,26d 11h 25m,26d 11h 25m
LINKUSDT Perpetual,0,247.70%,1238.51,63d 13h 54m,63d 13h 54m
AXSUSDT Perpetual,1,243.11%,127.78,22d 17h 37m,22d 17h 37m
XMRUSDT Perpetual,1,241.29%,526.02,116d 7h 49m,116d 7h 49m
1000SHIBUSDT Perpetual,9,240.10%,19.21,19d 12h 54m,19d 12h 54m
BNBUSDT Perpetual,0,237.69%,594.23,1y 77d 9h 19m,1y 77d 9h 19m
IOSTUSDT Perpetual,2,236.21%,13.23,28d 22h 44m,28d 22h 44m
BTCBUSD Perpetual,0,235.28%,235.28,12d 23h 47m,12d 23h 47m
BNBUSDT Perpetual,1,230.27%,17.22,28d 14h 34m,28d 14h 34m
EOSUSDT Perpetual,2,228.22%,68.47,14d 1h 27m,14d 1h 27m
ATOMUSDT Perpetual,0,224.35%,76.28,231d 10h 4m,231d 10h 4m
1000XECUSDT Perpetual,1,223.28%,11.16,19d 12h 48m,19d 12h 48m
AVAXUSDT Perpetual,0,223.08%,126.80,22d 17h 37m,22d 17h 37m
ANCBUSD Perpetual,4,220.92%,66.28,22d 19h 15m,22d 19h 15m
API3USDT Perpetual,0,219.57%,27.23,13d 1h 24m,13d 1h 24m
ALPHAUSDT Perpetual,0,218.87%,5.91,21d 5h 40m,21d 5h 40m
GMTUSDT Perpetual,6,218.03%,8.70,29d 12h 13m,29d 12h 13m
DOTUSDT Perpetual,0,215.34%,11.35,27d 5h 15m,27d 5h 15m
ETHUSDT Perpetual,5,214.31%,6.43,14d 8h 51m,14d 8h 51m
KSMUSDT Perpetual,0,213.68%,358.99,30d 22h 57m,30d 22h 57m
SNXUSDT Perpetual,1,213.59%,26.29,12d 10h 51m,12d 10h 51m
DOTUSDT Perpetual,2,212.68%,642.30,62d 3h 15m,62d 3h 15m
ADAUSDT Perpetual,0,212.64%,35.34,164d 18h 37m,164d 18h 37m
MANAUSDT Perpetual,1,212.52%,42.51,32d 3h 4m,32d 3h 4m
NEARUSDT Perpetual,1,212.35%,111.31,22d 18h 12m,22d 18h 12m
MASKUSDT Perpetual,0,212.29%,424.58,21d 15h,21d 15h
APEUSDT Perpetual,0,211.68%,21.17,14d 9h 52m,14d 9h 52m
ZILUSDT Perpetual,0,211.16%,2.32,92d 17h 22m,92d 17h 22m
