cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,393,1415.85%,4247.58,1y 54d 9h 6m,1y 54d 9h 6m
ADAUSDT Perpetual,736,1371.97%,164.64,61d 8h,61d 8h
ETHUSDT Perpetual,178,1258.98%,3776.96,1y 54d 9h 27m,1y 54d 9h 27m
DOGEUSDT Perpetual,63,1024.85%,178.32,1y 31m,1y 31m
CHZUSDT Perpetual,17,939.62%,2399.32,1y 27d 23h 27m,1y 27d 23h 27m
TRXUSDT Perpetual,49,872.05%,183.13,154d 9h 13m,154d 9h 13m
ALICEUSDT Perpetual,10,819.16%,737.25,348d 9h 49m,348d 9h 49m
ETHUSDT Perpetual,0,805.49%,1989.58,1y 53d 15h 38m,1y 53d 15h 38m
ANKRUSDT Perpetual,8,772.48%,77.25,319d 18h 48m,319d 18h 48m
UNFIUSDT Perpetual,56,721.29%,144.26,28d 5h 24m,28d 5h 24m
XMRUSDT Perpetual,5,701.52%,4209.17,157d 11h 25m,157d 11h 25m
ETHUSDT Perpetual,0,693.17%,1885.44,1y 53d 39m,1y 53d 39m
BAKEUSDT Perpetual,14,681.43%,68.14,48d 11m,48d 11m
BTCUSDT Perpetual,30,640.73%,44.85,1y 31d 17h 11m,1y 31d 17h 11m
API3USDT Perpetual,19,605.27%,121.06,36d 21h 45m,36d 21h 45m
XMRUSDT Perpetual,0,566.67%,1133.35,1y 24d 3h 43m,1y 24d 3h 43m
CRVUSDT Perpetual,0,502.72%,235.28,30d 1h 11m,30d 1h 11m
BTCUSDT Perpetual,3,441.74%,220.87,1y 85d 20h 21m,1y 85d 20h 21m
UNIUSDT Perpetual,0,426.07%,1333.61,1y 26d 23h 13m,1y 26d 23h 13m
LTCUSDT Perpetual,1,423.27%,1265.60,1y 26d 23h 11m,1y 26d 23h 11m
BTCUSDT Perpetual,6,393.47%,106.24,20d 15h 19m,20d 15h 19m
