cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,382,1428.39%,4285.18,1y 53d 10h 6m,1y 53d 10h 6m
ADAUSDT Perpetual,705,1351.72%,162.21,60d 9h,60d 9h
ETHUSDT Perpetual,174,1292.42%,3877.29,1y 53d 10h 27m,1y 53d 10h 27m
DOGEUSDT Perpetual,61,1026.12%,178.55,364d 1h 31m,364d 1h 31m
CHZUSDT Perpetual,17,969.44%,2475.47,1y 27d 27m,1y 27d 27m
TRXUSDT Perpetual,48,873.86%,183.51,153d 10h 13m,153d 10h 13m
ETHUSDT Perpetual,0,851.06%,2102.14,1y 52d 16h 38m,1y 52d 16h 38m
ALICEUSDT Perpetual,9,819.16%,737.25,347d 10h 49m,347d 10h 49m
BAKEUSDT Perpetual,10,804.91%,80.49,47d 1h 11m,47d 1h 11m
ANKRUSDT Perpetual,6,774.62%,77.46,318d 19h 48m,318d 19h 48m
UNFIUSDT Perpetual,49,757.21%,151.44,27d 6h 24m,27d 6h 24m
ETHUSDT Perpetual,0,732.42%,1992.19,1y 52d 1h 39m,1y 52d 1h 39m
XMRUSDT Perpetual,4,714.06%,4284.38,156d 12h 25m,156d 12h 25m
BTCUSDT Perpetual,28,640.73%,44.85,1y 30d 18h 11m,1y 30d 18h 11m
XMRUSDT Perpetual,0,596.54%,1193.09,1y 23d 4h 43m,1y 23d 4h 43m
API3USDT Perpetual,14,505.58%,101.12,35d 22h 45m,35d 22h 45m
CRVUSDT Perpetual,0,502.72%,235.28,29d 2h 11m,29d 2h 11m
UNIUSDT Perpetual,0,455.93%,1427.06,1y 26d 13m,1y 26d 13m
BTCUSDT Perpetual,3,445.51%,222.76,1y 84d 21h 20m,1y 84d 21h 20m
LTCUSDT Perpetual,1,437.44%,1307.95,1y 26d 11m,1y 26d 11m
BTCUSDT Perpetual,5,417.74%,112.79,19d 16h 19m,19d 16h 19m
BTCUSDT Perpetual,2,411.90%,111.21,19d 16h 20m,19d 16h 20m
ZECUSDT Perpetual,0,409.00%,204.50,137d 12h 40m,137d 12h 40m
PEOPLEUSDT Perpetual,8,401.43%,33.20,41d 4h 8m,41d 4h 8m
DUSKUSDT Perpetual,3,375.80%,22.17,28d 4h 52m,28d 4h 52m
LTCUSDT Perpetual,0,360.53%,93.27,243d 19h 34m,243d 19h 34m
ADAUSDT Perpetual,1,358.75%,24.18,60d 11h 10m,60d 11h 10m
BLZUSDT Perpetual,0,349.93%,104.98,151d 23h 59m,151d 23h 59m
KNCUSDT Perpetual,0,347.62%,869.06,1y 67d 9h 46m,1y 67d 9h 46m
LINKUSDT Perpetual,1,344.11%,278.04,60d 3h 9m,60d 3h 9m
ETHUSDT Perpetual,4,332.83%,9.99,13d 7h 51m,13d 7h 51m
BTCUSDT Perpetual,7,332.77%,220.69,27d 16h 39m,27d 16h 39m
ZRXUSDT Perpetual,6,321.27%,16.06,13d 20h 27m,13d 20h 27m
TRXUSDT Perpetual,2,311.04%,398.14,175d 7h 52m,175d 7h 52m
AVAXUSDT Perpetual,0,307.43%,676.35,235d 22h 37m,235d 22h 37m
TRXUSDT Perpetual,0,307.40%,153.70,101d 41m,101d 41m
ETHUSDT Perpetual,4,303.23%,43.27,28d 4h 29m,28d 4h 29m
KNCUSDT Perpetual,3,301.74%,301.75,19d 16h 4m,19d 16h 4m
EOSUSDT Perpetual,0,301.19%,602.38,28d 15h 52m,28d 15h 52m
TRBUSDT Perpetual,4,292.89%,150.70,31d 35m,31d 35m
SOLUSDT Perpetual,2,287.21%,23.75,23d 21h 55m,23d 21h 55m
ARUSDT Perpetual,0,278.24%,250.42,137d 12h 44m,137d 12h 44m
SNXUSDT Perpetual,43,269.58%,16.39,20d 19h 6m,20d 19h 6m
BTSUSDT Perpetual,0,268.83%,34.95,21d 11h 13m,21d 11h 13m
UNIUSDT Perpetual,0,267.40%,45.46,58d 6h 50m,58d 6h 50m
DOTUSDT Perpetual,0,261.57%,13.79,26d 4h 14m,26d 4h 14m
1000SHIBUSDT Perpetual,5,261.43%,26.14,16d 21h 13m,16d 21h 13m
DOTUSDT Perpetual,2,258.43%,780.49,61d 2h 15m,61d 2h 15m
ETHUSDT Perpetual,0,256.32%,11.53,21d 2h 23m,21d 2h 23m
GMTUSDT Perpetual,5,255.02%,382.53,12d 3h 27m,12d 3h 27m
BTCUSDT Perpetual,1,254.69%,27.10,17d 10h 10m,17d 10h 10m
MATICUSDT Perpetual,0,253.79%,17.49,40d 21h 20m,40d 21h 20m
THETAUSDT Perpetual,0,252.98%,101.19,27d 2h 31m,27d 2h 31m
MASKUSDT Perpetual,0,252.46%,504.93,20d 14h,20d 14h
LINKUSDT Perpetual,0,252.32%,1261.64,62d 12h 54m,62d 12h 54m
XMRUSDT Perpetual,1,250.30%,545.66,115d 6h 49m,115d 6h 49m
LUNA2BUSD Perpetual,1,250.22%,275.25,27d 7h 3m,27d 7h 3m
TLMBUSD Perpetual,0,249.38%,374.07,25d 10h 24m,25d 10h 24m
ATOMUSDT Perpetual,0,246.57%,83.84,230d 9h 4m,230d 9h 4m
APEUSDT Perpetual,0,244.19%,24.42,13d 8h 52m,13d 8h 52m
AXSUSDT Perpetual,1,244.19%,128.35,21d 16h 37m,21d 16h 37m
EOSUSDT Perpetual,0,243.46%,73.04,13d 27m,13d 27m
BNBUSDT Perpetual,0,239.48%,598.70,1y 76d 8h 19m,1y 76d 8h 19m
BTCBUSD Perpetual,12,237.89%,19.44,23d 7h 37m,23d 7h 37m
IOSTUSDT Perpetual,2,237.76%,13.31,27d 21h 44m,27d 21h 44m
FLMUSDT Perpetual,1,234.56%,30.52,16d 17h 36m,16d 17h 36m
ETHUSDT Perpetual,0,228.13%,20.53,17d 2h 46m,17d 2h 46m
ETHBUSD Perpetual,13,226.44%,273.99,25d 4h 16m,25d 4h 16m
LUNA2BUSD Perpetual,3,226.14%,339.22,25d 14h 23m,25d 14h 23m
ANCBUSD Perpetual,2,225.34%,67.60,21d 18h 15m,21d 18h 15m
MANAUSDT Perpetual,1,224.22%,44.85,31d 2h 3m,31d 2h 3m
JASMYUSDT Perpetual,0,222.73%,10.69,27d 20h 37m,27d 20h 37m
ALPHAUSDT Perpetual,0,218.87%,5.91,20d 4h 40m,20d 4h 40m
BNBUSDT Perpetual,1,218.04%,16.31,27d 13h 34m,27d 13h 34m
GMTUSDT Perpetual,0,218.03%,8.70,28d 11h 13m,28d 11h 13m
API3USDT Perpetual,0,217.06%,26.92,12d 23m,12d 23m
ETHUSDT Perpetual,1,215.96%,34.55,16d 9h 9m,16d 9h 9m
KSMUSDT Perpetual,0,215.41%,361.89,29d 21h 57m,29d 21h 57m
BAKEUSDT Perpetual,9,214.98%,221.19,17d 21h 9m,17d 21h 9m
SUSHIUSDT Perpetual,1,214.88%,77.36,50d 8h 55m,50d 8h 55m
AVAXUSDT Perpetual,0,212.81%,120.97,21d 16h 37m,21d 16h 37m
ADAUSDT Perpetual,0,212.64%,35.34,163d 17h 37m,163d 17h 37m
ZILUSDT Perpetual,0,211.16%,2.32,91d 16h 22m,91d 16h 22m
PEOPLEUSDT Perpetual,0,210.74%,1053.73,45d 3h 47m,45d 3h 47m
ETHUSDT Perpetual,0,208.35%,1.19,7d 19h 9m,7d 19h 9m
NEARUSDT Perpetual,0,204.84%,107.38,21d 17h 12m,21d 17h 12m
HNTUSDT Perpetual,1,203.10%,42.65,32d 17h 32m,32d 17h 32m
ETHUSDT Perpetual,1,201.55%,23.86,27d 15h 30m,27d 15h 30m
1000SHIBUSDT Perpetual,9,197.95%,15.84,18d 11h 54m,18d 11h 54m
BCHUSDT Perpetual,0,197.17%,11.59,25d 8h 19m,25d 8h 19m
1000LUNCBUSD Perpetual,24,195.81%,31.62,9d 19h 2m,9d 19h 2m
SNXUSDT Perpetual,1,195.63%,24.08,11d 9h 51m,11d 9h 51m
ANTUSDT Perpetual,0,195.01%,29.25,25d 9h 23m,25d 9h 23m
BTCBUSD Perpetual,0,193.08%,193.08,11d 22h 46m,11d 22h 46m
MATICUSDT Perpetual,4,192.82%,81.06,18d 14h 47m,18d 14h 47m
HNTUSDT Perpetual,0,191.37%,38.28,27d 4h 19m,27d 4h 19m
AVAXUSDT Perpetual,1,190.96%,185.24,45d 6h 39m,45d 6h 39m
ATOMUSDT Perpetual,0,189.61%,305.28,59d 17h 49m,59d 17h 49m
DOTUSDT Perpetual,0,189.06%,28.83,18d 22h 9m,18d 22h 9m
STORJUSDT Perpetual,0,188.94%,56.68,21d 6h 30m,21d 6h 30m
ETHUSDT Perpetual,0,188.93%,188.93,10d 7h 35m,10d 7h 35m
SOLBUSD Perpetual,1,188.82%,944.14,31d 4h 58m,31d 4h 58m
