cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,437,1448.12%,4344.37,1y 57d 17h 6m,1y 57d 17h 6m
ADAUSDT Perpetual,872,1379.62%,165.55,64d 16h,64d 16h
ETHUSDT Perpetual,196,1345.61%,4036.84,1y 57d 17h 27m,1y 57d 17h 27m
DOGEUSDT Perpetual,72,1026.09%,178.54,1y 3d 8h 31m,1y 3d 8h 31m
CHZUSDT Perpetual,17,964.03%,2461.68,1y 31d 7h 27m,1y 31d 7h 27m
ETHUSDT Perpetual,9,925.55%,2286.13,1y 56d 23h 39m,1y 56d 23h 39m
BAKEUSDT Perpetual,17,917.22%,91.72,51d 8h 11m,51d 8h 11m
TRXUSDT Perpetual,53,885.15%,185.88,157d 17h 14m,157d 17h 14m
ALICEUSDT Perpetual,11,819.16%,737.25,351d 17h 49m,351d 17h 49m
ETHUSDT Perpetual,0,796.48%,2166.45,1y 56d 8h 39m,1y 56d 8h 39m
ANKRUSDT Perpetual,11,777.59%,77.76,323d 2h 48m,323d 2h 48m
UNFIUSDT Perpetual,67,750.02%,150.01,31d 13h 24m,31d 13h 24m
XMRUSDT Perpetual,7,747.75%,4486.50,160d 19h 25m,160d 19h 25m
XMRUSDT Perpetual,0,664.75%,1329.50,1y 27d 11h 44m,1y 27d 11h 44m
BTCUSDT Perpetual,36,640.73%,44.85,1y 35d 1h 11m,1y 35d 1h 11m
MATICUSDT Perpetual,2,623.90%,42.99,45d 4h 20m,45d 4h 20m
API3USDT Perpetual,19,591.79%,118.36,40d 5h 45m,40d 5h 45m
UNIUSDT Perpetual,0,526.84%,1649.02,1y 30d 7h 13m,1y 30d 7h 13m
BTCUSDT Perpetual,11,523.20%,141.27,23d 23h 20m,23d 23h 20m
BTCUSDT Perpetual,7,523.10%,141.24,23d 23h 20m,23d 23h 20m
CRVUSDT Perpetual,0,502.72%,235.28,33d 9h 11m,33d 9h 11m
GMTUSDT Perpetual,12,493.74%,29.62,19d 13h 9m,19d 13h 9m
LTCUSDT Perpetual,1,450.21%,1346.13,1y 30d 7h 11m,1y 30d 7h 11m
BTCUSDT Perpetual,4,449.06%,224.53,1y 89d 4h 21m,1y 89d 4h 21m
ZECUSDT Perpetual,0,416.94%,208.47,141d 19h 40m,141d 19h 40m
PEOPLEUSDT Perpetual,10,415.15%,34.33,45d 11h 8m,45d 11h 8m
BTCUSDT Perpetual,7,412.51%,273.58,31d 23h 39m,31d 23h 39m
KNCUSDT Perpetual,3,412.07%,412.08,23d 23h 4m,23d 23h 4m
ETHUSDT Perpetual,0,375.39%,75.08,29d 23h 38m,29d 23h 38m
ZRXUSDT Perpetual,9,372.21%,18.61,18d 3h 27m,18d 3h 27m
KNCUSDT Perpetual,0,366.32%,915.80,1y 71d 16h 46m,1y 71d 16h 46m
ADAUSDT Perpetual,1,366.20%,24.68,64d 18h 10m,64d 18h 10m
LINKUSDT Perpetual,1,362.73%,293.09,64d 10h 9m,64d 10h 9m
LTCUSDT Perpetual,0,360.53%,93.27,248d 2h 34m,248d 2h 34m
BLZUSDT Perpetual,0,356.67%,107.00,156d 6h 59m,156d 6h 59m
ETHUSDT Perpetual,0,339.64%,30.57,21d 9h 46m,21d 9h 46m
ETHUSDT Perpetual,2,337.34%,53.98,20d 16h 9m,20d 16h 9m
EOSUSDT Perpetual,0,333.49%,666.98,32d 22h 52m,32d 22h 52m
APEUSDT Perpetual,0,333.21%,33.32,17d 15h 52m,17d 15h 52m
EOSUSDT Perpetual,2,323.88%,97.16,17d 7h 27m,17d 7h 27m
TRXUSDT Perpetual,2,319.87%,409.44,179d 14h 53m,179d 14h 53m
TRXUSDT Perpetual,0,313.55%,156.78,105d 7h 41m,105d 7h 41m
ETHBUSD Perpetual,3,313.23%,5.79,19d 22h 18m,19d 22h 18m
1000SHIBUSDT Perpetual,5,312.48%,31.25,21d 4h 13m,21d 4h 13m
DOTUSDT Perpetual,0,308.45%,16.26,30d 11h 15m,30d 11h 15m
AVAXUSDT Perpetual,0,307.43%,676.35,240d 5h 38m,240d 5h 38m
ARUSDT Perpetual,0,307.07%,276.36,141d 19h 44m,141d 19h 44m
GMTUSDT Perpetual,7,302.55%,453.83,16d 10h 27m,16d 10h 27m
XEMUSDT Perpetual,28,300.76%,60.15,12d 19h 52m,12d 19h 52m
TRBUSDT Perpetual,5,297.30%,152.96,35d 7h 35m,35d 7h 35m
ALPHAUSDT Perpetual,1,295.48%,7.98,24d 11h 40m,24d 11h 40m
SOLUSDT Perpetual,3,295.40%,24.43,28d 4h 55m,28d 4h 55m
SNXUSDT Perpetual,47,293.42%,17.84,25d 2h 6m,25d 2h 6m
DOTUSDT Perpetual,2,291.95%,881.72,65d 9h 15m,65d 9h 15m
ANTUSDT Perpetual,0,289.07%,43.36,29d 16h 24m,29d 16h 24m
