cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,539,1484.85%,4454.56,1y 62d 20h 8m,1y 62d 20h 8m
ETHUSDT Perpetual,251,1448.94%,4346.84,1y 62d 20h 29m,1y 62d 20h 29m
ADAUSDT Perpetual,1095,1334.56%,160.15,69d 19h 2m,69d 19h 2m
ETHUSDT Perpetual,0,1189.50%,237.90,35d 2h 40m,35d 2h 40m
ETHUSDT Perpetual,13,1103.01%,2724.45,1y 62d 2h 41m,1y 62d 2h 41m
BAKEUSDT Perpetual,52,1056.84%,105.68,56d 11h 14m,56d 11h 14m
DOGEUSDT Perpetual,93,1029.46%,179.13,1y 8d 11h 33m,1y 8d 11h 33m
CHZUSDT Perpetual,23,983.52%,2511.43,1y 36d 10h 29m,1y 36d 10h 29m
ETHUSDT Perpetual,0,946.84%,2575.42,1y 61d 11h 42m,1y 61d 11h 42m
TRXUSDT Perpetual,56,893.28%,187.59,162d 20h 16m,162d 20h 16m
ALICEUSDT Perpetual,15,819.16%,737.25,356d 20h 51m,356d 20h 51m
UNFIUSDT Perpetual,95,817.65%,163.53,36d 16h 27m,36d 16h 27m
ANKRUSDT Perpetual,12,797.56%,79.76,328d 5h 51m,328d 5h 51m
XMRUSDT Perpetual,7,783.49%,4700.99,165d 22h 27m,165d 22h 27m
XMRUSDT Perpetual,1,745.57%,1491.15,1y 32d 14h 46m,1y 32d 14h 46m
BTCUSDT Perpetual,46,640.73%,44.85,1y 40d 4h 13m,1y 40d 4h 13m
MATICUSDT Perpetual,5,628.70%,43.32,50d 7h 22m,50d 7h 22m
ZRXUSDT Perpetual,14,561.10%,28.06,23d 6h 29m,23d 6h 29m
BTCUSDT Perpetual,9,548.15%,363.53,37d 2h 41m,37d 2h 41m
UNIUSDT Perpetual,0,522.96%,1636.90,1y 35d 10h 16m,1y 35d 10h 16m
CRVUSDT Perpetual,0,502.72%,235.28,38d 12h 13m,38d 12h 13m
LTCUSDT Perpetual,1,483.60%,1445.97,1y 35d 10h 13m,1y 35d 10h 13m
