cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,393,1409.74%,4229.23,1y 54d 6h 6m,1y 54d 6h 6m
ADAUSDT Perpetual,730,1372.89%,164.75,61d 5h,61d 5h
ETHUSDT Perpetual,177,1255.07%,3765.22,1y 54d 6h 27m,1y 54d 6h 27m
DOGEUSDT Perpetual,63,1024.74%,178.31,364d 21h 31m,364d 21h 31m
CHZUSDT Perpetual,17,940.92%,2402.65,1y 27d 20h 27m,1y 27d 20h 27m
TRXUSDT Perpetual,49,870.93%,182.90,154d 6h 13m,154d 6h 13m
ALICEUSDT Perpetual,10,819.16%,737.25,348d 6h 49m,348d 6h 49m
ETHUSDT Perpetual,0,800.37%,1976.93,1y 53d 12h 38m,1y 53d 12h 38m
ANKRUSDT Perpetual,8,770.97%,77.10,319d 15h 48m,319d 15h 48m
UNFIUSDT Perpetual,55,711.08%,142.22,28d 2h 24m,28d 2h 24m
XMRUSDT Perpetual,5,697.30%,4183.85,157d 8h 25m,157d 8h 25m
ETHUSDT Perpetual,0,688.77%,1873.48,1y 52d 21h 39m,1y 52d 21h 39m
BAKEUSDT Perpetual,14,665.65%,66.57,47d 21h 11m,47d 21h 11m
BTCUSDT Perpetual,30,640.73%,44.85,1y 31d 14h 11m,1y 31d 14h 11m
API3USDT Perpetual,19,615.99%,123.20,36d 18h 45m,36d 18h 45m
XMRUSDT Perpetual,0,558.68%,1117.37,1y 24d 43m,1y 24d 43m
CRVUSDT Perpetual,0,502.72%,235.28,29d 22h 11m,29d 22h 11m
BTCUSDT Perpetual,3,440.82%,220.41,1y 85d 17h 20m,1y 85d 17h 20m
LTCUSDT Perpetual,1,420.96%,1258.70,1y 26d 20h 11m,1y 26d 20h 11m
UNIUSDT Perpetual,0,416.52%,1303.73,1y 26d 20h 13m,1y 26d 20h 13m
ZECUSDT Perpetual,0,387.57%,193.79,138d 8h 40m,138d 8h 40m
PEOPLEUSDT Perpetual,8,386.31%,31.95,42d 8m,42d 8m
BTCUSDT Perpetual,6,376.81%,101.74,20d 12h 19m,20d 12h 19m
DUSKUSDT Perpetual,4,375.06%,22.13,29d 52m,29d 52m
BTCUSDT Perpetual,2,369.10%,99.66,20d 12h 20m,20d 12h 20m
LTCUSDT Perpetual,0,360.53%,93.27,244d 15h 34m,244d 15h 34m
ADAUSDT Perpetual,1,354.87%,23.92,61d 7h 10m,61d 7h 10m
KNCUSDT Perpetual,0,341.45%,853.63,1y 68d 5h 46m,1y 68d 5h 46m
LINKUSDT Perpetual,1,334.51%,270.29,60d 23h 9m,60d 23h 9m
ETHUSDT Perpetual,6,325.07%,46.39,29d 29m,29d 29m
BLZUSDT Perpetual,0,320.67%,96.20,152d 19h 59m,152d 19h 59m
TRXUSDT Perpetual,2,308.44%,394.81,176d 3h 53m,176d 3h 53m
AVAXUSDT Perpetual,0,307.43%,676.35,236d 18h 37m,236d 18h 37m
TRXUSDT Perpetual,0,305.35%,152.68,101d 20h 41m,101d 20h 41m
BAKEUSDT Perpetual,9,305.22%,314.05,18d 17h 9m,18d 17h 9m
ETHBUSD Perpetual,15,303.36%,367.07,26d 16m,26d 16m
TRBUSDT Perpetual,4,298.85%,153.76,31d 20h 35m,31d 20h 35m
BTSUSDT Perpetual,0,297.40%,38.66,22d 7h 13m,22d 7h 13m
SOLUSDT Perpetual,2,287.21%,23.75,24d 17h 55m,24d 17h 55m
ETHUSDT Perpetual,0,284.98%,1.62,8d 15h 10m,8d 15h 10m
SNXUSDT Perpetual,44,280.06%,17.03,21d 15h 6m,21d 15h 6m
UNIUSDT Perpetual,0,270.19%,45.93,59d 2h 51m,59d 2h 51m
ARUSDT Perpetual,0,266.05%,239.45,138d 8h 44m,138d 8h 44m
EOSUSDT Perpetual,0,265.46%,530.93,29d 11h 52m,29d 11h 52m
