cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,3,1434.09%,4302.29,1y 52d 13h 6m,1y 52d 13h 6m
ADAUSDT Perpetual,6,1318.92%,158.27,59d 12h,59d 12h
ETHUSDT Perpetual,1,1306.52%,3919.58,1y 52d 13h 27m,1y 52d 13h 27m
DOGEUSDT Perpetual,6,1027.87%,178.85,363d 4h 31m,363d 4h 31m
CHZUSDT Perpetual,1,956.70%,2442.95,1y 26d 3h 27m,1y 26d 3h 27m
TRXUSDT Perpetual,4,879.57%,184.71,152d 13h 13m,152d 13h 13m
ETHUSDT Perpetual,0,871.52%,2152.66,1y 51d 19h 38m,1y 51d 19h 38m
ALICEUSDT Perpetual,0,819.16%,737.25,346d 13h 49m,346d 13h 49m
ANKRUSDT Perpetual,0,784.72%,78.47,317d 22h 48m,317d 22h 48m
ETHUSDT Perpetual,0,750.02%,2040.08,1y 51d 4h 39m,1y 51d 4h 39m
UNFIUSDT Perpetual,4,735.82%,147.16,26d 9h 24m,26d 9h 24m
BAKEUSDT Perpetual,7,702.62%,70.26,46d 4h 11m,46d 4h 11m
XMRUSDT Perpetual,4,692.73%,4156.39,155d 15h 25m,155d 15h 25m
BTCUSDT Perpetual,2,640.73%,44.85,1y 29d 21h 11m,1y 29d 21h 11m
XMRUSDT Perpetual,0,554.31%,1108.63,1y 22d 7h 43m,1y 22d 7h 43m
API3USDT Perpetual,1,521.27%,104.25,35d 1h 45m,35d 1h 45m
CRVUSDT Perpetual,0,502.72%,235.28,28d 5h 11m,28d 5h 11m
UNIUSDT Perpetual,0,468.71%,1467.08,1y 25d 3h 13m,1y 25d 3h 13m
LTCUSDT Perpetual,1,449.88%,1345.16,1y 25d 3h 11m,1y 25d 3h 11m
BTCUSDT Perpetual,3,448.59%,224.30,1y 84d 21m,1y 84d 21m
PEOPLEUSDT Perpetual,6,420.51%,34.78,40d 7h 8m,40d 7h 8m
ZECUSDT Perpetual,0,417.59%,208.80,136d 15h 40m,136d 15h 40m
BTCUSDT Perpetual,4,409.04%,110.44,18d 19h 19m,18d 19h 19m
BTCUSDT Perpetual,2,406.51%,109.76,18d 19h 20m,18d 19h 20m
BLZUSDT Perpetual,0,388.16%,116.45,151d 2h 59m,151d 2h 59m
GMTUSDT Perpetual,7,385.73%,23.14,14d 9h 9m,14d 9h 9m
ZRXUSDT Perpetual,6,379.97%,19.00,12d 23h 27m,12d 23h 27m
DUSKUSDT Perpetual,3,369.24%,21.79,27d 7h 52m,27d 7h 52m
BTCUSDT Perpetual,7,365.29%,242.26,26d 19h 39m,26d 19h 39m
LTCUSDT Perpetual,0,360.53%,93.27,242d 22h 34m,242d 22h 34m
ETHUSDT Perpetual,3,358.69%,10.76,12d 10h 51m,12d 10h 51m
ADAUSDT Perpetual,1,358.60%,24.17,59d 14h 10m,59d 14h 10m
KNCUSDT Perpetual,0,353.73%,884.34,1y 66d 12h 46m,1y 66d 12h 46m
LINKUSDT Perpetual,1,334.70%,270.44,59d 6h 9m,59d 6h 9m
KNCUSDT Perpetual,3,327.53%,327.53,18d 19h 4m,18d 19h 4m
EOSUSDT Perpetual,0,318.86%,637.73,27d 18h 52m,27d 18h 52m
TRXUSDT Perpetual,2,316.75%,405.45,174d 10h 53m,174d 10h 53m
TRXUSDT Perpetual,0,311.84%,155.92,100d 3h 41m,100d 3h 41m
AVAXUSDT Perpetual,0,307.43%,676.35,235d 1h 37m,235d 1h 37m
BTCUSDT Perpetual,1,300.53%,31.98,16d 13h 11m,16d 13h 11m
SOLUSDT Perpetual,2,287.21%,23.75,23d 55m,23d 55m
ETHUSDT Perpetual,4,287.04%,40.96,27d 7h 29m,27d 7h 29m
LUNA2BUSD Perpetual,1,285.69%,314.27,26d 10h 3m,26d 10h 3m
ARUSDT Perpetual,0,279.39%,251.46,136d 15h 44m,136d 15h 44m
SNXUSDT Perpetual,1,278.79%,16.95,19d 22h 6m,19d 22h 6m
DOTUSDT Perpetual,0,273.15%,14.40,25d 7h 15m,25d 7h 15m
GMTUSDT Perpetual,0,272.85%,545.70,12d 1h 45m,12d 1h 45m
DOTUSDT Perpetual,2,270.95%,818.28,60d 5h 15m,60d 5h 15m
APEUSDT Perpetual,0,268.54%,26.85,12d 11h 52m,12d 11h 52m
TRBUSDT Perpetual,3,268.23%,138.01,30d 3h 35m,30d 3h 35m
UNIUSDT Perpetual,0,267.40%,45.46,57d 9h 51m,57d 9h 51m
BAKEUSDT Perpetual,9,262.19%,269.78,17d 9m,17d 9m
LUNA2BUSD Perpetual,3,258.85%,388.28,24d 17h 23m,24d 17h 23m
MASKUSDT Perpetual,0,251.69%,503.39,19d 17h,19d 17h
1000SHIBUSDT Perpetual,5,246.19%,24.62,16d 13m,16d 13m
ETHUSDT Perpetual,0,245.31%,22.08,16d 5h 46m,16d 5h 46m
THETAUSDT Perpetual,0,244.91%,97.96,26d 5h 31m,26d 5h 31m
LINKUSDT Perpetual,0,244.41%,1222.08,61d 15h 54m,61d 15h 54m
ETHUSDT Perpetual,0,244.35%,11.00,20d 5h 24m,20d 5h 24m
TLMBUSD Perpetual,0,242.48%,363.73,24d 13h 25m,24d 13h 25m
MANAUSDT Perpetual,0,242.09%,48.42,30d 5h 4m,30d 5h 4m
AXSUSDT Perpetual,1,241.46%,126.91,20d 19h 37m,20d 19h 37m
BNBUSDT Perpetual,0,240.82%,602.07,1y 75d 11h 19m,1y 75d 11h 19m
ATOMUSDT Perpetual,0,238.93%,81.24,229d 12h 4m,229d 12h 4m
ETHUSDT Perpetual,1,237.84%,38.05,15d 12h 9m,15d 12h 9m
IOSTUSDT Perpetual,2,236.41%,13.24,27d 44m,27d 44m
EOSUSDT Perpetual,0,234.84%,70.45,12d 3h 27m,12d 3h 27m
MATICUSDT Perpetual,0,233.36%,16.08,40d 20m,40d 20m
KSMUSDT Perpetual,0,231.51%,388.95,29d 57m,29d 57m
ANCBUSD Perpetual,2,224.44%,67.33,20d 21h 15m,20d 21h 15m
SUSHIUSDT Perpetual,0,223.17%,80.34,49d 11h 55m,49d 11h 55m
XEMUSDT Perpetual,2,222.37%,44.47,7d 15h 52m,7d 15h 52m
PEOPLEUSDT Perpetual,0,221.26%,1106.34,44d 6h 47m,44d 6h 47m
BCHUSDT Perpetual,0,220.03%,12.94,24d 11h 19m,24d 11h 19m
ANTUSDT Perpetual,0,219.75%,32.96,24d 12h 24m,24d 12h 24m
GMTUSDT Perpetual,0,218.03%,8.70,27d 14h 13m,27d 14h 13m
API3USDT Perpetual,0,215.59%,26.73,11d 3h 24m,11d 3h 24m
XMRUSDT Perpetual,1,214.42%,467.44,114d 9h 49m,114d 9h 49m
HNTUSDT Perpetual,0,213.72%,44.88,31d 20h 32m,31d 20h 32m
BTCBUSD Perpetual,1,213.22%,17.42,22d 10h 38m,22d 10h 38m
ADAUSDT Perpetual,0,212.64%,35.34,162d 20h 37m,162d 20h 37m
ZILUSDT Perpetual,0,211.16%,2.32,90d 19h 22m,90d 19h 22m
BNBUSDT Perpetual,1,206.92%,15.48,26d 16h 34m,26d 16h 34m
BTSUSDT Perpetual,1,204.33%,206.38,49d 18h 42m,49d 18h 42m
AVAXUSDT Perpetual,1,202.75%,196.67,44d 9h 39m,44d 9h 39m
ETHUSDT Perpetual,1,202.57%,23.99,26d 18h 30m,26d 18h 30m
SOLBUSD Perpetual,1,200.90%,1004.54,30d 7h 58m,30d 7h 58m
DOTUSDT Perpetual,0,198.97%,30.34,18d 1h 10m,18d 1h 10m
BTSUSDT Perpetual,0,196.76%,25.58,20d 14h 13m,20d 14h 13m
HNTUSDT Perpetual,0,196.25%,39.25,26d 7h 20m,26d 7h 20m
JASMYUSDT Perpetual,0,195.29%,9.37,26d 23h 37m,26d 23h 37m
SANDUSDT Perpetual,0,195.06%,58.52,42d 53m,42d 53m
DOGEUSDT Perpetual,0,194.14%,27.96,45d 9h 14m,45d 9h 14m
LTCUSDT Perpetual,0,192.85%,110.50,60d 4h 51m,60d 4h 51m
GMTUSDT Perpetual,0,192.63%,288.95,11d 6h 27m,11d 6h 27m
LITUSDT Perpetual,1,192.01%,960.06,20d 1h 40m,20d 1h 40m
XRPUSDT Perpetual,1,190.51%,23814.41,1y 49d 2h 17m,1y 49d 2h 17m
ADAUSDT Perpetual,2,189.86%,2468.21,38d 21h 57m,38d 21h 57m
NEARUSDT Perpetual,0,189.36%,99.27,20d 20h 12m,20d 20h 12m
LITUSDT Perpetual,0,188.72%,56.62,21d 18h 39m,21d 18h 39m
FLMUSDT Perpetual,1,188.33%,24.50,15d 20h 36m,15d 20h 36m
ALPHAUSDT Perpetual,0,187.91%,5.07,19d 7h 40m,19d 7h 40m
