cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,3,1436.00%,4308.02,1y 52d 20h 6m,1y 52d 20h 6m
ADAUSDT Perpetual,6,1317.06%,158.05,59d 19h,59d 19h
ETHUSDT Perpetual,1,1305.87%,3917.62,1y 52d 20h 27m,1y 52d 20h 27m
DOGEUSDT Perpetual,6,1027.92%,178.86,363d 11h 31m,363d 11h 31m
CHZUSDT Perpetual,1,966.35%,2467.58,1y 26d 10h 27m,1y 26d 10h 27m
TRXUSDT Perpetual,4,879.64%,184.73,152d 20h 14m,152d 20h 14m
ETHUSDT Perpetual,0,870.46%,2150.04,1y 52d 2h 39m,1y 52d 2h 39m
ALICEUSDT Perpetual,9,819.16%,737.25,346d 20h 49m,346d 20h 49m
ANKRUSDT Perpetual,0,783.75%,78.38,318d 5h 49m,318d 5h 49m
UNFIUSDT Perpetual,4,750.26%,150.05,26d 16h 25m,26d 16h 25m
ETHUSDT Perpetual,0,749.11%,2037.60,1y 51d 11h 40m,1y 51d 11h 40m
XMRUSDT Perpetual,4,717.50%,4305.01,155d 22h 25m,155d 22h 25m
BAKEUSDT Perpetual,7,708.43%,70.84,46d 11h 11m,46d 11h 11m
BTCUSDT Perpetual,2,640.73%,44.85,1y 30d 4h 11m,1y 30d 4h 11m
XMRUSDT Perpetual,0,604.79%,1209.59,1y 22d 14h 44m,1y 22d 14h 44m
API3USDT Perpetual,1,520.09%,104.02,35d 8h 45m,35d 8h 45m
CRVUSDT Perpetual,0,502.72%,235.28,28d 12h 11m,28d 12h 11m
UNIUSDT Perpetual,0,464.80%,1454.85,1y 25d 10h 13m,1y 25d 10h 13m
LTCUSDT Perpetual,1,448.25%,1340.28,1y 25d 10h 11m,1y 25d 10h 11m
BTCUSDT Perpetual,3,448.01%,224.01,1y 84d 7h 21m,1y 84d 7h 21m
PEOPLEUSDT Perpetual,8,424.00%,35.06,40d 14h 8m,40d 14h 8m
ZECUSDT Perpetual,0,418.91%,209.46,136d 22h 40m,136d 22h 40m
BTCUSDT Perpetual,4,415.60%,112.21,19d 2h 20m,19d 2h 20m
BTCUSDT Perpetual,2,410.75%,110.90,19d 2h 20m,19d 2h 20m
BLZUSDT Perpetual,0,378.13%,113.44,151d 9h 59m,151d 9h 59m
ZRXUSDT Perpetual,6,373.56%,18.68,13d 6h 27m,13d 6h 27m
DUSKUSDT Perpetual,3,368.29%,21.73,27d 14h 52m,27d 14h 52m
GMTUSDT Perpetual,7,365.57%,21.93,14d 16h 9m,14d 16h 9m
ETHUSDT Perpetual,3,361.17%,10.84,12d 17h 51m,12d 17h 51m
BTCUSDT Perpetual,7,360.93%,239.37,27d 2h 39m,27d 2h 39m
LTCUSDT Perpetual,0,360.53%,93.27,243d 5h 34m,243d 5h 34m
ADAUSDT Perpetual,1,358.60%,24.17,59d 21h 10m,59d 21h 10m
KNCUSDT Perpetual,0,352.01%,880.03,1y 66d 19h 46m,1y 66d 19h 46m
LINKUSDT Perpetual,1,337.60%,272.78,59d 13h 9m,59d 13h 9m
KNCUSDT Perpetual,3,322.21%,322.22,19d 2h 4m,19d 2h 4m
EOSUSDT Perpetual,0,319.42%,638.85,28d 1h 52m,28d 1h 52m
TRXUSDT Perpetual,2,316.97%,405.73,174d 17h 53m,174d 17h 53m
TRXUSDT Perpetual,0,311.89%,155.95,100d 10h 41m,100d 10h 41m
AVAXUSDT Perpetual,0,307.43%,676.35,235d 8h 38m,235d 8h 38m
