cryptoPair,copyPopularity,roi,pnl,runningTime
LAZIO/BUSD,1,35.57%,96.02,49d 21h 17m
SOL/USDT,2,35.05%,41.86,25d 17h 33m
TRX/BTC,1,34.99%,27.81,62d 12h 27m
TRX/USDT,4,34.93%,160.96,73d 20h 30m
KP3R/USDT,3,34.88%,32.78,14d 8h 37m
PAXG/BTC,1,34.54%,407.76,58d 22h 6m
LINK/USDT,1,34.53%,44.79,59d 13h 27m
BNB/ETH,1,34.45%,227.50,181d 6h 17m
KEY/USDT,0,33.74%,75.32,47d 6h 18m
LINK/USDT,0,33.71%,34.18,59d 15h 35m
SOL/BUSD,1,33.39%,618.91,27d 21h 24m
GMT/BUSD,0,33.22%,59.68,24d 5h 45m
PAXG/BNB,0,33.18%,698.25,46d 12h 44m
ADA/USDT,8,33.05%,639.91,59d 19h 22m
SHIB/DOGE,0,32.81%,21.30,62d 12h 45m
DODO/BTC,0,32.65%,156.52,51d 12h 18m
AVAX/USDT,6,32.41%,290.88,25d 13h 44m
CTK/USDT,0,32.35%,232.81,38d 5h 57m
ENS/BUSD,1,32.23%,30.44,58d 17h 11m
SAND/USDT,1,32.13%,110.68,25d 15h 13m
ANC/BTC,1,31.98%,29.88,30d 14h 33m
AAVE/USDT,0,31.94%,169.72,10d 13h 17m
MATIC/USDT,0,31.79%,570.38,26d 8h 32m
TCT/BTC,0,31.64%,18.65,81d 10h 9m
GMT/BUSD,0,31.61%,85.20,26d 16h 17m
PSG/BTC,1,31.48%,123.86,52d 16h 39m
UNI/BNB,1,31.38%,3990.94,46d 18m
GMT/BUSD,0,31.31%,228.02,73d 19h 33m
ETH/USDT,1,31.29%,32254.93,22d 4h 48m
SOL/ETH,2,31.28%,149.76,36d 5h 45m
BNB/ETH,0,31.27%,150.25,180d 5h 6m
ANC/BUSD,2,31.06%,29.15,49d 1h 40m
ANC/BUSD,0,30.99%,39.08,28d 3h 39m
MDX/BUSD,0,30.82%,111.20,27d 3h 13m
TRX/BUSD,0,30.73%,1054.15,76d 23h 13m
ATOM/BTC,0,30.64%,170.83,39d 2h 41m
APE/BUSD,3,30.32%,302.02,22d 22h 17m
TRU/BTC,0,30.06%,12.61,15d 3h 42m
BNB/ETH,0,29.84%,240.50,149d 23h 27m
ATOM/USDT,0,29.80%,535.81,27d 15h 36m
ATOM/BTC,0,29.78%,278.55,22d 14h 7m
BNB/ETH,1,29.70%,188.24,61d 7h 18m
REQ/BTC,0,29.54%,32.40,22d 16h 8m
TRX/BTC,0,29.47%,137.57,63d 16h 15m
DOGE/BTC,3,29.36%,15.50,104d 7h 16m
BNB/ETH,0,29.32%,187.34,57d 13h 21m
OGN/BNB,0,29.28%,113.33,85d 14h 13m
DOGE/BTC,0,29.26%,92.79,99d 8h 51m
TRX/USDT,0,29.25%,136.20,76d 17h 44m
MATIC/USDT,1,29.20%,161.92,21d 7h 10m
JASMY/BTC,0,29.16%,196.14,38d 10h 21m
IMX/BTC,0,28.95%,95.04,49d 15h 8m
TRX/BTC,0,28.91%,232.26,60d 10h 1m
THETA/BUSD,4,28.31%,92.96,33d 11h 19m
SOL/BTC,2,28.28%,3.08,33d 18h 18m
GMT/BUSD,0,28.28%,578.97,49d 13h 40m
DUSK/BTC,0,28.20%,1061.02,28d 13h 33m
ADA/ETH,0,28.13%,190.52,83d 5h 39m
SHIB/DOGE,0,28.08%,2015.03,60d 17h 17m
WAVES/BTC,2,27.70%,47.53,60d 15h 54m
SOL/BUSD,2,27.57%,855.17,22d 14h 59m
MATIC/USDT,0,27.43%,336.84,26d 9h 9m
AAVE/ETH,0,27.31%,102.09,47d 23h 48m
GMT/BTC,0,27.22%,17.39,52d 10h 56m
ROSE/BTC,0,27.16%,50.65,59d 4h 47m
CRV/BUSD,0,27.04%,779.83,24d 8h 49m
SOL/USDT,1,26.49%,94.61,27d 17h 3m
AAVE/BTC,0,26.48%,13.78,61d 1h 6m
DEGO/BTC,0,26.42%,138.54,22d 3h 37m
SHIB/DOGE,0,26.33%,15.95,95d 6h 52m
ADA/BTC,0,26.16%,132.82,68d 1h 42m
TCT/USDT,0,26.09%,34.06,29d 15h 43m
SHIB/USDT,1,26.03%,212.04,30d 9h 54m
HIGH/BTC,0,25.97%,48.80,40d 13h 19m
ANT/USDT,0,25.93%,31.54,50d 5h 39m
SHIB/DOGE,0,25.89%,396.76,61d 54m
OG/USDT,0,25.89%,30.19,31d 13h 34m
LAZIO/BUSD,2,25.87%,16.49,52d 14h 10m
QI/BUSD,0,25.85%,41.38,28d 3h 40m
XMR/USDT,1,25.81%,888.19,25d 16h 36m
ADA/BTC,1,25.77%,481.95,59d 13h 11m
XMR/USDT,0,25.75%,916.26,25d 16h 41m
UMA/BTC,0,25.73%,294.06,25d 14h 36m
KP3R/USDT,0,25.47%,44.62,50d 13h 53m
OOKI/BUSD,0,25.43%,57.29,26d 7h 4m
SHIB/BUSD,0,25.40%,85.80,44d 19h 39m
DOGE/USDT,1,25.39%,2245.32,27d 6h 53m
UNI/BUSD,2,25.36%,91.07,58d 10h 15m
ADA/BTC,0,25.31%,29.27,68d 9h 47m
UNI/USDT,0,25.29%,20.70,57d 40m
TRX/BTC,1,25.09%,470.06,57d 9h 37m
TRX/USDT,0,25.09%,33.50,80d 11h 4m
SHIB/DOGE,0,25.06%,32.74,161d 15h 7m
TRX/BTC,0,24.95%,23.06,65d 12h 14m
BEL/BNB,0,24.83%,44.49,42d 8h 31m
GMT/BUSD,0,24.74%,11.07,21d 4h 6m
SHIB/DOGE,0,24.63%,24.38,160d 22h 31m
JASMY/BUSD,0,24.55%,105.68,52d 14h 14m
RARE/BUSD,0,24.43%,26.60,45d 2h 36m
GMT/BUSD,0,24.39%,554.94,72d 7h 6m
JASMY/BUSD,0,24.38%,10.98,57d 9h 21m
ADA/BTC,0,24.27%,78.51,132d 8h 11m
SHIB/DOGE,0,24.25%,10.98,59d 22h 34m
ADA/BTC,1,24.20%,98.67,72d 13h 25m
BNB/ETH,0,24.04%,17.83,165d 35m
DEGO/USDT,0,24.04%,39.80,28d 7h 10m
SOL/BUSD,0,24.03%,71.58,28d 17h 54m
MATIC/USDT,1,24.03%,140.42,10d 11h 52m
THETA/BUSD,0,23.87%,55.66,33d 9h 11m
SHIB/DOGE,0,23.86%,8.25,64d 6h 47m
SLP/USDT,2,23.85%,25.37,27d 23h 16m
TRX/BTC,0,23.81%,57.02,69d 16h 11m
UNI/USDT,0,23.75%,35.07,32d 3h 25m
MATIC/BTC,0,23.61%,220.70,25d 5h 40m
KEY/ETH,0,23.60%,97.78,29d 14h 7m
SOL/BUSD,0,23.45%,213.80,27d 15h 26m
JASMY/USDT,0,23.43%,34.78,55d 9h 40m
MBL/USDT,0,23.42%,29.08,23d 2h 46m
AAVE/BTC,0,23.23%,56.17,54d 3h 46m
ARPA/USDT,2,23.06%,14.54,39d 9h 53m
AVAX/ETH,0,23.05%,163.89,46d 5h 58m
PEOPLE/BTC,0,23.03%,208.18,86d 12h 51m
JUV/USDT,0,22.99%,69.68,22d 4h 31m
ADA/USDT,5,22.92%,20.45,59d 14h 44m
AAVE/USDT,0,22.90%,412.42,10d 16h 57m
CHZ/BNB,1,22.85%,420.67,61d 8h 19m
JASMY/ETH,0,22.83%,69.78,36d 9h 7m
AR/BTC,0,22.77%,2.13,58d 41m
GMT/BUSD,0,22.70%,12.88,20d 3h 6m
TRX/BTC,1,22.65%,86.04,60d 22h 42m
BNB/ETH,7,22.59%,37318.14,89d 19h 19m
FTM/USDT,0,22.59%,201.75,25d 13h 40m
ASR/USDT,0,22.55%,98.52,36d 9h 30m
AAVE/BUSD,0,22.53%,60.61,28d 15h 23m
PEOPLE/BTC,0,22.48%,1460.67,49d 11h 18m
ADA/ETH,2,22.42%,15.98,131d 3h 37m
GMT/BUSD,0,22.39%,10.07,21d 1h 3m
ICP/USDT,0,22.33%,2012.03,29d 3h 11m
ANT/USDT,0,22.32%,41.30,54d 10h 54m
EGLD/USDT,6,22.23%,136.06,28d 10h 18m
SAND/BUSD,0,22.17%,53.04,59d 23h 33m
GMT/BUSD,0,22.15%,13.47,20d 4h 54m
GMT/BUSD,0,22.15%,26.39,18d 14h 22m
FARM/USDT,0,22.14%,452.53,57d 7h 14m
ATOM/USDT,0,22.14%,99.33,28d 4h 59m
MATIC/BUSD,3,22.08%,25.27,20d 6h 40m
SHIB/DOGE,0,22.08%,13.30,51d 7h 51m
KP3R/USDT,0,22.07%,78.21,52d 11h 2m
QI/BTC,0,21.98%,499.62,15d 1h 59m
DOT/BTC,2,21.97%,13.41,60d 10h 48m
GMT/BUSD,0,21.95%,9.98,18d 1h 18m
ADA/ETH,0,21.87%,142.77,133d 2h 15m
DOGE/USDT,0,21.87%,117.86,27d 22h 45m
ETH/USDT,1,21.81%,38.97,25d 11h 36m
CRV/USDT,0,21.80%,235.64,13d 1h 35m
ATOM/ETH,1,21.79%,177.51,21d 14h 42m
PEOPLE/USDT,0,21.73%,46.99,24d 11h 21m
LINA/BTC,0,21.64%,19.81,39d 9h 9m
GMT/BNB,0,21.63%,93.95,43d 5h 23m
FARM/BTC,2,21.61%,25.33,10d 21h 44m
ATOM/BTC,0,21.56%,59.95,44d 9h 17m
GMT/BUSD,1,21.55%,19.39,18d 4h 53m
ANC/BUSD,0,21.52%,194.40,21d 5h 13m
ALPACA/BTC,1,21.47%,39.61,64d 2h 2m
GMT/BUSD,0,21.44%,102.21,35d 19h 21m
FTM/USDT,0,21.27%,45.28,28d 5h 47m
CHR/BTC,0,21.24%,117.41,55d 9h 31m
DOGE/BTC,0,21.23%,47.44,27d 5h 20m
BNB/ETH,0,21.15%,37.95,181d 11h 9m
DOGE/BTC,1,21.12%,31.88,127d 11h 27m
SHIB/DOGE,1,21.11%,6.66,93d 14h 47m
ATOM/BTC,0,21.11%,68.31,24d 5h 44m
COCOS/USDT,0,21.10%,187.29,32d 9h 59m
DOGE/BTC,0,21.10%,26.08,92d 19h 29m
ANC/BUSD,0,21.07%,92.71,30d 17h 27m
DATA/BTC,0,21.04%,75.23,17d 15h 26m
ADA/BTC,1,20.93%,34.07,50d 15h 10m
SHIB/DOGE,0,20.92%,6.86,185d 2h 53m
XRP/BTC,1,20.87%,19.26,156d 8h 46m
FORTH/USDT,1,20.86%,103.28,51d 9h 52m
GMT/USDT,0,20.85%,34.98,43d 22h 13m
ADA/BUSD,2,20.78%,19.97,59d 5h 24m
COCOS/USDT,0,20.75%,207.04,10d 14h 50m
TCT/BTC,0,20.66%,7.00,47d 8h 41m
ADA/ETH,0,20.65%,71.06,136d 7h 34m
ARDR/USDT,0,20.64%,55.75,27d 4h
ALICE/BUSD,0,20.63%,18.69,58d 17h 15m
OOKI/BNB,0,20.60%,155.09,10d 4h 39m
SHIB/BUSD,0,20.58%,115.27,33d 2h 12m
SHIB/DOGE,0,20.56%,36.97,75d 5h 25m
SHIB/DOGE,0,20.44%,6.24,68d 3h 34m
ETH/BUSD,3,20.41%,72.12,25d 16h 14m
INJ/BUSD,0,20.37%,22.25,9d 7h 47m
CRV/ETH,0,20.36%,913.27,23d 16h 45m
AAVE/BUSD,0,20.36%,28.60,20d 5h 7m
GMT/BUSD,0,20.30%,293.49,27d 15h 29m
ENS/USDT,0,20.26%,139.91,45d 3h 48m
GMT/BUSD,0,20.23%,27.28,29d 13h 17m
SHIB/DOGE,0,20.23%,39.75,29d 10h 17m
ROSE/BTC,0,20.21%,59.72,51d 16h 32m
MATIC/BUSD,0,20.20%,38.08,10d 5h 45m
PEOPLE/USDT,0,20.16%,36.32,23d 21h 21m
PEOPLE/BUSD,1,20.13%,318.43,25d 8h 56m
BNB/BTC,1,20.10%,2816.02,117d 5h 33m
ADA/BTC,0,20.09%,17.24,64d 5h 26m
RARE/BTC,0,20.08%,45.71,47d 2h 43m
JASMY/USDT,0,20.04%,23.64,22d 8h 50m
API3/USDT,0,20.02%,67.40,19d 6h 21m
XMR/BTC,0,20.00%,112.01,53d 13h 36m
ENS/BUSD,1,19.98%,25.35,58d 13h 7m
MATIC/BUSD,0,19.90%,119.68,10d 9h 56m
VET/ETH,0,19.90%,53.80,46d 6h 33m
SHIB/DOGE,0,19.84%,16.30,47d 18h 34m
SHIB/DOGE,0,19.79%,35.63,93d 10h 48m
ADA/ETH,0,19.78%,67.95,136d 21h 16m
SOL/USDT,0,19.75%,62.08,26d 3h 43m
UNI/USDT,0,19.72%,88.72,40d 22h 51m
DOGE/USDT,3,19.61%,15.34,22d 1h 24m
SHIB/USDT,0,19.49%,44.93,59d 12h 39m
BEL/BNB,0,19.43%,38.08,61d 5h 33m
EOS/USDT,1,19.39%,349.15,27d 21h 47m
LINK/BNB,0,19.37%,79.90,52d 15h 52m
COCOS/USDT,0,19.37%,31.19,27d 9h 6m
XMR/USDT,0,19.37%,41.98,25d 7h 22m
DOGE/BTC,0,19.37%,19.69,130d 10h 51m
SHIB/DOGE,0,19.36%,1920.27,55d 7h 28m
UMA/BUSD,0,19.34%,51.86,20d 14h 30m
OOKI/USDT,0,19.26%,22.46,38d 10h 49m
SOL/BTC,0,19.26%,12.00,57d 6h 33m
GMT/BUSD,2,19.22%,86.46,8d 16h 39m
MDT/BTC,0,19.21%,8.35,61d 11h 20m
GMT/BUSD,0,19.19%,6.59,19d 1h 15m
SOL/ETH,0,19.14%,170.44,46d 5h 55m
ETH/BUSD,0,19.13%,50.43,25d 16h 16m
MATIC/BUSD,0,19.08%,52.79,27d 16h 43m
BNB/ETH,0,19.07%,8.76,171d 5h 5m
COCOS/BUSD,1,19.06%,63.12,26d 16h 42m
XMR/BTC,0,19.03%,1019.75,24d 18h
CHR/USDT,0,19.03%,103.15,28d 14m
ANC/USDT,0,19.02%,16.95,29d 15h 6m
MATIC/BUSD,0,19.02%,3525.67,10d 10h 7m
ETH/BUSD,1,19.00%,292.90,21d 19h 45m
GMT/BUSD,1,18.95%,19.62,8d 18h 17m
SOL/BUSD,1,18.93%,28.06,27d 1h 8m
BNB/BTC,1,18.93%,62.49,156d 8h 2m
GMT/BTC,0,18.88%,8.48,89d 8h 36m
BAKE/BUSD,1,18.86%,679.14,20d 16h 35m
GMT/BUSD,0,18.84%,44.95,17d 14h 15m
ENS/USDT,0,18.75%,439.89,57d 12h 8m
ATOM/USDT,0,18.74%,70.72,36d 2h 7m
JASMY/BTC,0,18.74%,16.10,66d 19h 57m
SOL/BUSD,0,18.73%,136.77,25d 6h 11m
TRX/BUSD,0,18.72%,61.15,53d 12h 30m
XLM/BTC,0,18.66%,35.82,89d 10h 38m
LINK/ETH,1,18.58%,114.77,83d 5h 41m
ADA/BUSD,2,18.56%,111.06,45d 2h 27m
ADA/BTC,0,18.56%,68.61,80d 11h 53m
SHIB/DOGE,0,18.54%,11.91,58d 58m
ADA/BTC,0,18.54%,3.84,75d 2h 24m
SHIB/DOGE,0,18.52%,27.91,48d 25m
APE/BUSD,0,18.51%,30.24,20d 2h 42m
FORTH/USDT,0,18.49%,11111.75,54d 21h 26m
SOL/BUSD,0,18.49%,70.97,37d 9h 26m
ASR/USDT,0,18.46%,19.30,29d 6h 25m
GMT/BUSD,1,18.46%,8.42,17d 5h 29m
TRX/ETH,0,18.41%,27.66,64d 13h 24m
BNB/BTC,0,18.37%,39.33,98d 5h 12m
SHIB/BUSD,0,18.36%,71.60,59d 9h 30m
ENS/BUSD,0,18.36%,229.59,21d 10h 41m
TROY/USDT,0,18.31%,74.15,54d 11h 50m
ANT/USDT,0,18.28%,82.40,51d 9h 54m
FARM/USDT,0,18.28%,171.36,32d 16h 21m
GMT/BUSD,0,18.25%,16.38,8d 14h 6m
KEY/USDT,0,18.23%,16.41,29d 6h 20m
XEC/USDT,0,18.22%,33.28,25d 4h 16m
SHIB/DOGE,0,18.18%,33.21,38d 11h 28m
IOTA/BTC,0,18.09%,28.27,48d 12h 49m
GMT/BUSD,0,18.03%,63.69,71d 12h 16m
XMR/BTC,0,18.03%,32.22,53d 16h 25m
FTM/USDT,0,17.98%,80.45,21d 16h 18m
TROY/USDT,0,17.97%,52.55,50d 13h 53m
GMT/BUSD,0,17.95%,38.60,27d 3h 6m
JASMY/USDT,0,17.93%,11.31,23d 13h 6m
ADA/BTC,0,17.89%,36.26,88d 4h 49m
AVAX/BNB,1,17.89%,178.34,44d 19h 58m
AXS/BTC,1,17.88%,33.00,52d 2h 23m
GMT/BUSD,0,17.84%,11.15,33d 11h 7m
GMT/BUSD,0,17.82%,8.23,20d 10h 29m
ENS/BUSD,0,17.81%,27.97,23d 7h 46m
DATA/USDT,0,17.80%,60.47,12d 17h 18m
BNB/BTC,2,17.79%,50.86,108d 3h 4m
ETH/USDT,0,17.78%,15.98,26d 11h 1m
LINK/BTC,1,17.78%,66.24,56d 6h 54m
ETH/USDT,0,17.76%,443.33,21d 20h 21m
ADA/BTC,0,17.76%,36.18,78d 11h 19m
CHZ/BTC,0,17.72%,69.01,61d 18h 37m
LINA/BTC,0,17.70%,37.29,35d 21h 54m
SHIB/USDT,0,17.69%,23.63,36d 16h 4m
AR/BTC,0,17.66%,3640.30,47d 9h 23m
SANTOS/BTC,0,17.66%,56.54,39d 7h 34m
ADA/ETH,0,17.61%,29.51,182d 10h 57m
SHIB/DOGE,0,17.61%,10.76,56d 22h 40m
ADA/ETH,0,17.61%,19.90,122d 55m
ANC/BTC,0,17.60%,14.24,21d 4h 7m
SOL/BUSD,0,17.58%,80.19,37d 8h 2m
KEY/USDT,0,17.51%,31.52,38d 2h 54m
SAND/BTC,0,17.51%,58.57,55d 5h 57m
DODO/BTC,0,17.51%,21.48,22d 5h 18m
BNX/USDT,0,17.48%,64.13,51d 19h 27m
ETH/USDT,0,17.48%,26.68,22d 16h 59m
ETH/BUSD,0,17.45%,1368.22,22d 10h 22m
ETH/USDT,1,17.43%,912.30,22d 3h 42m
CHZ/BTC,0,17.42%,2.23,45d 9h 19m
GMT/BUSD,0,17.41%,16.14,8d 12h 41m
ADA/BTC,0,17.41%,42.38,80d 16h 48m
GMT/BUSD,0,17.34%,8.10,8d 16h 53m
BNB/BTC,0,17.32%,22.26,102d 7h 16m
CTXC/USDT,0,17.32%,148.50,10d 14h 45m
SHIB/BUSD,0,17.27%,22.62,52d 20h 38m
XMR/ETH,0,17.26%,41.66,68d 7h 6m
LTC/USDT,3,17.22%,6.80,25d 23h 27m
TCT/BTC,0,17.20%,412.85,16d 5h 30m
GMT/BUSD,0,17.16%,295.12,30d 1h 4m
BNB/BTC,4,17.15%,92.22,133d 4h 30m
SAND/USDT,1,17.13%,75.00,58d 3h 16m
BNB/ETH,0,17.12%,62.59,150d 13h 26m
APE/BUSD,0,17.12%,290.38,19d 23h 57m
AAVE/ETH,1,17.11%,996.76,21d 9h 33m
APE/BUSD,0,17.09%,179.17,20d 11h 38m
GMT/USDT,0,17.09%,56.03,20d 9h 43m
AVAX/USDT,0,17.09%,46.15,26d 16h 38m
ETH/BUSD,0,17.05%,86.40,21d 21h 36m
APE/USDT,0,17.04%,39.64,19d 49m
ZIL/ETH,1,16.99%,88.24,47d 16h 8m
EGLD/BTC,0,16.98%,8906.22,26d 12h 17m
SOL/ETH,0,16.97%,56.13,68d 7h 14m
SHIB/DOGE,0,16.96%,2097.07,36d 22h 34m
ATOM/BUSD,0,16.95%,30.48,33d 9h 13m
CHZ/BUSD,0,16.92%,21.64,21d 8h 24m
ADA/BTC,0,16.91%,111.77,79d 18h 11m
THETA/BUSD,0,16.90%,30.29,27d 3h 32m
DOGE/USDT,0,16.89%,208.20,27d 21h 5m
SHIB/DOGE,0,16.89%,140.59,26d 5h 8m
INJ/USDT,0,16.88%,11.33,16d 12h 12m
ALGO/BTC,0,16.87%,24.89,59d 15h 59m
JASMY/BUSD,0,16.86%,122.59,45d 10h 25m
GMT/BUSD,1,16.83%,15.12,8d 10h 26m
SHIB/DOGE,0,16.81%,20.03,26d 3h 37m
GMT/BUSD,0,16.80%,7.88,17d 4h 1m
ETH/USDT,1,16.77%,453.01,21d 22h 31m
APE/USDT,0,16.77%,47.53,19d 20h 50m
TRX/BUSD,0,16.76%,150.64,51d 11h 15m
SOL/USDT,0,16.76%,251.46,29d 22h 32m
GMT/BUSD,0,16.74%,21.54,27d 8h 47m
GMT/BUSD,0,16.70%,8.64,20d 10h 8m
OOKI/BUSD,0,16.70%,12.85,5d 13h 48m
ICP/USDT,0,16.68%,60.00,28d 7h 22m
GMT/BUSD,0,16.67%,74.76,38d 17h 6m
ASR/USDT,0,16.67%,168.79,31d 11h 24m
SOL/BUSD,1,16.67%,72.26,38d 18h 53m
