cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1,921.84%,8103.51,48d 7h 51m
GMT/BUSD,1,688.18%,669.90,58d 5h 27m
GMT/BUSD,8,588.43%,593.31,56d 16h 8m
GMT/BUSD,4,471.22%,504.84,56d 12h 3m
GMT/BUSD,5,332.63%,535.66,54d 14h 15m
GMT/BUSD,0,328.32%,634.69,81d 7h 54m
GMT/BUSD,1,316.47%,423.57,47d 13h 46m
GMT/BUSD,7,312.59%,11024.78,64d 6h 36m
GMT/BUSD,1,304.12%,1478.51,81d 15h 24m
GMT/BUSD,6,294.67%,1058.63,50d 16h 23m
GMT/BUSD,0,243.97%,810.21,51d 3h 26m
GMT/BUSD,1,242.81%,459.76,51d 10h 6m
GMT/BUSD,0,241.49%,647.77,53d 8h 27m
GMT/BUSD,0,237.39%,467.15,53d 3h 5m
GMT/BUSD,0,227.09%,855.08,57d 9h 13m
GMT/BUSD,1,192.74%,334.18,45d 1h 9m
GMT/BUSD,0,175.10%,403.68,82d 49m
GMT/BUSD,1,160.10%,704.54,43d 5h 8m
GMT/BUSD,0,158.81%,541.80,67d 22h 35m
GMT/BUSD,0,146.59%,889.20,66d 3m
ANC/USDT,4,133.52%,55.23,53d 7h 49m
GMT/BUSD,0,122.70%,323.44,71d 1h 9m
GMT/BUSD,0,116.33%,391.62,69d 16h 48m
GMT/BUSD,0,110.52%,594.93,78d 8h 28m
GMT/BUSD,0,109.52%,578.64,81d 7h 57m
GMT/BUSD,0,101.57%,410.26,69d 21h 40m
GMT/BUSD,0,98.70%,277.36,73d 11h 33m
PEOPLE/USDT,2,97.34%,788.46,52d 10h 10m
ANC/BNB,6,96.27%,85.75,55d 8h 13m
GMT/BUSD,0,85.99%,476.02,67d 5h 4m
UMA/BUSD,1,85.93%,252.94,59d 23h 38m
GMT/BUSD,0,85.88%,419.44,72d 9h 7m
GMT/BUSD,1,83.16%,68.55,71d 21h 18m
GMT/BUSD,0,75.82%,1317.48,74d 23h 21m
TCT/BTC,3,70.02%,26.55,57d 8h 47m
TRX/BUSD,1,65.98%,307.21,93d 5h 23m
FORTH/BUSD,0,65.62%,76.05,41d 18h 52m
GMT/BUSD,9,65.25%,138.15,22d 5h 16m
ASR/USDT,2,62.94%,42.92,48d 4h 27m
GMT/BUSD,1,61.93%,82.91,22d 7h 36m
DYDX/USDT,1,61.70%,555.14,23d 6h 12m
PEOPLE/USDT,1,61.70%,89.94,58d 6h 46m
GMT/BUSD,0,61.20%,1840.72,72d 4h 22m
TRX/BUSD,0,60.10%,1926.54,83d 20h 46m
GMT/BUSD,0,60.08%,128.67,72d 19h 11m
FLM/BTC,3,59.14%,60.02,71d 12h 52m
GMT/BUSD,0,59.00%,26.85,22d 8h 37m
GMT/BUSD,1,58.76%,23.86,22d 9h 8m
CVX/BUSD,0,58.65%,2270.22,24d 1h 58m
GMT/BUSD,0,58.21%,52.34,21d 23h 23m
OG/USDT,3,58.15%,823.07,47d 2h 15m
GMT/BUSD,3,57.99%,29.42,22d 8m
KP3R/USDT,0,57.22%,63.73,58d 1h 17m
GMT/BUSD,0,56.96%,369.30,66d 4h 40m
GMT/BUSD,0,55.37%,462.81,23d 8m
GMT/USDT,2,54.73%,73.78,21d 20h 26m
GMT/BUSD,0,54.45%,26.95,22d 10h 59m
GMT/BUSD,0,53.60%,311.20,25d 9h 31m
ASR/USDT,0,52.59%,277.37,36d 1h 20m
GMT/BUSD,0,52.24%,82.95,44d 21h 52m
GMT/BUSD,0,51.91%,488.22,22d 8h 4m
PAXG/BTC,4,51.89%,174.30,67d 10h 4m
FORTH/BUSD,0,50.58%,55.48,55d 3h 37m
MATIC/USDT,8,50.26%,338.63,21d 7h 22m
CTXC/USDT,2,49.69%,51.56,58d 22h 14m
GMT/BUSD,0,48.07%,19.78,22d 11h 27m
GTC/BUSD,0,48.01%,392.35,54d 22h 29m
RARE/BNB,1,47.41%,30.04,54d 17h 50m
GMT/BUSD,0,47.38%,19.13,23d 2h 15m
UNI/BTC,0,47.04%,886.05,43d 15h 14m
PEOPLE/BTC,1,46.97%,950.75,60d 2h 42m
COCOS/BNB,0,46.67%,176.48,42d 23h 36m
GMT/BUSD,0,45.26%,19.46,21d 3h 47m
GMT/BUSD,1,44.79%,20.18,21d 4h 57m
GMT/BUSD,0,44.62%,1155.09,24d 3m
GMT/BUSD,0,43.98%,19.31,23d 7h
GMT/BUSD,2,43.96%,27.94,20d 23h 46m
BNB/ETH,9,43.79%,258.40,98d 11h 17m
GMT/USDT,2,43.61%,427.36,60d 10h 5m
GMT/USDT,9,43.52%,1319.03,21d 9h 55m
AAVE/ETH,1,43.07%,304.49,59d 10h 38m
COCOS/USDT,0,42.50%,200.74,37d 4h 31m
UMA/USDT,1,41.76%,112.05,25d 11h 57m
LINK/ETH,2,41.69%,179.25,60d 9h 34m
GMT/BUSD,0,41.19%,764.54,22d 23h 38m
DUSK/BTC,0,41.13%,144.69,56d 19h 28m
GMT/BUSD,0,41.10%,15.06,21d 2h 18m
THETA/USDT,0,41.08%,88.80,48d 21h 16m
TRX/USDT,0,41.07%,746.76,82d 9h 12m
FLM/BTC,0,40.53%,32.79,73d 9h 51m
SHIB/DOGE,0,40.50%,43.13,154d 1h 38m
DODO/BUSD,5,40.42%,68.90,46d 23h 17m
AAVE/BUSD,6,40.39%,148.61,25d 12h 5m
GMT/BUSD,0,40.31%,126.74,73d 22h 10m
TROY/BUSD,0,39.68%,110.56,46d 6h 14m
REQ/BTC,0,39.66%,19.52,47d 19h 47m
CTK/USDT,0,39.17%,211.45,54d 14h 59m
BEL/BUSD,1,39.04%,120.34,42d 11h 5m
THETA/BTC,3,38.63%,73.48,32d 22h 45m
JASMY/BTC,0,38.48%,88.89,84d 16h 48m
MBL/USDT,1,38.33%,104.14,28d 15h 36m
BETA/ETH,0,38.00%,28.18,42d 1h 18m
LINK/USDT,0,37.82%,188.48,28d 15h 17m
TRU/BTC,2,37.59%,35.06,15d 5h 14m
ERN/BUSD,0,37.05%,133.77,26d 20h 12m
ANC/USDT,2,36.90%,49.81,28d 14h 32m
ENS/USDT,1,36.53%,65.75,57d 20h 16m
KP3R/USDT,3,36.26%,34.08,14d 1h 37m
SOL/USDT,2,35.85%,42.83,25d 10h 33m
LAZIO/BUSD,1,35.67%,96.29,49d 14h 17m
OG/BTC,0,35.23%,76.65,26d 6h 49m
TRX/USDT,4,34.93%,160.93,73d 13h 30m
MBL/USDT,0,34.90%,62.21,28d 2h 4m
TRX/BTC,1,34.80%,27.79,62d 5h 27m
LINK/USDT,1,34.22%,44.39,59d 6h 27m
BNB/ETH,1,34.09%,225.48,180d 23h 17m
SOL/BUSD,1,34.06%,631.41,27d 14h 24m
PAXG/BTC,1,33.87%,401.77,58d 15h 6m
KEY/USDT,0,33.77%,75.39,46d 23h 18m
OOKI/BUSD,0,33.50%,121.07,57d 6h 15m
GMT/BUSD,0,33.49%,60.16,23d 22h 45m
LINK/USDT,0,33.39%,33.85,59d 8h 35m
MATIC/USDT,0,33.01%,592.22,26d 1h 32m
ENS/BUSD,1,32.99%,31.17,58d 10h 11m
ADA/USDT,8,32.88%,636.58,59d 12h 22m
PAXG/BNB,0,32.84%,688.81,46d 5h 44m
SHIB/DOGE,0,32.83%,21.27,62d 5h 45m
DODO/BTC,0,32.65%,157.24,51d 5h 18m
CTK/USDT,0,32.56%,234.36,37d 22h 57m
SAND/USDT,1,32.51%,111.96,25d 8h 13m
GMT/BUSD,0,32.44%,87.43,26d 9h 17m
UNI/BNB,1,32.13%,4071.59,45d 17h 18m
AVAX/USDT,6,32.09%,288.04,25d 6h 43m
COCOS/USDT,0,31.89%,318.25,10d 7h 50m
AAVE/USDT,0,31.83%,169.11,10d 6h 17m
PSG/BTC,1,31.79%,125.69,52d 9h 39m
SOL/ETH,2,31.78%,152.41,35d 22h 44m
ANC/BTC,1,31.72%,29.79,30d 7h 33m
GMT/BUSD,0,31.60%,230.13,73d 12h 32m
ETH/USDT,1,31.46%,32424.86,21d 21h 48m
TCT/BTC,0,31.37%,18.58,81d 3h 9m
ANC/BUSD,2,31.13%,29.21,48d 18h 40m
MDX/BUSD,0,31.10%,112.21,26d 20h 13m
