cryptoPair,copyPopularity,roi,pnl,runningTime,direction
TRBUSDT Perpetual,0,144.81%,16.65,27d 10h 42m,27d 10h 42m
ETHUSDT Perpetual,0,144.81%,15.93,25d 17h 15m,25d 17h 15m
XRPUSDT Perpetual,1,144.19%,1.43,23d 6h 33m,23d 6h 33m
SANDUSDT Perpetual,0,143.24%,71.62,49d 10h 13m,49d 10h 13m
GMTUSDT Perpetual,0,143.16%,715.85,12d 10h 5m,12d 10h 5m
1000SHIBUSDT Perpetual,0,143.15%,4.29,15d 20h 6m,15d 20h 6m
CVCUSDT Perpetual,0,142.93%,35.73,26d 21h 36m,26d 21h 36m
ETHUSDT Perpetual,0,142.65%,0.97,4d 8h 2m,4d 8h 2m
LINKUSDT Perpetual,0,142.51%,9.51,10d 46m,10d 46m
CHZUSDT Perpetual,0,141.78%,53.93,53d 2h 9m,53d 2h 9m
APEUSDT Perpetual,0,141.67%,15.58,14d 4h 56m,14d 4h 56m
ADAUSDT Perpetual,9,141.34%,28.27,4d 8h 35m,4d 8h 35m
WAVESUSDT Perpetual,0,141.31%,141.32,58d 6h 37m,58d 6h 37m
LUNA2BUSD Perpetual,2,141.15%,6.20,29d 22h 25m,29d 22h 25m
BTCUSDT Perpetual,0,140.81%,563.28,19d 2h 12m,19d 2h 12m
BTCBUSD Perpetual,1,140.16%,63.07,18d 14h 48m,18d 14h 48m
ETHUSDT Perpetual,0,139.89%,139.89,21d 7h 36m,21d 7h 36m
APEBUSD Perpetual,0,139.83%,2.73,15d 4h 20m,15d 4h 20m
1000LUNCBUSD Perpetual,2,139.55%,13955.77,12d 20h 27m,12d 20h 27m
BTCBUSD Perpetual,0,139.44%,1394.45,24d 11h 43m,24d 11h 43m
SOLBUSD Perpetual,0,138.56%,138.57,24d 8h 7m,24d 8h 7m
BTCBUSD Perpetual,7,137.34%,196.40,22d 6h 20m,22d 6h 20m
CVCUSDT Perpetual,0,137.31%,20.60,135d 12h 24m,135d 12h 24m
PEOPLEUSDT Perpetual,0,137.25%,275.34,49d 12h 53m,49d 12h 53m
XEMUSDT Perpetual,13,136.57%,27.32,7d 17h 44m,7d 17h 44m
GALAUSDT Perpetual,0,136.53%,70.54,28d 12h 8m,28d 12h 8m
APEBUSD Perpetual,0,136.39%,1704.92,29d 17h 34m,29d 17h 34m
XRPUSDT Perpetual,0,136.12%,42.88,1y 38d 23h 21m,1y 38d 23h 21m
CHZUSDT Perpetual,0,135.87%,13.59,17d 23h 10m,17d 23h 10m
UNFIUSDT Perpetual,0,135.12%,270.25,24d 8h 50m,24d 8h 50m
BTCBUSD Perpetual,0,134.78%,673.93,14d 20h 4m,14d 20h 4m
DASHUSDT Perpetual,0,134.67%,9.16,21d 11h 37m,21d 11h 37m
GALAUSDT Perpetual,0,134.39%,87.36,29d 14h 54m,29d 14h 54m
1000SHIBUSDT Perpetual,0,134.22%,135.70,19d 9h 57m,19d 9h 57m
BTCUSDT Perpetual,0,133.81%,40.14,20d 16h 9m,20d 16h 9m
XRPUSDT Perpetual,0,133.64%,6.68,21d 17h 5m,21d 17h 5m
LITUSDT Perpetual,0,133.29%,333.24,22d 20h 53m,22d 20h 53m
MTLUSDT Perpetual,0,132.50%,39.75,21d 42m,21d 42m
BTCUSDT Perpetual,0,132.24%,52.40,12d 11h 29m,12d 11h 29m
C98USDT Perpetual,0,131.26%,65.63,18d 7h 4m,18d 7h 4m
WAVESUSDT Perpetual,0,129.83%,649.19,22d 16h 13m,22d 16h 13m
SOLUSDT Perpetual,0,129.19%,21.51,14d 8h 35m,14d 8h 35m
PEOPLEUSDT Perpetual,0,128.72%,27.84,20d 8h 36m,20d 8h 36m
BATUSDT Perpetual,0,128.16%,20.78,18d 16h 31m,18d 16h 31m
MATICUSDT Perpetual,0,127.88%,6.39,1y 47d 9h 40m,1y 47d 9h 40m
DODOBUSD Perpetual,0,127.79%,16.08,13d 32m,13d 32m
1000SHIBUSDT Perpetual,0,127.67%,16.65,16d 16h 41m,16d 16h 41m
ETHUSDT Perpetual,0,127.63%,59.48,27d 7h 20m,27d 7h 20m
1000LUNCBUSD Perpetual,0,126.47%,12647.94,12d 20h 39m,12d 20h 39m
FTMBUSD Perpetual,0,125.99%,13.86,33d 4h 11m,33d 4h 11m
ETHUSDT Perpetual,1,125.40%,12.65,27d 8h 10m,27d 8h 10m
SANDUSDT Perpetual,0,124.94%,187.42,10d 2h 16m,10d 2h 16m
SUSHIUSDT Perpetual,0,124.41%,1244.14,27d 21h 49m,27d 21h 49m
ANCBUSD Perpetual,2,124.27%,12427.56,21d 1h 51m,21d 1h 51m
KAVAUSDT Perpetual,7,124.27%,4.60,7d 1h 15m,7d 1h 15m
AXSUSDT Perpetual,0,123.13%,172.39,25d 2h 46m,25d 2h 46m
1000SHIBUSDT Perpetual,0,122.87%,12.82,41d 10h 33m,41d 10h 33m
ADAUSDT Perpetual,0,122.58%,163.44,6d 20h 20m,6d 20h 20m
ADAUSDT Perpetual,0,122.48%,25.06,25d 15h 22m,25d 15h 22m
TRXUSDT Perpetual,0,122.06%,242.90,60d 15h 49m,60d 15h 49m
1000SHIBUSDT Perpetual,1,122.01%,30.50,19d 12h 25m,19d 12h 25m
GTCUSDT Perpetual,0,121.81%,852.72,43d 20h 52m,43d 20h 52m
ADABUSD Perpetual,0,121.74%,20.70,57d 19h 31m,57d 19h 31m
WAVESUSDT Perpetual,0,121.64%,60.82,41d 13h 3m,41d 13h 3m
LINAUSDT Perpetual,0,121.55%,546.98,39d 13h 54m,39d 13h 54m
1000SHIBUSDT Perpetual,0,121.39%,9104.27,15d 2h 35m,15d 2h 35m
OGNUSDT Perpetual,0,120.65%,13.88,12d 11h 35m,12d 11h 35m
SOLUSDT Perpetual,0,120.33%,180.50,10d 25m,10d 25m
ETHBUSD Perpetual,0,119.94%,116.34,27d 2h 51m,27d 2h 51m
ADAUSDT Perpetual,0,119.72%,35.92,1y 54d 21h 47m,1y 54d 21h 47m
PEOPLEUSDT Perpetual,0,119.69%,81.39,21d 3h 53m,21d 3h 53m
MATICUSDT Perpetual,2,119.57%,59.79,46d 18h 7m,46d 18h 7m
ADAUSDT Perpetual,0,118.84%,29.71,11d 4h 22m,11d 4h 22m
DODOBUSD Perpetual,1,118.61%,11861.11,43d 20h 52m,43d 20h 52m
DOTUSDT Perpetual,0,118.58%,87.58,26d 10m,26d 10m
ADAUSDT Perpetual,0,118.42%,71.22,4d 7h 32m,4d 7h 32m
ALICEUSDT Perpetual,0,118.38%,591.91,59d 15h,59d 15h
BTCUSDT Perpetual,0,117.73%,17.66,12d 20h 35m,12d 20h 35m
BNBUSDT Perpetual,0,117.58%,40.94,27d 7h 27m,27d 7h 27m
BNBUSDT Perpetual,0,116.95%,3.51,42d 11h 1m,42d 11h 1m
DOGEBUSD Perpetual,0,116.93%,16.94,169d 10h 3m,169d 10h 3m
TOMOUSDT Perpetual,0,116.80%,233.62,28d 1h 35m,28d 1h 35m
