cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1090,918.14%,8071.01,48d 15h 51m
GMT/BUSD,15,685.25%,667.05,58d 13h 27m
GMT/BUSD,8,584.97%,589.81,57d 8m
GMT/BUSD,4,467.67%,501.03,56d 20h 4m
GMT/BUSD,5,328.65%,529.25,54d 22h 15m
GMT/BUSD,0,326.72%,631.59,81d 15h 54m
GMT/BUSD,1,312.81%,418.67,47d 21h 46m
GMT/BUSD,7,310.55%,10952.92,64d 14h 36m
GMT/BUSD,1,302.53%,1470.77,81d 23h 24m
GMT/BUSD,6,290.87%,1044.99,51d 23m
GMT/BUSD,0,240.01%,797.07,51d 11h 26m
GMT/BUSD,1,239.13%,452.80,51d 18h 6m
GMT/BUSD,0,237.84%,637.99,53d 16h 27m
GMT/BUSD,0,233.68%,459.85,53d 11h 5m
GMT/BUSD,0,223.29%,840.75,57d 17h 13m
GMT/BUSD,1,188.09%,326.12,45d 9h 9m
GMT/BUSD,0,173.64%,400.33,82d 8h 50m
GMT/BUSD,1,157.45%,692.86,43d 13h 8m
GMT/BUSD,0,144.63%,877.32,66d 8h 3m
ANC/USDT,43,131.83%,54.53,53d 15h 49m
GMT/BUSD,0,121.20%,319.48,71d 9h 9m
GMT/BUSD,0,114.76%,386.34,70d 48m
GMT/BUSD,0,108.93%,586.36,78d 16h 28m
GMT/BUSD,0,107.92%,570.20,81d 15h 57m
GMT/BUSD,0,99.99%,403.85,70d 5h 41m
GMT/BUSD,0,97.28%,273.36,73d 19h 33m
PEOPLE/USDT,2,95.15%,770.75,52d 18h 11m
ANC/BNB,6,94.78%,83.95,55d 16h 13m
GMT/BUSD,0,84.38%,412.12,72d 17h 7m
GMT/BUSD,0,84.36%,466.98,67d 13h 4m
UMA/BUSD,1,84.20%,247.83,60d 7h 38m
GMT/BUSD,1,81.77%,67.40,72d 5h 19m
GMT/BUSD,0,74.15%,1288.39,75d 7h 21m
TCT/BTC,3,70.02%,26.08,57d 16h 48m
TRX/BUSD,1,65.31%,304.08,93d 13h 23m
FORTH/BUSD,0,64.09%,74.27,42d 2h 53m
ASR/USDT,2,62.57%,42.67,48d 12h 28m
PEOPLE/USDT,1,60.35%,87.98,58d 14h 46m
GMT/BUSD,0,59.79%,1798.19,72d 12h 22m
TRX/BUSD,0,59.35%,1902.34,84d 4h 46m
FLM/BTC,3,59.14%,58.96,71d 20h 53m
GMT/BUSD,0,58.65%,125.62,73d 3h 11m
CVX/BUSD,0,56.52%,2187.78,24d 9h 58m
OG/USDT,3,56.49%,799.62,47d 10h 15m
GMT/BUSD,9,56.22%,119.05,22d 13h 17m
DYDX/USDT,1,55.55%,499.84,23d 14h 12m
KP3R/USDT,0,55.47%,61.78,58d 9h 18m
