cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1241,920.26%,8089.58,52d 18h 51m
GMT/BUSD,17,686.92%,668.68,62d 16h 27m
GMT/BUSD,8,586.95%,591.81,61d 3h 8m
GMT/BUSD,5,469.70%,503.21,60d 23h 4m
GMT/BUSD,5,330.92%,532.91,59d 1h 15m
GMT/BUSD,1,327.64%,633.36,85d 18h 54m
GMT/BUSD,1,314.90%,421.47,52d 46m
GMT/BUSD,7,311.72%,10993.97,68d 17h 36m
GMT/BUSD,1,303.44%,1475.19,86d 2h 24m
GMT/BUSD,6,293.34%,1053.86,55d 3h 23m
GMT/BUSD,0,242.43%,805.10,55d 14h 26m
GMT/BUSD,1,241.23%,456.78,55d 21h 6m
GMT/BUSD,0,240.29%,644.57,57d 20h 27m
GMT/BUSD,0,236.18%,464.76,57d 15h 5m
GMT/BUSD,0,225.85%,850.39,61d 21h 13m
GMT/BUSD,1,191.22%,331.54,49d 13h 9m
GMT/BUSD,0,174.62%,402.58,86d 12h 50m
GMT/BUSD,1,160.23%,705.10,47d 17h 8m
ANC/USDT,45,133.21%,55.10,57d 19h 49m
GMT/BUSD,0,122.21%,322.14,75d 13h 9m
GMT/BUSD,0,115.82%,389.89,74d 4h 48m
GMT/BUSD,0,110.00%,592.13,82d 20h 28m
GMT/BUSD,0,109.00%,575.87,85d 19h 57m
GMT/BUSD,0,101.05%,408.16,74d 9h 40m
GMT/BUSD,0,98.24%,276.05,77d 23h 33m
ANC/BNB,6,97.70%,88.55,59d 20h 13m
PEOPLE/USDT,3,89.53%,725.21,56d 22h 11m
UMA/BUSD,1,87.39%,257.23,64d 11h 38m
GMT/BUSD,0,85.46%,473.06,71d 17h 4m
GMT/BUSD,0,85.39%,417.05,76d 21h 7m
GMT/BUSD,1,82.71%,68.17,76d 9h 19m
TCT/BTC,4,78.88%,29.56,61d 20h 47m
FORTH/BUSD,0,75.64%,87.65,46d 6h 52m
GMT/BUSD,0,75.27%,1307.96,79d 11h 21m
MATIC/USDT,9,72.12%,485.96,25d 19h 22m
DYDX/USDT,1,70.51%,634.40,27d 18h 12m
CVX/BUSD,0,67.80%,2624.34,28d 13h 58m
TRX/BUSD,2,66.25%,308.43,97d 17h 23m
GMT/BUSD,9,62.29%,131.90,26d 17h 16m
KP3R/USDT,0,62.18%,69.26,62d 13h 18m
GMT/BUSD,0,60.74%,1826.79,76d 16h 22m
ASR/USDT,3,60.40%,41.19,52d 16h 27m
FLM/BTC,3,60.14%,60.32,76d 53m
TRX/BUSD,0,60.09%,1925.95,88d 8h 46m
GMT/BUSD,0,59.61%,127.67,77d 7h 11m
OG/USDT,3,59.27%,838.89,51d 14h 15m
GMT/BUSD,1,59.07%,79.08,26d 19h 36m
MATIC/USDT,0,58.75%,1053.92,30d 13h 32m
PEOPLE/USDT,1,58.36%,85.07,62d 18h 46m
FORTH/BUSD,0,58.25%,63.89,59d 15h 37m
UNI/BTC,0,57.27%,1066.04,48d 3h 14m
GMT/BUSD,0,56.44%,365.90,70d 16h 40m
GMT/BUSD,0,56.35%,25.64,26d 20h 37m
GMT/BUSD,1,56.14%,22.79,26d 21h 8m
GMT/BUSD,0,55.45%,49.86,26d 11h 23m
GMT/BUSD,3,55.33%,28.08,26d 12h 8m
GMT/BUSD,0,52.87%,83.96,49d 9h 52m
GMT/BUSD,0,52.75%,496.11,26d 20h 4m
GMT/BUSD,0,52.74%,306.20,29d 21h 31m
GMT/BUSD,0,52.56%,439.30,27d 12h 8m
AAVE/BUSD,7,52.49%,193.13,30d 5m
CTXC/USDT,2,52.35%,54.32,63d 10h 14m
PAXG/BTC,4,52.24%,173.42,71d 22h 4m
GMT/BUSD,0,51.86%,25.67,26d 22h 59m
RARE/BNB,1,50.14%,32.33,59d 5h 50m
ASR/USDT,0,49.42%,260.64,40d 13h 20m
MATIC/USDT,1,49.28%,288.00,14d 16h 52m
AR/BTC,0,49.21%,4.57,62d 5h 41m
DODO/BUSD,5,48.90%,83.35,51d 11h 17m
GTC/BUSD,0,47.49%,388.10,59d 10h 29m
COCOS/BNB,0,47.21%,181.75,47d 11h 36m
TROY/BUSD,0,46.98%,130.90,50d 18h 15m
PEOPLE/BTC,1,46.93%,938.92,64d 14h 42m
AAVE/USDT,1,46.35%,246.25,14d 18h 17m
GMT/BUSD,0,45.64%,18.78,26d 23h 27m
REQ/BTC,0,45.23%,22.00,52d 7h 47m
COCOS/USDT,1,45.16%,213.35,41d 16h 32m
GMT/BUSD,0,44.97%,18.16,27d 14h 15m
MATIC/USDT,0,44.38%,544.97,30d 14h 9m
UMA/USDT,2,43.67%,117.18,29d 23h 57m
AAVE/ETH,1,43.58%,317.43,63d 22h 38m
KP3R/USDT,3,43.56%,40.95,18d 13h 37m
GMT/USDT,2,43.44%,425.68,64d 22h 5m
BNB/ETH,9,43.18%,262.55,102d 23h 17m
GMT/BUSD,0,42.87%,18.43,25d 15h 47m
GMT/BUSD,1,42.40%,19.10,25d 16h 57m
SHIB/DOGE,0,42.36%,42.30,158d 13h 38m
KEY/USDT,0,42.31%,94.45,51d 11h 18m
ERN/BUSD,0,42.06%,151.89,31d 8h 12m
FLM/BTC,0,41.88%,33.49,77d 21h 51m
GMT/BUSD,0,41.73%,774.47,27d 11h 38m
LINK/USDT,0,41.63%,207.49,33d 3h 17m
GMT/BUSD,0,41.61%,18.27,27d 19h
GMT/BUSD,2,41.51%,26.38,25d 11h 47m
TRU/BTC,2,41.21%,37.99,19d 17h 14m
LINK/ETH,2,41.01%,181.70,64d 21h 34m
TRX/USDT,0,40.87%,743.21,86d 21h 12m
DUSK/BTC,0,40.45%,140.64,61d 7h 28m
THETA/USDT,0,39.91%,86.27,53d 9h 16m
TCT/USDT,0,39.86%,52.04,33d 20h 43m
GMT/BUSD,0,39.86%,125.31,78d 10h 10m
BEL/BUSD,1,39.57%,121.98,46d 23h 5m
BETA/ETH,0,39.38%,30.09,46d 13h 19m
UNI/BNB,1,39.27%,5064.64,50d 5h 18m
GMT/BUSD,0,38.83%,14.23,25d 14h 18m
ANC/USDT,2,38.72%,52.27,33d 2h 32m
JASMY/BTC,0,38.28%,87.39,89d 4h 48m
SOL/USDT,34,37.65%,44.97,29d 22h 33m
ENS/USDT,1,37.36%,67.25,62d 8h 16m
RARE/BUSD,0,36.68%,39.94,49d 7h 36m
THETA/BTC,3,36.39%,68.42,37d 10h 45m
AVAX/USDT,6,36.21%,324.96,29d 18h 44m
LINK/USDT,1,35.96%,46.65,63d 18h 27m
MATIC/BTC,0,35.56%,330.05,29d 10h 40m
SOL/BUSD,19,35.43%,656.79,32d 2h 24m
ETH/USDT,189,35.21%,36296.48,26d 9h 48m
OOKI/BUSD,0,35.17%,127.11,61d 18h 15m
TRX/BTC,1,35.16%,27.75,66d 17h 27m
LINK/USDT,0,35.14%,35.64,63d 20h 35m
SAND/USDT,1,35.07%,120.79,29d 20h 13m
MDX/BUSD,0,35.01%,126.33,31d 8h 13m
TRX/USDT,4,34.91%,160.84,78d 1h 30m
LAZIO/BUSD,2,34.74%,93.76,54d 2h 17m
GMT/BUSD,0,34.46%,61.91,28d 10h 45m
ANC/BTC,1,34.21%,31.75,34d 19h 33m
PAXG/BTC,1,34.05%,399.22,63d 3h 6m
CRV/USDT,0,34.05%,367.99,17d 6h 34m
SHIB/DOGE,0,33.82%,20.54,66d 17h 45m
TCT/BTC,0,33.68%,19.72,85d 15h 9m
HIGH/BTC,0,33.65%,62.77,44d 18h 19m
QI/BUSD,0,33.53%,53.69,32d 8h 40m
BNB/ETH,1,33.46%,228.03,185d 11h 17m
ATOM/BTC,0,33.41%,184.98,43d 7h 41m
GMT/BUSD,0,33.40%,90.01,30d 21h 17m
REQ/BTC,0,33.27%,36.24,26d 21h 7m
ENS/BUSD,1,33.23%,31.39,62d 22h 11m
CRV/BUSD,0,33.14%,955.51,28d 13h 49m
ANC/BUSD,1,33.09%,41.72,32d 8h 39m
DODO/BTC,0,32.71%,155.73,55d 17h 18m
AAVE/ETH,0,32.58%,125.68,52d 4h 48m
CTK/USDT,0,32.58%,234.45,42d 10h 57m
KP3R/USDT,0,32.44%,56.83,54d 18h 53m
ADA/USDT,10,32.27%,624.66,64d 22m
EGLD/USDT,6,32.26%,197.39,32d 15h 18m
AAVE/USDT,0,32.14%,578.61,14d 21h 56m
PSG/BTC,1,32.11%,125.46,56d 21h 39m
DEGO/USDT,0,31.97%,52.93,32d 12h 9m
DEGO/BTC,0,31.92%,166.20,26d 8h 37m
SOL/BTC,3,31.78%,3.44,37d 23h 18m
