cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1159,915.33%,8046.27,50d 18h 51m
GMT/BUSD,16,683.02%,664.88,60d 16h 27m
GMT/BUSD,8,582.33%,587.15,59d 3h 8m
GMT/BUSD,5,464.97%,498.14,58d 23h 3m
GMT/BUSD,5,325.62%,524.38,57d 1h 15m
GMT/BUSD,1,325.50%,629.22,83d 18h 54m
GMT/BUSD,1,310.02%,414.94,50d 46m
GMT/BUSD,7,309.00%,10898.23,66d 17h 36m
GMT/BUSD,1,301.32%,1464.88,84d 2h 24m
GMT/BUSD,6,287.88%,1034.25,53d 3h 23m
GMT/BUSD,0,236.87%,786.61,53d 14h 26m
GMT/BUSD,1,236.33%,447.50,53d 21h 6m
GMT/BUSD,0,235.07%,630.55,55d 19h 27m
GMT/BUSD,0,230.86%,454.29,55d 14h 5m
GMT/BUSD,0,220.39%,829.84,59d 20h 13m
GMT/BUSD,1,184.56%,319.99,47d 12h 9m
GMT/BUSD,0,172.54%,397.77,84d 11h 50m
GMT/BUSD,1,155.21%,682.99,45d 16h 8m
GMT/BUSD,0,143.14%,868.28,68d 11h 3m
ANC/USDT,43,129.70%,53.65,55d 18h 49m
GMT/BUSD,0,120.06%,316.48,73d 12h 9m
GMT/BUSD,0,113.57%,382.33,72d 3h 48m
GMT/BUSD,0,107.72%,579.84,80d 19h 28m
GMT/BUSD,0,106.71%,563.78,83d 18h 57m
GMT/BUSD,0,98.78%,398.97,72d 8h 40m
ANC/BNB,6,98.51%,83.72,57d 19h 13m
GMT/BUSD,0,96.19%,270.31,75d 22h 33m
PEOPLE/USDT,2,88.23%,714.66,54d 21h 10m
GMT/BUSD,0,83.24%,406.55,74d 20h 7m
GMT/BUSD,0,83.12%,460.10,69d 16h 4m
UMA/BUSD,1,83.06%,244.48,62d 10h 38m
GMT/BUSD,1,80.71%,66.53,74d 8h 19m
FORTH/BUSD,0,73.83%,85.55,44d 5h 52m
GMT/BUSD,0,72.87%,1266.26,77d 10h 21m
TCT/BTC,3,66.79%,23.59,59d 19h 47m
TRX/BUSD,1,64.08%,298.34,95d 16h 23m
FLM/BTC,3,59.33%,56.09,73d 23h 53m
GMT/BUSD,0,58.71%,1765.83,74d 15h 22m
ASR/USDT,2,58.13%,39.64,50d 15h 27m
TRX/BUSD,0,57.98%,1858.47,86d 7h 46m
GMT/BUSD,0,57.57%,123.30,75d 6h 11m
FORTH/BUSD,0,57.43%,62.99,57d 14h 37m
OG/USDT,3,56.18%,795.24,49d 13h 15m
PEOPLE/USDT,1,55.99%,81.62,60d 17h 46m
PAXG/BTC,4,55.53%,173.79,69d 21h 4m
GMT/BUSD,0,54.14%,351.02,68d 15h 40m
KP3R/USDT,0,52.58%,58.56,60d 12h 18m
CVX/BUSD,0,50.95%,1972.17,26d 12h 58m
LINK/ETH,2,49.44%,190.72,62d 20h 34m
GMT/BUSD,9,49.36%,104.51,24d 16h 16m
DYDX/USDT,1,48.85%,439.52,25d 17h 12m
GMT/BUSD,0,48.54%,77.07,47d 8h 52m
BNB/ETH,9,48.50%,256.81,100d 22h 17m
PEOPLE/BTC,1,46.96%,885.51,62d 13h 42m
RARE/BNB,1,46.93%,28.38,57d 4h 50m
GMT/BUSD,0,46.84%,440.53,24d 19h 4m
MATIC/USDT,9,46.62%,314.16,23d 18h 22m
GMT/BUSD,1,46.53%,62.29,24d 18h 36m
COCOS/BNB,0,46.40%,167.51,45d 10h 36m
ASR/USDT,0,46.37%,244.58,38d 12h 20m
REQ/BTC,0,46.13%,21.16,50d 6h 47m
CTXC/USDT,2,46.11%,47.85,61d 9h 14m
GMT/BUSD,0,44.73%,20.36,24d 19h 37m
GMT/BUSD,1,44.67%,18.14,24d 20h 8m
UNI/BTC,0,43.88%,769.98,46d 2h 14m
GMT/BUSD,3,43.69%,22.17,24d 11h 8m
GMT/BUSD,0,43.38%,39.00,24d 10h 23m
AAVE/ETH,1,43.29%,274.60,61d 21h 38m
GMT/BUSD,0,43.08%,250.14,27d 20h 31m
GTC/BUSD,0,42.66%,348.63,57d 9h 29m
COCOS/USDT,0,42.34%,199.99,39d 15h 31m
SHIB/DOGE,0,40.97%,39.49,156d 12h 38m
FLM/BTC,0,40.78%,30.74,75d 20h 51m
GMT/BUSD,0,40.52%,20.06,24d 21h 59m
KEY/USDT,0,40.34%,90.04,49d 10h 18m
GMT/BUSD,0,40.24%,336.33,25d 11h 8m
UMA/USDT,1,40.10%,107.59,27d 22h 57m
TROY/BUSD,0,39.91%,111.21,48d 17h 14m
DUSK/BTC,0,39.40%,129.15,59d 6h 28m
TRU/BTC,2,38.78%,33.70,17d 16h 14m
JASMY/BTC,0,38.48%,82.81,87d 3h 48m
BNB/ETH,1,38.38%,227.78,183d 10h 17m
PAXG/BTC,1,38.35%,423.77,61d 2h 6m
TRX/USDT,0,38.34%,697.16,84d 20h 12m
GMT/BUSD,0,37.85%,119.00,76d 9h 10m
LINK/USDT,0,37.81%,188.42,31d 2h 17m
BETA/ETH,0,37.78%,25.14,44d 12h 19m
BEL/BUSD,1,37.42%,115.34,44d 22h 5m
GMT/USDT,2,36.92%,361.79,62d 21h 5m
THETA/BTC,3,36.79%,65.19,35d 9h 45m
GMT/BUSD,0,36.33%,674.29,25d 10h 38m
CTK/USDT,0,36.11%,194.96,57d 1h 59m
TRX/BTC,1,35.58%,26.46,64d 16h 27m
PAXG/BNB,0,35.41%,708.59,48d 16h 44m
DODO/BUSD,5,35.27%,60.11,49d 10h 17m
BNB/ETH,0,35.12%,151.66,182d 9h 6m
ANC/USDT,2,35.07%,47.35,31d 1h 32m
THETA/USDT,0,35.04%,75.75,51d 8h 16m
GMT/BUSD,0,35.01%,14.41,24d 22h 27m
GMT/BUSD,0,34.41%,13.89,25d 13h 15m
ERN/BUSD,0,34.01%,122.82,29d 7h 12m
BNB/ETH,0,33.47%,242.41,152d 3h 27m
LINK/USDT,1,33.32%,43.22,61d 17h 27m
SHIB/DOGE,0,33.27%,19.51,64d 16h 45m
ANC/BTC,1,33.21%,29.05,32d 18h 33m
TRX/USDT,4,33.00%,152.05,76d 30m
PSG/BTC,1,32.96%,121.40,54d 20h 39m
REQ/BTC,0,32.89%,33.76,24d 20h 7m
AAVE/BUSD,6,32.81%,120.74,27d 23h 5m
MDX/BUSD,0,32.71%,118.03,29d 7h 13m
BNB/ETH,1,32.70%,186.21,63d 11h 18m
DODO/BTC,0,32.65%,146.50,53d 16h 18m
LINK/USDT,0,32.57%,33.03,61d 19h 35m
GMT/BUSD,0,32.41%,13.94,23d 14h 47m
GMT/BUSD,0,32.11%,57.69,26d 9h 45m
GMT/BUSD,1,31.92%,14.38,23d 15h 57m
BNB/ETH,0,31.81%,182.65,59d 17h 21m
SOL/ETH,2,31.77%,136.71,38d 9h 45m
SAND/USDT,1,31.76%,109.38,27d 19h 13m
TRX/BTC,0,31.64%,237.92,62d 14h 1m
TRU/BTC,0,31.30%,12.29,17d 7h 42m
GMT/BUSD,0,31.23%,13.71,25d 18h
LAZIO/BUSD,2,31.17%,84.13,52d 1h 17m
SOL/USDT,31,31.14%,37.19,27d 21h 33m
TCT/BTC,0,30.82%,17.01,83d 14h 9m
