cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1245,921.41%,8099.67,52d 22h 51m
GMT/BUSD,17,687.83%,669.57,62d 20h 27m
GMT/BUSD,8,588.02%,592.89,61d 7h 8m
GMT/BUSD,5,470.80%,504.39,61d 3h 3m
GMT/BUSD,5,332.16%,534.90,59d 5h 15m
GMT/BUSD,1,328.13%,634.33,85d 22h 54m
GMT/BUSD,1,316.04%,422.99,52d 4h 46m
GMT/BUSD,7,312.35%,11016.28,68d 21h 36m
GMT/BUSD,1,303.93%,1477.60,86d 6h 24m
GMT/BUSD,6,294.56%,1058.25,55d 7h 23m
GMT/BUSD,0,243.66%,809.18,55d 18h 26m
GMT/BUSD,1,242.37%,458.94,56d 1h 6m
GMT/BUSD,0,241.05%,646.61,57d 23h 27m
GMT/BUSD,0,236.96%,466.29,57d 18h 5m
GMT/BUSD,0,226.64%,853.39,62d 13m
GMT/BUSD,1,192.19%,333.23,49d 16h 9m
GMT/BUSD,0,174.93%,403.28,86d 15h 50m
GMT/BUSD,1,160.87%,707.93,47d 20h 8m
ANC/USDT,46,129.80%,53.69,57d 22h 49m
GMT/BUSD,0,122.52%,322.97,75d 16h 9m
GMT/BUSD,0,116.14%,390.99,74d 7h 48m
GMT/BUSD,0,110.33%,593.92,82d 23h 28m
GMT/BUSD,0,109.33%,577.64,85d 22h 57m
GMT/BUSD,0,101.38%,409.50,74d 12h 40m
GMT/BUSD,0,98.53%,276.89,78d 2h 33m
ANC/BNB,6,95.79%,86.85,59d 23h 13m
PEOPLE/USDT,3,89.97%,728.76,57d 1h 10m
UMA/BUSD,1,87.59%,257.83,64d 14h 38m
GMT/BUSD,0,85.80%,474.95,71d 20h 4m
GMT/BUSD,0,85.70%,418.58,77d 7m
GMT/BUSD,1,83.00%,68.41,76d 12h 19m
TCT/BTC,4,81.42%,30.82,61d 23h 47m
FORTH/BUSD,0,76.28%,88.39,46d 9h 52m
GMT/BUSD,0,75.62%,1314.04,79d 14h 21m
MATIC/USDT,9,72.62%,489.33,25d 22h 22m
CVX/BUSD,0,72.01%,2787.24,28d 16h 58m
DYDX/USDT,1,69.42%,624.61,27d 21h 12m
TRX/BUSD,2,66.19%,308.14,97d 20h 23m
GMT/BUSD,10,64.18%,135.89,26d 20h 16m
KP3R/USDT,1,61.71%,68.73,62d 16h 18m
GMT/BUSD,0,61.03%,1835.68,76d 19h 22m
GMT/BUSD,1,60.90%,81.53,26d 22h 36m
ASR/USDT,3,60.82%,41.48,52d 19h 27m
FLM/BTC,4,60.07%,60.84,76d 3h 53m
TRX/BUSD,0,60.03%,1924.04,88d 11h 46m
GMT/BUSD,0,59.91%,128.31,77d 10h 11m
OG/USDT,3,59.88%,847.60,51d 17h 15m
MATIC/USDT,0,59.48%,1067.00,30d 16h 32m
FORTH/BUSD,0,59.23%,64.96,59d 18h 37m
PEOPLE/USDT,1,58.69%,85.56,62d 21h 46m
GMT/BUSD,0,58.05%,26.42,26d 23h 37m
GMT/BUSD,1,57.81%,23.47,27d 8m
GMT/BUSD,0,57.21%,51.44,26d 14h 23m
GMT/BUSD,3,57.03%,28.94,26d 15h 8m
GMT/BUSD,0,56.77%,368.07,70d 19h 40m
UNI/BTC,0,56.53%,1062.81,48d 6h 14m
GMT/BUSD,0,54.35%,454.31,27d 15h 8m
GMT/BUSD,0,54.15%,314.38,30d 31m
GMT/BUSD,0,53.51%,26.49,27d 1h 59m
GMT/BUSD,0,53.38%,84.75,49d 12h 52m
GMT/BUSD,0,53.35%,501.78,26d 23h 4m
CTXC/USDT,2,53.22%,55.23,63d 13h 14m
AAVE/BUSD,7,52.32%,192.52,30d 3h 5m
PAXG/BTC,4,51.38%,172.26,72d 1h 4m
RARE/BNB,1,50.38%,32.50,59d 8h 50m
MATIC/USDT,1,50.01%,292.22,14d 19h 52m
ASR/USDT,0,49.98%,263.57,40d 16h 20m
GTC/BUSD,0,49.48%,404.41,59d 13h 29m
DODO/BUSD,5,49.10%,83.69,51d 14h 17m
TROY/BUSD,0,47.50%,132.37,50d 21h 15m
COCOS/BNB,0,47.34%,182.30,47d 14h 36m
GMT/BUSD,0,47.19%,19.42,27d 2h 27m
PEOPLE/BTC,1,46.93%,948.21,64d 17h 42m
AR/BTC,0,46.57%,4.36,62d 8h 41m
GMT/BUSD,0,46.51%,18.78,27d 17h 15m
AAVE/USDT,1,46.08%,244.81,14d 21h 17m
REQ/BTC,0,45.23%,22.22,52d 10h 47m
COCOS/USDT,1,45.20%,213.53,41d 19h 31m
KP3R/USDT,3,44.73%,42.04,18d 16h 37m
MATIC/USDT,0,44.72%,549.25,30d 17h 9m
GMT/BUSD,0,44.40%,19.09,25d 18h 47m
GMT/USDT,2,44.19%,432.99,65d 1h 5m
GMT/BUSD,1,43.92%,19.79,25d 19h 57m
UMA/USDT,2,43.62%,117.06,30d 2h 57m
AAVE/ETH,1,43.58%,317.00,64d 1h 38m
BNB/ETH,9,43.30%,262.98,103d 2h 17m
GMT/BUSD,0,43.12%,18.94,27d 22h
GMT/BUSD,2,43.07%,27.38,25d 14h 46m
GMT/BUSD,0,42.34%,785.79,27d 14h 38m
ERN/BUSD,0,42.30%,152.74,31d 11h 12m
KEY/USDT,0,42.18%,94.16,51d 14h 18m
SHIB/DOGE,0,42.11%,42.77,158d 16h 38m
LINK/USDT,0,42.01%,209.35,33d 6h 17m
FLM/BTC,0,41.78%,33.74,78d 51m
TCT/USDT,1,41.63%,54.35,33d 23h 43m
LINK/ETH,2,41.62%,184.16,65d 34m
TRU/BTC,2,41.21%,38.37,19d 20h 14m
TRX/USDT,0,40.80%,741.80,87d 12m
DUSK/BTC,0,40.55%,142.41,61d 10h 28m
GMT/BUSD,0,40.28%,14.76,25d 17h 18m
THETA/USDT,0,40.24%,86.98,53d 12h 16m
GMT/BUSD,0,40.15%,126.22,78d 13h 10m
BEL/BUSD,1,39.98%,123.24,47d 2h 5m
BETA/ETH,0,39.28%,29.97,46d 16h 19m
UNI/BNB,1,39.23%,5061.45,50d 8h 18m
SOL/USDT,34,38.36%,45.81,30d 1h 33m
JASMY/BTC,0,38.03%,87.69,89d 7h 48m
ENS/USDT,1,37.81%,68.06,62d 11h 16m
RARE/BUSD,0,37.63%,40.97,49d 10h 36m
ANC/USDT,2,37.45%,50.55,33d 5h 32m
AVAX/USDT,6,36.26%,325.47,29d 21h 44m
LINK/USDT,1,36.22%,46.99,63d 21h 27m
SOL/BUSD,19,36.19%,670.78,32d 5h 24m
OOKI/BUSD,0,36.04%,130.26,61d 21h 15m
THETA/BTC,3,35.61%,67.61,37d 13h 45m
HIGH/BTC,0,35.47%,66.84,44d 21h 19m
LINK/USDT,0,35.42%,35.91,63d 23h 35m
MATIC/BTC,0,35.34%,331.30,29d 13h 40m
SAND/USDT,1,35.29%,121.54,29d 23h 13m
ETH/USDT,190,35.08%,36161.57,26d 12h 48m
MDX/BUSD,0,35.06%,126.49,31d 11h 13m
LAZIO/BUSD,2,34.95%,94.33,54d 5h 17m
TRX/BTC,1,34.88%,27.80,66d 20h 27m
TRX/USDT,4,34.85%,160.56,78d 4h 30m
GMT/BUSD,0,34.74%,62.40,28d 13h 45m
GMT/BUSD,0,34.42%,92.76,31d 17m
FIRO/USDT,0,33.90%,302.46,22h 7m
ENS/BUSD,1,33.89%,32.02,63d 1h 11m
CRV/USDT,0,33.89%,366.25,17d 9h 34m
TCT/BTC,0,33.83%,20.00,85d 18h 9m
SHIB/DOGE,0,33.73%,20.84,66d 20h 45m
BNB/ETH,1,33.58%,228.53,185d 14h 17m
QI/BUSD,0,33.53%,53.69,32d 11h 40m
REQ/BTC,0,33.33%,36.66,27d 7m
ANC/BTC,1,33.26%,31.17,34d 22h 33m
PAXG/BTC,1,33.14%,392.42,63d 6h 6m
ATOM/BTC,0,33.13%,185.22,43d 10h 41m
CRV/BUSD,0,33.11%,954.67,28d 16h 49m
SOL/BTC,3,32.91%,3.60,38d 2h 18m
DODO/BTC,0,32.71%,157.25,55d 20h 18m
AAVE/ETH,0,32.53%,125.34,52d 7h 48m
CTK/USDT,0,32.51%,233.95,42d 13h 57m
EGLD/USDT,6,32.21%,197.10,32d 18h 18m
ADA/USDT,10,32.01%,619.60,64d 3h 22m
AAVE/USDT,0,31.99%,575.94,15d 56m
SOL/ETH,2,31.97%,157.77,40d 13h 45m
DEGO/USDT,0,31.52%,52.18,32d 15h 9m
ATOM/USDT,0,31.46%,565.58,31d 23h 35m
GMT/BUSD,0,31.43%,228.89,78d 3h 32m
DEGO/BTC,0,31.35%,164.83,26d 11h 37m
UNI/USDT,0,31.32%,25.64,61d 8h 40m
PSG/BTC,1,31.25%,123.32,57d 39m
PAXG/BNB,0,31.08%,663.57,50d 20h 44m
KP3R/USDT,0,30.92%,54.17,54d 21h 53m
ANC/BUSD,1,30.91%,38.97,32d 11h 39m
APE/BUSD,3,30.84%,307.22,27d 6h 16m
SOL/BUSD,2,30.83%,956.29,26d 22h 59m
MATIC/USDT,1,30.74%,170.44,25d 15h 10m
FIRO/BTC,0,30.45%,267.92,18h 36m
BNB/ETH,0,30.41%,150.61,184d 13h 6m
TRX/BUSD,0,30.41%,1043.03,81d 7h 12m
MATIC/BUSD,0,30.24%,5604.35,14d 18h 7m
TRU/USDT,4,29.68%,96.18,7d 18h 29m
OG/USDT,0,29.66%,34.58,35d 21h 33m
DOGE/BTC,0,29.60%,94.14,103d 16h 51m
TRX/BTC,0,29.57%,138.41,68d 15m
UNI/BUSD,2,29.50%,105.95,62d 18h 15m
FORTH/USDT,1,29.44%,145.76,55d 17h 52m
SOL/USDT,1,29.33%,104.78,32d 1h 3m
BNB/ETH,1,29.03%,189.63,65d 15h 18m
IMX/BTC,0,28.97%,95.38,53d 23h 8m
THETA/BUSD,4,28.91%,94.93,37d 19h 19m
BNB/ETH,0,28.88%,190.22,61d 21h 21m
TRX/USDT,0,28.86%,134.39,81d 1h 44m
BNB/ETH,0,28.83%,239.50,154d 7h 27m
WAVES/BTC,2,28.62%,49.24,64d 23h 54m
GMT/BUSD,0,28.60%,585.71,53d 21h 40m
ROSE/BTC,0,28.52%,53.33,63d 12h 47m
DUSK/BTC,0,28.47%,1074.19,32d 21h 33m
ANC/BUSD,2,28.15%,26.41,53d 9h 40m
UNI/USDT,0,28.14%,41.55,36d 11h 25m
SHIB/DOGE,0,28.09%,1917.78,65d 1h 16m
GMT/BTC,0,28.09%,18.00,56d 18h 56m
RARE/BTC,0,28.04%,64.00,51d 10h 43m
XMR/USDT,1,27.89%,959.60,30d 36m
TRX/BTC,0,27.63%,222.64,64d 18h 1m
SHIB/DOGE,0,27.63%,15.93,99d 14h 52m
AAVE/BUSD,0,27.60%,74.25,32d 23h 23m
SHIB/USDT,2,27.43%,223.45,34d 17h 54m
OOKI/BUSD,0,27.37%,61.65,30d 15h 4m
UMA/BTC,0,27.31%,312.97,29d 22h 36m
MATIC/BUSD,0,27.28%,51.41,14d 13h 45m
ICP/USDT,0,27.22%,2452.86,33d 11h 11m
MATIC/BUSD,0,27.13%,90.17,63d 14h 48m
SHIB/DOGE,0,26.93%,392.63,65d 8h 54m
FARM/BTC,2,26.90%,31.62,15d 5h 44m
TCT/BTC,0,26.82%,645.60,20d 13h 30m
SOL/BUSD,0,26.80%,79.83,33d 1h 54m
QI/BTC,0,26.44%,602.70,19d 9h 59m
SHIB/DOGE,0,26.18%,32.54,165d 23h 7m
DOGE/BTC,3,26.17%,13.86,108d 15h 16m
SHIB/DOGE,0,26.00%,24.48,165d 6h 31m
FORTH/USDT,0,25.98%,15605.25,59d 5h 26m
SLP/USDT,2,25.95%,27.60,32d 7h 16m
KEY/USDT,0,25.93%,46.68,42d 10h 54m
BEL/BNB,0,25.86%,47.01,46d 16h 31m
MATIC/BUSD,0,25.85%,230.14,55d 19h 24m
DATA/USDT,0,25.80%,87.66,17d 1h 18m
SOL/BUSD,0,25.61%,233.44,31d 23h 26m
SHIB/BUSD,0,25.54%,86.27,49d 3h 39m
SAND/BUSD,0,25.47%,60.93,64d 7h 33m
KP3R/USDT,0,25.43%,90.12,56d 19h 2m
JUV/USDT,0,25.39%,76.98,26d 12h 31m
TRX/BTC,1,25.38%,476.67,61d 17h 37m
RARE/BTC,0,25.32%,124.22,15d 14h 28m
ADA/BTC,0,25.32%,128.94,72d 9h 42m
FARM/USDT,0,25.31%,517.17,61d 15h 13m
GMT/BUSD,0,25.26%,11.30,25d 12h 6m
TROY/USDT,0,24.99%,73.05,54d 21h 53m
CHZ/BNB,1,24.99%,466.61,65d 16h 19m
AAVE/BTC,0,24.97%,60.53,58d 11h 46m
VOXEL/BUSD,0,24.95%,91.58,31d 21h 4m
ANT/USDT,0,24.91%,30.31,54d 13h 39m
TRX/BTC,0,24.90%,23.08,69d 20h 14m
UNI/USDT,0,24.74%,111.29,45d 6h 51m
SHIB/DOGE,0,24.68%,10.63,64d 6h 34m
ETH/USDT,2,24.55%,43.88,29d 19h 36m
CTXC/USDT,0,24.54%,210.45,14d 22h 45m
ADA/BTC,1,24.53%,459.99,63d 21h 11m
GMT/BUSD,0,24.51%,557.72,76d 15h 6m
AVAX/ETH,0,24.37%,178.65,50d 13h 58m
MATIC/BUSD,0,24.37%,69.56,32d 17h 24m
THETA/BUSD,0,24.35%,56.79,37d 17h 11m
MDT/BTC,0,24.28%,10.59,65d 19h 19m
LAZIO/BUSD,2,24.21%,15.43,56d 22h 10m
DATA/BTC,0,24.18%,86.71,21d 23h 26m
ADA/BTC,0,24.18%,28.03,72d 17h 47m
ATOM/USDT,0,24.00%,107.71,32d 12h 59m
DEGO/BUSD,0,23.97%,115.18,10d 1h 10m
UNI/BUSD,0,23.94%,1120.33,52d 7h 32m
AAVE/BUSD,0,23.84%,33.49,24d 13h 7m
TRX/BTC,0,23.79%,57.12,74d 11m
ADA/BTC,1,23.75%,97.12,76d 21h 25m
UNI/BUSD,1,23.60%,113.25,13d 51m
ATOM/BTC,0,23.53%,65.61,48d 17h 17m
KEY/USDT,0,23.53%,21.18,33d 14h 20m
KEY/ETH,0,23.53%,100.47,33d 22h 7m
AAVE/BTC,0,23.47%,1764.70,22d 5h 46m
SHIB/DOGE,0,23.43%,13.43,55d 15h 50m
MATIC/BUSD,0,23.25%,217.90,57d 20h 28m
GMT/BUSD,0,23.22%,13.18,24d 11h 6m
ARPA/USDT,2,23.21%,14.64,43d 17h 53m
ATOM/USDT,0,23.18%,87.46,40d 10h 7m
BNB/ETH,0,23.16%,17.70,169d 8h 35m
