cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1250,920.87%,8094.98,53d 1h 51m
GMT/BUSD,17,687.41%,669.15,62d 23h 27m
GMT/BUSD,8,587.52%,592.39,61d 10h 8m
GMT/BUSD,5,470.29%,503.84,61d 6h 3m
GMT/BUSD,5,331.58%,533.98,59d 8h 15m
GMT/BUSD,1,327.90%,633.88,86d 1h 54m
GMT/BUSD,1,315.51%,422.29,52d 7h 46m
GMT/BUSD,7,312.06%,11005.93,69d 36m
GMT/BUSD,1,303.70%,1476.48,86d 9h 24m
GMT/BUSD,6,293.99%,1056.21,55d 10h 23m
GMT/BUSD,0,243.09%,807.29,55d 21h 26m
GMT/BUSD,1,241.84%,457.94,56d 4h 6m
GMT/BUSD,0,240.53%,645.21,58d 2h 27m
GMT/BUSD,0,236.42%,465.24,57d 21h 5m
GMT/BUSD,0,226.09%,851.32,62d 3h 13m
GMT/BUSD,1,191.52%,332.07,49d 19h 9m
GMT/BUSD,0,174.72%,402.80,86d 18h 49m
GMT/BUSD,1,160.43%,705.98,47d 23h 8m
ANC/USDT,46,130.20%,53.86,58d 1h 49m
GMT/BUSD,0,122.30%,322.40,75d 19h 8m
GMT/BUSD,0,115.92%,390.23,74d 10h 48m
GMT/BUSD,0,110.10%,592.68,83d 2h 28m
GMT/BUSD,0,109.10%,576.42,86d 1h 57m
GMT/BUSD,0,101.16%,408.58,74d 15h 40m
GMT/BUSD,0,98.33%,276.31,78d 5h 33m
ANC/BNB,6,95.36%,86.06,60d 2h 13m
PEOPLE/USDT,3,88.94%,720.45,57d 4h 10m
UMA/BUSD,1,87.14%,256.50,64d 17h 38m
GMT/BUSD,0,85.56%,473.64,71d 23h 3m
GMT/BUSD,0,85.49%,417.52,77d 3h 7m
GMT/BUSD,1,82.80%,68.25,76d 15h 18m
TCT/BTC,4,77.61%,29.24,62d 2h 47m
FORTH/BUSD,0,76.60%,88.76,46d 12h 52m
GMT/BUSD,0,75.38%,1309.85,79d 17h 21m
MATIC/USDT,9,70.87%,477.53,26d 1h 22m
CVX/BUSD,0,70.67%,2735.62,28d 19h 58m
DYDX/USDT,1,69.42%,624.61,28d 12m
TRX/BUSD,2,66.15%,307.96,97d 23h 23m
ASR/USDT,3,64.39%,43.91,52d 22h 27m
GMT/BUSD,10,62.88%,133.14,26d 23h 16m
OG/USDT,3,62.10%,879.04,51d 20h 15m
GMT/BUSD,0,60.83%,1829.56,76d 22h 22m
KP3R/USDT,1,60.58%,67.48,62d 19h 17m
TRX/BUSD,0,59.99%,1922.92,88d 14h 46m
FLM/BTC,4,59.96%,60.46,76d 6h 52m
FORTH/BUSD,0,59.72%,65.50,59d 21h 37m
GMT/BUSD,0,59.70%,127.87,77d 13h 11m
GMT/BUSD,1,59.64%,79.84,27d 1h 36m
PEOPLE/USDT,1,58.00%,84.55,63d 46m
ASR/USDT,0,57.82%,304.95,40d 19h 20m
MATIC/USDT,0,57.28%,1027.65,30d 19h 32m
GMT/BUSD,0,56.88%,25.88,27d 2h 37m
GMT/BUSD,1,56.66%,23.00,27d 3h 8m
GMT/BUSD,0,56.54%,366.58,70d 22h 40m
GMT/BUSD,0,56.00%,50.35,26d 17h 23m
GMT/BUSD,3,55.86%,28.34,26d 18h 8m
UNI/BTC,0,55.80%,1044.37,48d 9h 14m
CTXC/USDT,2,54.59%,56.66,63d 16h 14m
GMT/BUSD,0,53.18%,308.74,30d 3h 31m
GMT/BUSD,0,53.12%,443.97,27d 18h 7m
GMT/BUSD,0,53.03%,84.20,49d 15h 52m
GMT/BUSD,0,52.98%,498.28,27d 2h 3m
GMT/BUSD,0,52.37%,25.93,27d 4h 59m
AAVE/BUSD,7,51.94%,191.10,30d 6h 5m
PAXG/BTC,4,51.67%,172.48,72d 4h 4m
RARE/BNB,1,50.23%,32.26,59d 11h 50m
GTC/BUSD,0,49.42%,403.92,59d 16h 29m
AR/BTC,0,49.25%,4.59,62d 11h 41m
MATIC/USDT,1,47.84%,279.58,14d 22h 51m
TROY/BUSD,0,47.50%,132.36,51d 14m
DODO/BUSD,5,47.47%,80.91,51d 17h 17m
COCOS/BNB,0,47.25%,181.14,47d 17h 36m
PEOPLE/BTC,1,46.93%,943.92,64d 20h 42m
GMT/BUSD,0,46.13%,18.98,27d 5h 27m
GMT/BUSD,0,45.45%,18.35,27d 20h 15m
AAVE/USDT,1,45.35%,240.94,15d 17m
COCOS/USDT,1,45.19%,213.45,41d 22h 31m
REQ/BTC,0,45.12%,22.07,52d 13h 47m
GMT/USDT,2,43.68%,428.09,65d 4h 5m
MATIC/USDT,0,43.65%,536.01,30d 20h 9m
UMA/USDT,2,43.58%,116.94,30d 5h 57m
AAVE/ETH,1,43.55%,318.25,64d 4h 38m
SHIB/DOGE,0,43.11%,43.47,158d 19h 38m
KP3R/USDT,3,42.93%,40.36,18d 19h 37m
GMT/BUSD,1,42.87%,19.31,25d 22h 57m
BNB/ETH,9,42.56%,259.62,103d 5h 17m
KEY/USDT,0,42.21%,94.22,51d 17h 18m
GMT/BUSD,0,42.08%,18.48,28d 1h
ERN/BUSD,0,42.00%,151.67,31d 14h 12m
GMT/BUSD,2,41.99%,26.69,25d 17h 46m
GMT/BUSD,0,41.92%,777.99,27d 17h 38m
FLM/BTC,0,41.63%,33.47,78d 3h 51m
LINK/USDT,0,41.16%,205.12,33d 9h 17m
TRU/BTC,2,41.13%,38.12,19d 23h 14m
DUSK/BTC,0,40.94%,143.14,61d 13h 28m
TRX/USDT,0,40.76%,741.21,87d 3h 12m
TCT/USDT,1,40.22%,52.51,34d 2h 43m
GMT/BUSD,0,39.95%,125.59,78d 16h 10m
LINK/ETH,2,39.87%,177.23,65d 3h 34m
BEL/BUSD,1,39.81%,122.70,47d 5h 5m
THETA/USDT,0,39.45%,85.28,53d 15h 16m
GMT/BUSD,0,39.28%,14.39,25d 20h 18m
LAZIO/BUSD,2,39.27%,105.99,54d 8h 17m
BETA/ETH,0,39.01%,29.90,46d 19h 18m
