cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1270,918.67%,8075.66,53d 15h 51m
GMT/BUSD,17,685.67%,667.46,63d 13h 27m
GMT/BUSD,8,585.46%,590.31,62d 8m
GMT/BUSD,5,468.18%,501.58,61d 20h 3m
GMT/BUSD,5,329.22%,530.17,59d 22h 15m
GMT/BUSD,1,326.95%,632.03,86d 15h 54m
GMT/BUSD,1,313.33%,419.37,52d 21h 46m
GMT/BUSD,7,310.85%,10963.22,69d 14h 36m
GMT/BUSD,1,302.76%,1471.88,86d 23h 24m
GMT/BUSD,6,291.65%,1047.80,56d 23m
GMT/BUSD,0,240.74%,799.48,56d 11h 26m
GMT/BUSD,1,239.65%,453.80,56d 18h 6m
GMT/BUSD,0,238.36%,639.40,58d 16h 27m
GMT/BUSD,0,234.22%,460.90,58d 11h 5m
GMT/BUSD,0,223.83%,842.80,62d 17h 13m
GMT/BUSD,1,188.76%,327.28,50d 9h 9m
GMT/BUSD,0,173.85%,400.81,87d 8h 50m
GMT/BUSD,1,158.60%,697.93,48d 13h 8m
ANC/USDT,46,130.77%,54.09,58d 15h 49m
GMT/BUSD,0,121.41%,320.05,76d 9h 9m
GMT/BUSD,0,114.99%,387.10,75d 48m
GMT/BUSD,0,109.16%,587.59,83d 16h 28m
GMT/BUSD,0,108.15%,571.41,86d 15h 57m
GMT/BUSD,0,100.21%,404.77,75d 5h 40m
GMT/BUSD,0,97.48%,273.93,78d 19h 33m
ANC/BNB,6,96.17%,87.08,60d 16h 13m
UMA/BUSD,1,87.23%,256.77,65d 7h 38m
PEOPLE/USDT,3,87.10%,705.50,57d 18h 10m
GMT/BUSD,0,84.60%,413.17,77d 17h 7m
GMT/BUSD,0,84.59%,468.27,72d 13h 4m
GMT/BUSD,1,81.97%,67.57,77d 5h 19m
TCT/BTC,4,78.39%,29.46,62d 16h 47m
FORTH/BUSD,0,76.60%,88.76,47d 2h 52m
GMT/BUSD,0,74.39%,1292.56,80d 7h 21m
MATIC/USDT,10,71.97%,484.92,26d 15h 22m
CVX/BUSD,0,69.57%,2692.93,29d 9h 58m
TRX/BUSD,2,66.10%,307.72,98d 13h 23m
ASR/USDT,3,65.93%,44.96,53d 12h 27m
ASR/USDT,0,64.99%,342.74,41d 9h 20m
OG/USDT,3,63.06%,892.61,52d 10h 15m
DYDX/USDT,2,62.67%,563.89,28d 14h 12m
FLM/BTC,4,60.14%,60.49,76d 20h 53m
KP3R/USDT,1,60.01%,66.84,63d 9h 18m
GMT/BUSD,0,59.99%,1804.28,77d 12h 22m
TRX/BUSD,0,59.86%,1918.87,89d 4h 46m
FORTH/BUSD,0,59.72%,65.50,60d 11h 37m
GMT/BUSD,0,58.86%,126.06,78d 3h 11m
MATIC/USDT,0,58.54%,1050.10,31d 9h 32m
GMT/BUSD,10,57.52%,121.79,27d 13h 16m
PEOPLE/USDT,1,56.71%,82.67,63d 14h 46m
GMT/BUSD,0,55.59%,360.41,71d 12h 40m
GMT/BUSD,1,54.44%,72.88,27d 15h 36m
UNI/BTC,0,54.42%,1015.94,48d 23h 14m
CTXC/USDT,2,53.40%,55.42,64d 6h 14m
GMT/BUSD,0,52.06%,23.69,27d 16h 37m
PAXG/BTC,4,52.03%,173.24,72d 18h 4m
GMT/BUSD,1,51.91%,21.07,27d 17h 8m
GMT/BUSD,0,51.60%,81.94,50d 5h 52m
GMT/BUSD,0,51.39%,483.33,27d 16h 4m
GMT/BUSD,3,51.03%,25.89,27d 8h 8m
GMT/BUSD,0,51.00%,45.85,27d 7h 23m
DODO/BUSD,5,50.27%,85.69,52d 7h 17m
RARE/BNB,1,49.80%,32.09,60d 1h 50m
GMT/BUSD,0,49.17%,285.50,30d 17h 31m
GTC/BUSD,0,48.96%,400.14,60d 6h 29m
MATIC/USDT,1,48.92%,285.90,15d 12h 52m
GMT/BUSD,0,48.01%,401.28,28d 8h 8m
GMT/BUSD,0,47.67%,23.60,27d 18h 59m
COCOS/BNB,0,47.08%,181.07,48d 7h 36m
PEOPLE/BTC,1,46.92%,941.38,65d 10h 42m
TROY/BUSD,0,46.65%,130.00,51d 14h 15m
AR/BTC,0,45.61%,4.24,63d 1h 41m
COCOS/USDT,1,45.33%,214.13,42d 12h 31m
MATIC/USDT,0,44.52%,546.79,31d 10h 9m
REQ/BTC,0,44.40%,21.66,53d 3h 47m
UMA/USDT,2,43.90%,117.79,30d 19h 57m
AAVE/ETH,1,43.47%,320.11,64d 18h 38m
AAVE/USDT,1,43.42%,230.66,15d 14h 17m
SHIB/DOGE,0,42.79%,42.77,159d 9h 38m
ERN/BUSD,0,42.59%,153.81,32d 4h 12m
BNB/ETH,9,42.31%,260.07,103d 19h 17m
DUSK/BTC,0,41.93%,146.22,62d 3h 28m
KP3R/USDT,3,41.91%,39.40,19d 9h 37m
FLM/BTC,0,41.87%,33.58,78d 17h 51m
LINK/USDT,1,41.87%,208.65,33d 23h 17m
GMT/BUSD,0,41.72%,17.17,27d 19h 27m
GMT/USDT,2,41.42%,405.93,65d 18h 5m
KEY/USDT,0,41.18%,91.92,52d 7h 18m
GMT/BUSD,0,41.07%,16.58,28d 10h 15m
TRU/BTC,2,41.07%,37.97,20d 13h 14m
TRX/USDT,0,40.55%,737.31,87d 17h 12m
