cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1129,914.37%,8037.85,49d 21h 51m
GMT/BUSD,15,682.26%,664.14,59d 19h 27m
GMT/BUSD,8,581.43%,586.24,58d 6h 8m
GMT/BUSD,5,464.05%,497.15,58d 2h 4m
GMT/BUSD,1,325.08%,628.42,82d 21h 54m
GMT/BUSD,5,324.59%,522.72,56d 4h 15m
GMT/BUSD,1,309.02%,413.59,49d 3h 46m
GMT/BUSD,7,308.44%,10878.52,65d 20h 36m
GMT/BUSD,1,300.90%,1462.87,83d 5h 24m
GMT/BUSD,6,286.81%,1030.40,52d 6h 24m
GMT/BUSD,0,235.80%,783.06,52d 17h 26m
GMT/BUSD,1,235.37%,445.69,53d 6m
GMT/BUSD,0,234.12%,628.02,54d 22h 27m
GMT/BUSD,0,229.90%,452.40,54d 17h 5m
GMT/BUSD,0,219.34%,825.91,58d 23h 13m
GMT/BUSD,1,183.28%,317.78,46d 15h 10m
GMT/BUSD,0,172.16%,396.91,83d 14h 50m
GMT/BUSD,1,154.26%,678.81,44d 19h 8m
GMT/BUSD,0,142.61%,865.03,67d 14h 3m
ANC/USDT,43,123.89%,51.25,54d 21h 49m
GMT/BUSD,0,119.67%,315.45,72d 15h 9m
GMT/BUSD,0,113.14%,380.88,71d 6h 48m
GMT/BUSD,0,107.28%,577.49,79d 22h 28m
GMT/BUSD,0,106.27%,561.46,82d 21h 57m
GMT/BUSD,0,98.37%,397.31,71d 11h 41m
GMT/BUSD,0,95.80%,269.21,75d 1h 33m
ANC/BNB,6,94.06%,79.87,56d 22h 13m
PEOPLE/USDT,2,84.66%,685.78,54d 11m
GMT/BUSD,0,82.85%,404.65,73d 23h 8m
GMT/BUSD,0,82.67%,457.62,68d 19h 4m
UMA/BUSD,1,81.13%,238.81,61d 13h 39m
GMT/BUSD,1,80.33%,66.21,73d 11h 19m
FORTH/BUSD,0,73.99%,85.75,43d 8h 53m
GMT/BUSD,0,72.41%,1258.28,76d 13h 21m
TCT/BTC,3,68.41%,24.47,58d 22h 48m
TRX/BUSD,1,63.48%,295.56,94d 19h 23m
OG/USDT,3,63.03%,892.14,48d 16h 15m
ASR/USDT,2,59.99%,40.91,49d 18h 28m
FLM/BTC,3,59.08%,56.56,73d 2h 53m
FORTH/BUSD,0,58.85%,64.55,56d 17h 37m
GMT/BUSD,0,58.34%,1754.81,73d 18h 22m
TRX/BUSD,0,57.47%,1842.07,85d 10h 46m
GMT/BUSD,0,57.18%,122.46,74d 9h 11m
PAXG/BTC,4,55.25%,175.06,69d 5m
PEOPLE/USDT,1,54.14%,78.93,59d 20h 46m
GMT/BUSD,0,53.73%,348.34,67d 18h 40m
KP3R/USDT,0,51.86%,57.77,59d 15h 18m
MATIC/USDT,9,50.93%,343.18,22d 21h 22m
LINK/ETH,2,49.86%,195.28,61d 23h 35m
RARE/BNB,1,49.42%,29.86,56d 7h 50m
CVX/BUSD,0,49.08%,1899.98,25d 15h 58m
ASR/USDT,0,48.86%,257.70,37d 15h 20m
CTXC/USDT,2,48.68%,50.52,60d 12h 14m
GMT/BUSD,0,47.52%,75.46,46d 11h 52m
DYDX/USDT,1,47.41%,426.56,24d 20h 12m
BNB/ETH,9,47.36%,254.61,100d 1h 17m
PEOPLE/BTC,1,46.93%,896.21,61d 16h 42m
GMT/BUSD,9,46.88%,99.26,23d 19h 17m
COCOS/BNB,0,46.67%,168.43,44d 13h 36m
REQ/BTC,0,46.56%,21.62,49d 9h 47m
GMT/BUSD,0,45.58%,428.63,23d 22h 4m
GMT/BUSD,1,44.13%,59.08,23d 21h 36m
GTC/BUSD,0,43.75%,357.55,56d 12h 29m
TROY/BUSD,0,43.35%,120.81,47d 20h 15m
AAVE/ETH,1,43.00%,276.92,61d 38m
UNI/BTC,0,42.88%,762.03,45d 5h 14m
GMT/BUSD,0,42.64%,19.40,23d 22h 37m
GMT/BUSD,1,42.48%,17.25,23d 23h 8m
COCOS/USDT,0,41.72%,197.09,38d 18h 32m
GMT/BUSD,3,41.58%,21.10,23d 14h 9m
GMT/BUSD,0,41.34%,240.01,26d 23h 31m
GMT/BUSD,0,41.20%,37.04,23d 13h 23m
DUSK/BTC,0,40.72%,135.16,58d 9h 28m
SHIB/DOGE,0,40.52%,39.87,155d 15h 38m
FLM/BTC,0,40.44%,30.87,74d 23h 51m
KEY/USDT,0,40.10%,89.52,48d 13h 18m
TRU/BTC,2,39.07%,34.38,16d 19h 14m
LINK/USDT,0,38.81%,193.41,30d 5h 18m
BEL/BUSD,1,38.61%,119.01,44d 1h 5m
GMT/BUSD,0,38.47%,19.04,24d 59m
UMA/USDT,1,38.16%,102.40,27d 1h 58m
BETA/ETH,0,38.10%,25.74,43d 15h 19m
PAXG/BTC,1,38.09%,426.20,60d 5h 7m
JASMY/BTC,0,38.07%,82.97,86d 6h 48m
GMT/BUSD,0,37.88%,316.63,24d 14h 8m
TRX/USDT,0,37.73%,686.00,83d 23h 12m
THETA/BTC,3,37.58%,67.43,34d 12h 45m
GMT/BUSD,0,37.49%,117.86,75d 12h 10m
GMT/USDT,10,37.42%,1134.14,22d 23h 55m
BNB/ETH,1,37.37%,225.14,182d 13h 18m
GMT/BUSD,0,36.51%,945.25,25d 14h 3m
CTK/USDT,0,36.33%,196.11,56d 5h
THETA/USDT,0,36.20%,78.24,50d 11h 16m
GMT/USDT,2,35.72%,350.01,62d 5m
PAXG/BNB,0,35.60%,711.85,47d 19h 44m
GMT/BUSD,0,35.20%,653.33,24d 13h 38m
TRX/BTC,1,35.03%,26.38,63d 19h 27m
LINK/USDT,1,34.49%,44.75,60d 20h 28m
ERN/BUSD,0,34.47%,124.49,28d 10h 12m
BNB/ETH,0,34.12%,149.61,181d 12h 6m
DODO/BUSD,5,34.08%,58.10,48d 13h 17m
MDX/BUSD,0,33.81%,121.98,28d 10h 13m
MATIC/USDT,0,33.67%,604.06,27d 15h 32m
LINK/USDT,0,33.39%,33.85,60d 22h 36m
GMT/BUSD,0,33.09%,13.62,24d 1h 28m
SHIB/DOGE,0,33.05%,19.78,63d 19h 45m
DODO/BTC,0,32.63%,148.27,52d 19h 18m
