cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1157,914.98%,8043.18,50d 14h 51m
GMT/BUSD,16,682.74%,664.61,60d 12h 27m
GMT/BUSD,8,582.00%,586.82,58d 23h 8m
GMT/BUSD,5,464.63%,497.78,58d 19h 3m
GMT/BUSD,1,325.34%,628.93,83d 14h 54m
GMT/BUSD,5,325.24%,523.77,56d 21h 15m
GMT/BUSD,1,309.67%,414.47,49d 20h 46m
GMT/BUSD,7,308.81%,10891.41,66d 13h 36m
GMT/BUSD,1,301.17%,1464.14,83d 22h 24m
GMT/BUSD,6,287.49%,1032.84,52d 23h 23m
GMT/BUSD,0,236.47%,785.31,53d 10h 26m
GMT/BUSD,1,235.98%,446.83,53d 17h 6m
GMT/BUSD,0,234.72%,629.63,55d 15h 27m
GMT/BUSD,0,230.51%,453.60,55d 10h 5m
GMT/BUSD,0,220.03%,828.48,59d 16h 13m
GMT/BUSD,1,184.12%,319.23,47d 8h 9m
GMT/BUSD,0,172.40%,397.46,84d 7h 50m
GMT/BUSD,1,154.86%,681.46,45d 12h 8m
GMT/BUSD,0,142.96%,867.16,68d 7h 3m
ANC/USDT,43,129.63%,53.62,55d 14h 49m
GMT/BUSD,0,119.91%,316.10,73d 8h 9m
GMT/BUSD,0,113.42%,381.83,71d 23h 48m
GMT/BUSD,0,107.57%,579.03,80d 15h 28m
GMT/BUSD,0,106.56%,562.98,83d 14h 57m
GMT/BUSD,0,98.63%,398.36,72d 4h 41m
ANC/BNB,6,98.51%,83.35,57d 15h 13m
GMT/BUSD,0,96.06%,269.93,75d 18h 33m
PEOPLE/USDT,2,87.22%,706.50,54d 17h 11m
UMA/BUSD,1,83.70%,246.36,62d 6h 38m
GMT/BUSD,0,83.10%,405.86,74d 16h 7m
GMT/BUSD,0,82.96%,459.24,69d 12h 4m
GMT/BUSD,1,80.58%,66.42,74d 4h 19m
GMT/BUSD,0,72.71%,1263.50,77d 6h 21m
FORTH/BUSD,0,72.71%,84.26,44d 1h 53m
TCT/BTC,3,65.17%,22.97,59d 15h 47m
TRX/BUSD,1,63.45%,295.41,95d 12h 23m
ASR/USDT,2,59.36%,40.48,50d 11h 28m
FLM/BTC,3,59.26%,55.88,73d 19h 53m
GMT/BUSD,0,58.58%,1761.79,74d 11h 22m
GMT/BUSD,0,57.43%,123.01,75d 2h 11m
TRX/BUSD,0,57.40%,1839.76,86d 3h 46m
OG/USDT,3,56.75%,803.28,49d 9h 15m
FORTH/BUSD,0,55.72%,61.11,57d 10h 37m
PAXG/BTC,4,55.71%,173.91,69d 17h 4m
PEOPLE/USDT,1,55.44%,80.82,60d 13h 46m
GMT/BUSD,0,53.99%,350.04,68d 11h 40m
KP3R/USDT,0,52.36%,58.31,60d 8h 18m
LINK/ETH,2,49.41%,189.01,62d 16h 34m
BNB/ETH,9,48.82%,256.33,100d 18h 17m
GMT/BUSD,9,48.50%,102.69,24d 12h 16m
GMT/BUSD,0,48.19%,76.51,47d 4h 52m
ASR/USDT,0,48.01%,253.23,38d 8h 20m
CVX/BUSD,0,47.59%,1841.97,26d 8h 58m
RARE/BNB,1,47.17%,28.40,57d 50m
PEOPLE/BTC,1,46.95%,883.23,62d 9h 42m
DYDX/USDT,1,46.86%,421.59,25d 13h 12m
COCOS/BNB,0,46.73%,167.95,45d 6h 36m
GMT/BUSD,0,46.44%,436.79,24d 15h 4m
GMT/BUSD,1,45.70%,61.18,24d 14h 36m
MATIC/USDT,9,45.60%,307.26,23d 14h 22m
REQ/BTC,0,45.39%,20.77,50d 2h 47m
CTXC/USDT,2,45.19%,46.90,61d 5h 14m
UNI/BTC,0,44.38%,776.78,45d 22h 14m
GMT/BUSD,0,43.97%,20.01,24d 15h 37m
GMT/BUSD,1,43.91%,17.83,24d 16h 8m
