cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1162,915.63%,8048.87,50d 20h 51m
GMT/BUSD,16,683.25%,665.11,60d 18h 27m
GMT/BUSD,8,582.60%,587.43,59d 5h 8m
GMT/BUSD,5,465.25%,498.44,59d 1h 3m
GMT/BUSD,5,325.94%,524.89,57d 3h 15m
GMT/BUSD,1,325.62%,629.47,83d 20h 54m
GMT/BUSD,1,310.27%,415.27,50d 2h 46m
GMT/BUSD,7,309.14%,10903.12,66d 19h 36m
GMT/BUSD,1,301.44%,1465.50,84d 4h 24m
GMT/BUSD,6,288.21%,1035.44,53d 5h 23m
GMT/BUSD,0,237.20%,787.71,53d 16h 26m
GMT/BUSD,1,236.62%,448.05,53d 23h 6m
GMT/BUSD,0,235.36%,631.34,55d 21h 27m
GMT/BUSD,0,231.16%,454.88,55d 16h 5m
GMT/BUSD,0,220.69%,830.99,59d 22h 13m
GMT/BUSD,1,184.87%,320.54,47d 14h 9m
GMT/BUSD,0,172.65%,398.04,84d 13h 49m
GMT/BUSD,1,155.50%,684.28,45d 18h 8m
GMT/BUSD,0,143.28%,869.09,68d 13h 3m
ANC/USDT,43,129.16%,53.43,55d 20h 49m
GMT/BUSD,0,120.18%,316.79,73d 14h 8m
GMT/BUSD,0,113.68%,382.69,72d 5h 48m
GMT/BUSD,0,107.83%,580.42,80d 21h 28m
GMT/BUSD,0,106.82%,564.35,83d 20h 57m
GMT/BUSD,0,98.90%,399.48,72d 10h 40m
ANC/BNB,6,97.23%,83.19,57d 21h 13m
GMT/BUSD,0,96.29%,270.58,76d 33m
PEOPLE/USDT,2,88.09%,713.55,54d 23h 10m
UMA/BUSD,1,84.05%,247.41,62d 12h 38m
GMT/BUSD,0,83.36%,407.14,74d 22h 7m
GMT/BUSD,0,83.25%,460.82,69d 18h 3m
GMT/BUSD,1,80.80%,66.61,74d 10h 18m
FORTH/BUSD,0,73.35%,85.00,44d 7h 52m
GMT/BUSD,0,73.01%,1268.59,77d 12h 21m
TCT/BTC,3,66.79%,23.67,59d 21h 47m
TRX/BUSD,1,64.30%,299.37,95d 18h 22m
ASR/USDT,2,59.49%,40.57,50d 17h 27m
FLM/BTC,3,59.31%,56.23,74d 1h 52m
GMT/BUSD,0,58.82%,1769.23,74d 17h 22m
TRX/BUSD,0,58.20%,1865.47,86d 9h 46m
OG/USDT,3,57.85%,818.82,49d 15h 15m
GMT/BUSD,0,57.68%,123.54,75d 8h 11m
FORTH/BUSD,0,56.70%,62.19,57d 16h 37m
PEOPLE/USDT,1,55.91%,81.51,60d 19h 46m
PAXG/BTC,4,55.39%,173.83,69d 23h 4m
GMT/BUSD,0,54.27%,351.85,68d 17h 40m
CVX/BUSD,0,53.60%,2074.78,26d 14h 58m
KP3R/USDT,0,53.23%,59.29,60d 14h 17m
GMT/BUSD,9,49.97%,105.81,24d 18h 16m
DYDX/USDT,1,49.66%,446.82,25d 19h 12m
LINK/ETH,2,49.14%,191.26,62d 22h 34m
GMT/BUSD,0,48.79%,77.47,47d 10h 52m
BNB/ETH,9,48.36%,258.35,101d 17m
ASR/USDT,0,48.19%,254.15,38d 14h 20m
MATIC/USDT,9,47.61%,320.80,23d 20h 22m
RARE/BNB,1,47.45%,28.89,57d 6h 50m
GMT/BUSD,0,47.18%,443.75,24d 21h 4m
GMT/BUSD,1,47.12%,63.09,24d 20h 36m
PEOPLE/BTC,1,46.96%,888.09,62d 15h 42m
CTXC/USDT,2,46.61%,48.37,61d 11h 14m
COCOS/BNB,0,46.59%,169.25,45d 12h 36m
REQ/BTC,0,46.56%,21.42,50d 8h 47m
GMT/BUSD,0,45.38%,20.65,24d 21h 37m
GMT/BUSD,1,45.21%,18.36,24d 22h 8m
GMT/BUSD,3,44.34%,22.50,24d 13h 8m
UNI/BTC,0,44.16%,777.25,46d 4h 14m
GMT/BUSD,0,44.06%,39.61,24d 12h 23m
GMT/BUSD,0,43.62%,253.27,27d 22h 31m
AAVE/ETH,1,43.30%,277.09,61d 23h 38m
GTC/BUSD,0,42.99%,351.32,57d 11h 29m
COCOS/USDT,0,42.80%,202.20,39d 17h 31m
KEY/USDT,0,41.86%,93.43,49d 12h 18m
GMT/BUSD,0,41.15%,20.37,24d 23h 59m
UMA/USDT,1,41.07%,110.20,28d 57m
SHIB/DOGE,0,41.05%,39.88,156d 14h 38m
GMT/BUSD,0,40.93%,342.09,25d 13h 7m
FLM/BTC,0,40.75%,30.81,75d 22h 51m
TROY/BUSD,0,39.91%,111.21,48d 19h 14m
DUSK/BTC,0,39.90%,131.17,59d 8h 28m
TRU/BTC,2,39.27%,34.23,17d 18h 14m
TRX/USDT,0,38.62%,702.20,84d 22h 12m
JASMY/BTC,0,38.48%,83.05,87d 5h 48m
BNB/ETH,1,38.25%,229.02,183d 12h 17m
LINK/USDT,0,38.20%,190.37,31d 4h 17m
PAXG/BTC,1,38.17%,423.14,61d 4h 6m
GMT/BUSD,0,37.96%,119.36,76d 11h 10m
BETA/ETH,0,37.91%,25.45,44d 14h 18m
BEL/BUSD,1,37.42%,115.34,45d 5m
GMT/USDT,2,37.26%,365.14,62d 23h 5m
THETA/BTC,3,37.18%,66.08,35d 11h 45m
GMT/BUSD,0,36.59%,679.06,25d 12h 38m
CTK/USDT,0,36.54%,197.25,57d 3h 59m
DODO/BUSD,5,36.51%,62.24,49d 12h 17m
GMT/BUSD,0,35.60%,14.65,25d 27m
THETA/USDT,0,35.53%,76.80,51d 10h 16m
TRX/BTC,1,35.51%,26.50,64d 18h 27m
PAXG/BNB,0,35.12%,707.62,48d 18h 44m
BNB/ETH,0,34.99%,152.44,182d 11h 6m
GMT/BUSD,0,34.91%,14.10,25d 15h 15m
ANC/USDT,2,34.70%,46.85,31d 3h 32m
ERN/BUSD,0,34.31%,123.89,29d 9h 12m
AAVE/BUSD,6,33.77%,124.26,28d 1h 5m
LINK/USDT,1,33.59%,43.58,61d 19h 27m
PSG/BTC,1,33.53%,123.86,54d 22h 39m
BNB/ETH,0,33.35%,243.66,152d 5h 27m
SHIB/DOGE,0,33.31%,19.69,64d 18h 45m
TRX/USDT,4,33.22%,153.08,76d 2h 30m
GMT/BUSD,0,33.00%,14.19,23d 16h 47m
ANC/BTC,1,32.92%,28.88,32d 20h 33m
REQ/BTC,0,32.92%,33.89,24d 22h 7m
LINK/USDT,0,32.85%,33.31,61d 21h 35m
DODO/BTC,0,32.66%,147.01,53d 18h 18m
BNB/ETH,1,32.60%,187.32,63d 13h 18m
MDX/BUSD,0,32.54%,117.43,29d 9h 13m
GMT/BUSD,1,32.51%,14.64,23d 17h 57m
GMT/BUSD,0,32.34%,58.09,26d 11h 45m
TRU/BTC,0,32.16%,12.67,17d 9h 42m
SAND/USDT,1,31.88%,109.80,27d 21h 13m
BNB/ETH,0,31.73%,183.85,59d 19h 21m
GMT/BUSD,0,31.72%,13.93,25d 20h
SOL/ETH,2,31.70%,137.63,38d 11h 44m
SOL/USDT,31,31.64%,37.79,27d 23h 33m
LAZIO/BUSD,2,31.44%,84.88,52d 3h 17m
GMT/BUSD,2,31.39%,19.95,23d 12h 46m
TRX/BTC,0,31.33%,236.34,62d 16h 1m
TCT/BTC,0,30.82%,17.05,83d 16h 9m
ENS/USDT,1,30.80%,55.45,60d 9h 16m
CTK/USDT,0,29.96%,215.63,40d 11h 57m
MATIC/USDT,0,29.70%,532.91,28d 14h 32m
KP3R/USDT,3,29.45%,27.69,16d 14h 37m
DOGE/BTC,0,29.45%,87.66,101d 14h 51m
SOL/BUSD,17,29.43%,545.51,30d 3h 24m
TRX/BTC,0,29.42%,128.93,65d 22h 15m
MATIC/USDT,1,29.40%,163.01,23d 13h 10m
GMT/BUSD,0,29.37%,10.76,23d 15h 18m
ADA/USDT,9,29.35%,568.16,62d 1h 22m
JASMY/BTC,0,29.33%,185.21,40d 16h 21m
GMT/BUSD,0,29.17%,212.38,76d 1h 32m
ADA/ETH,0,29.07%,178.48,85d 11h 39m
ANC/BUSD,0,29.02%,36.60,30d 9h 39m
IMX/BTC,0,28.95%,89.23,51d 21h 7m
OOKI/BUSD,0,28.67%,103.62,59d 19h 15m
WAVES/BTC,2,28.38%,45.72,62d 21h 54m
TRX/BUSD,0,28.22%,968.14,79d 5h 12m
UNI/BNB,1,28.17%,3428.62,48d 6h 18m
SHIB/DOGE,0,28.09%,1834.40,62d 23h 16m
HIGH/BTC,0,27.97%,49.35,42d 19h 19m
DUSK/BTC,0,27.85%,984.12,30d 19h 33m
ROSE/BTC,0,27.80%,48.68,61d 10h 47m
UMA/BTC,0,27.70%,297.11,27d 20h 36m
DOGE/BTC,3,27.64%,13.70,106d 13h 15m
AAVE/ETH,0,27.55%,93.38,50d 5h 48m
ANC/BUSD,2,27.53%,25.83,51d 7h 39m
OG/USDT,0,27.30%,31.84,33d 19h 33m
BNB/ETH,0,27.11%,18.23,167d 6h 34m
SHIB/DOGE,0,26.98%,14.88,97d 12h 52m
FORTH/USDT,1,26.98%,133.58,53d 15h 52m
KEY/USDT,0,26.87%,48.38,40d 8h 54m
GMT/BTC,0,26.86%,16.11,54d 16h 56m
GMT/BUSD,0,26.79%,72.21,28d 22h 17m
UNI/USDT,0,26.75%,21.90,59d 6h 40m
ATOM/USDT,0,26.71%,480.26,29d 21h 35m
DEGO/BTC,0,26.58%,130.88,24d 9h 37m
MATIC/USDT,0,26.48%,325.23,28d 15h 9m
TRX/USDT,0,26.36%,122.74,78d 23h 44m
SHIB/DOGE,0,26.33%,367.33,63d 6h 54m
CRV/BUSD,0,26.28%,757.67,26d 14h 49m
ENS/BUSD,1,26.26%,24.81,60d 23h 11m
