cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1162,916.39%,8055.57,50d 21h 51m
GMT/BUSD,17,683.86%,665.70,60d 19h 27m
GMT/BUSD,8,583.32%,588.15,59d 6h 8m
GMT/BUSD,5,465.99%,499.23,59d 2h 3m
GMT/BUSD,5,326.76%,526.21,57d 4h 15m
GMT/BUSD,1,325.96%,630.11,83d 21h 54m
GMT/BUSD,1,311.07%,416.34,50d 3h 46m
GMT/BUSD,7,309.59%,10918.80,66d 20h 36m
GMT/BUSD,1,301.77%,1467.09,84d 5h 24m
GMT/BUSD,6,289.07%,1038.50,53d 6h 23m
GMT/BUSD,0,238.05%,790.54,53d 17h 26m
GMT/BUSD,1,237.38%,449.49,54d 6m
GMT/BUSD,0,236.11%,633.35,55d 22h 27m
GMT/BUSD,0,231.92%,456.38,55d 17h 5m
GMT/BUSD,0,221.48%,833.95,59d 23h 13m
GMT/BUSD,1,185.89%,322.30,47d 15h 9m
GMT/BUSD,0,172.95%,398.73,84d 14h 50m
GMT/BUSD,1,156.25%,687.60,45d 19h 8m
GMT/BUSD,0,143.70%,871.68,68d 14h 3m
ANC/USDT,43,129.69%,53.64,55d 21h 49m
GMT/BUSD,0,120.49%,317.61,73d 15h 9m
GMT/BUSD,0,114.02%,383.84,72d 6h 48m
GMT/BUSD,0,108.17%,582.29,80d 22h 28m
GMT/BUSD,0,107.17%,566.19,83d 21h 57m
GMT/BUSD,0,99.23%,400.80,72d 11h 40m
ANC/BNB,6,97.75%,84.12,57d 22h 13m
GMT/BUSD,0,96.60%,271.46,76d 1h 33m
PEOPLE/USDT,2,88.87%,719.86,55d 10m
UMA/BUSD,1,84.36%,248.31,62d 13h 38m
GMT/BUSD,0,83.67%,408.65,74d 23h 7m
GMT/BUSD,0,83.58%,462.68,69d 19h 4m
GMT/BUSD,1,81.11%,66.86,74d 11h 19m
FORTH/BUSD,0,74.15%,85.92,44d 8h 52m
GMT/BUSD,0,73.35%,1274.58,77d 13h 21m
TCT/BTC,3,68.41%,24.45,59d 22h 47m
TRX/BUSD,1,64.62%,300.84,95d 19h 23m
ASR/USDT,2,59.92%,40.87,50d 18h 27m
FLM/BTC,3,59.32%,56.74,74d 2h 53m
GMT/BUSD,0,59.12%,1778.00,74d 18h 22m
TRX/BUSD,0,58.49%,1874.93,86d 10h 46m
GMT/BUSD,0,57.98%,124.17,75d 9h 11m
FORTH/BUSD,0,57.92%,63.53,57d 17h 37m
OG/USDT,3,57.80%,818.13,49d 16h 15m
PEOPLE/USDT,1,56.34%,82.13,60d 20h 46m
PAXG/BTC,4,54.88%,173.78,70d 4m
GMT/BUSD,0,54.60%,353.99,68d 18h 40m
KP3R/USDT,0,54.15%,60.32,60d 15h 18m
CVX/BUSD,0,52.89%,2047.29,26d 15h 58m
GMT/BUSD,9,51.94%,109.97,24d 19h 16m
DYDX/USDT,1,51.42%,462.64,25d 20h 12m
GMT/BUSD,0,49.59%,78.74,47d 11h 52m
GMT/BUSD,1,49.03%,65.64,24d 21h 36m
LINK/ETH,2,48.98%,192.18,62d 23h 34m
ASR/USDT,0,48.78%,257.24,38d 15h 20m
MATIC/USDT,9,48.52%,326.95,23d 21h 22m
BNB/ETH,9,48.22%,259.64,101d 1h 17m
GMT/BUSD,0,47.97%,451.17,24d 22h 4m
RARE/BNB,1,47.69%,29.21,57d 7h 50m
CTXC/USDT,2,47.16%,48.95,61d 12h 14m
GMT/BUSD,0,47.05%,21.41,24d 22h 37m
GMT/BUSD,1,46.96%,19.07,24d 23h 8m
PEOPLE/BTC,1,46.96%,896.03,62d 16h 42m
COCOS/BNB,0,46.39%,169.59,45d 13h 36m
REQ/BTC,0,46.35%,21.51,50d 9h 47m
GMT/BUSD,3,46.01%,23.35,24d 14h 8m
GMT/BUSD,0,45.79%,41.17,24d 13h 23m
GMT/BUSD,0,45.01%,261.33,27d 23h 31m
UNI/BTC,0,44.30%,786.50,46d 5h 14m
