cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1132,914.00%,8034.60,49d 23h 51m
GMT/BUSD,15,681.97%,663.86,59d 21h 27m
GMT/BUSD,8,581.08%,585.89,58d 8h 8m
GMT/BUSD,5,463.70%,496.77,58d 4h 3m
GMT/BUSD,1,324.92%,628.11,82d 23h 54m
GMT/BUSD,5,324.20%,522.08,56d 6h 15m
GMT/BUSD,1,308.69%,413.16,49d 5h 46m
GMT/BUSD,7,308.26%,10872.16,65d 22h 36m
GMT/BUSD,1,300.74%,1462.10,83d 7h 24m
GMT/BUSD,6,286.40%,1028.91,52d 8h 23m
GMT/BUSD,0,235.38%,781.69,52d 19h 26m
GMT/BUSD,1,235.01%,445.00,53d 2h 5m
GMT/BUSD,0,233.76%,627.05,55d 27m
GMT/BUSD,0,229.53%,451.68,54d 19h 5m
GMT/BUSD,0,219.01%,824.65,59d 1h 13m
GMT/BUSD,1,182.87%,317.07,46d 17h 9m
GMT/BUSD,0,172.02%,396.57,83d 16h 49m
GMT/BUSD,1,153.89%,677.20,44d 21h 8m
GMT/BUSD,0,142.43%,863.98,67d 16h 3m
ANC/USDT,43,122.97%,50.86,54d 23h 49m
GMT/BUSD,0,119.52%,315.06,72d 17h 8m
GMT/BUSD,0,113.00%,380.42,71d 8h 48m
GMT/BUSD,0,107.14%,576.73,80d 28m
GMT/BUSD,0,106.13%,560.72,82d 23h 57m
GMT/BUSD,0,98.21%,396.67,71d 13h 40m
GMT/BUSD,0,95.68%,268.86,75d 3h 33m
ANC/BNB,6,93.19%,78.68,57d 13m
PEOPLE/USDT,2,83.93%,679.84,54d 2h 10m
GMT/BUSD,0,82.70%,403.92,74d 1h 7m
GMT/BUSD,0,82.52%,456.82,68d 21h 3m
UMA/BUSD,1,80.88%,238.06,61d 15h 38m
GMT/BUSD,1,80.20%,66.11,73d 13h 18m
FORTH/BUSD,0,75.74%,87.77,43d 10h 52m
GMT/BUSD,0,72.26%,1255.71,76d 15h 21m
TCT/BTC,3,68.41%,24.34,59d 47m
TRX/BUSD,1,63.46%,295.47,94d 21h 22m
FORTH/BUSD,0,62.58%,68.64,56d 19h 37m
ASR/USDT,2,59.90%,40.85,49d 20h 27m
OG/USDT,3,59.47%,841.72,48d 18h 15m
FLM/BTC,3,59.05%,56.22,73d 4h 52m
GMT/BUSD,0,58.20%,1750.57,73d 20h 22m
TRX/BUSD,0,57.44%,1841.14,85d 12h 46m
GMT/BUSD,0,57.05%,122.19,74d 11h 11m
PAXG/BTC,4,55.52%,174.97,69d 2h 4m
PEOPLE/USDT,1,53.70%,78.28,59d 22h 46m
GMT/BUSD,0,53.57%,347.30,67d 20h 40m
KP3R/USDT,0,52.13%,58.06,59d 17h 17m
LINK/ETH,2,49.75%,192.58,62d 1h 34m
MATIC/USDT,9,49.67%,334.69,22d 23h 22m
CVX/BUSD,0,49.00%,1896.81,25d 17h 58m
ASR/USDT,0,48.83%,257.55,37d 17h 20m
RARE/BNB,1,48.36%,29.05,56d 9h 49m
CTXC/USDT,2,48.31%,50.14,60d 14h 14m
BNB/ETH,9,47.80%,254.01,100d 3h 17m
GMT/BUSD,0,47.20%,74.95,46d 13h 52m
PEOPLE/BTC,1,46.93%,891.42,61d 18h 41m
COCOS/BNB,0,46.72%,167.62,44d 15h 36m
GMT/BUSD,9,46.08%,97.57,23d 21h 16m
GMT/BUSD,0,45.17%,424.80,24d 3m
REQ/BTC,0,45.14%,20.85,49d 11h 47m
DYDX/USDT,1,44.24%,398.09,24d 22h 12m
UNI/BTC,0,43.85%,775.06,45d 7h 14m
GMT/BUSD,1,43.35%,58.04,23d 23h 36m
