cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1483,924.59%,8127.63,58d 11h 54m
GMT/BUSD,24,690.35%,672.02,68d 9h 30m
GMT/BUSD,8,590.97%,595.86,66d 20h 11m
GMT/BUSD,6,473.82%,507.62,66d 16h 6m
GMT/BUSD,5,336.72%,542.25,64d 18h 18m
GMT/BUSD,1,329.50%,636.96,91d 11h 57m
GMT/BUSD,1,319.15%,427.15,57d 17h 49m
GMT/BUSD,8,314.08%,11077.28,74d 10h 39m
GMT/BUSD,1,305.29%,1484.17,91d 19h 27m
GMT/BUSD,8,298.96%,1074.04,60d 20h 26m
GMT/BUSD,0,248.28%,824.53,61d 7h 29m
GMT/BUSD,2,245.50%,464.85,61d 14h 9m
GMT/BUSD,0,244.19%,655.02,63d 12h 30m
GMT/BUSD,0,240.15%,472.57,63d 7h 8m
GMT/BUSD,0,229.87%,865.55,67d 13h 16m
GMT/BUSD,1,197.83%,343.00,55d 5h 12m
GMT/BUSD,0,176.16%,406.13,92d 4h 52m
GMT/BUSD,2,164.79%,725.17,53d 9h 11m
ANC/USDT,57,136.11%,56.30,63d 11h 52m
GMT/BUSD,0,123.79%,326.32,81d 5h 12m
GMT/BUSD,0,117.47%,395.47,79d 20h 51m
GMT/BUSD,0,111.69%,601.19,88d 12h 31m
GMT/BUSD,0,110.69%,584.80,91d 12h
GMT/BUSD,0,102.75%,415.02,80d 1h 43m
GMT/BUSD,0,99.74%,280.29,83d 15h 36m
ANC/BNB,8,95.22%,94.97,65d 12h 16m
UMA/BUSD,1,92.04%,270.92,70d 3h 41m
TCT/BTC,6,90.43%,38.61,67d 12h 50m
GMT/BUSD,0,87.18%,482.62,77d 9h 7m
GMT/BUSD,0,86.97%,424.79,82d 13h 10m
MATIC/USDT,1,86.81%,1557.30,36d 5h 35m
DYDX/USDT,2,86.34%,776.79,33d 10h 15m
GMT/BUSD,2,84.18%,69.39,82d 1h 21m
CVX/BUSD,0,82.65%,3199.29,34d 6h 1m
FORTH/BUSD,0,78.66%,91.15,51d 22h 55m
GMT/BUSD,0,77.04%,1338.73,85d 3h 24m
MATIC/USDT,1,75.84%,443.18,20d 8h 54m
OG/USDT,3,68.54%,970.10,57d 6h 18m
GMT/BUSD,1,68.33%,91.47,32d 11h 39m
TRX/BUSD,3,67.69%,315.16,103d 9h 26m
ASR/USDT,4,65.01%,44.33,58d 8h 30m
GMT/BUSD,0,64.92%,29.55,32d 12h 40m
GMT/BUSD,1,64.60%,26.23,32d 13h 11m
GMT/BUSD,0,64.46%,57.95,32d 3h 26m
GMT/BUSD,3,63.92%,32.44,32d 4h 11m
KP3R/USDT,1,63.47%,70.69,68d 5h 20m
GMT/BUSD,0,62.25%,1872.27,82d 8h 25m
PEOPLE/USDT,3,62.20%,90.67,68d 10h 49m
FORTH/BUSD,0,61.79%,67.77,65d 7h 40m
GMT/BUSD,0,61.65%,515.29,33d 4h 11m
ETH/USDT,235,61.64%,63526.55,32d 1h 51m
TRX/BUSD,0,61.13%,1959.28,94d 49m
GMT/BUSD,0,61.12%,130.90,82d 23h 14m
GMT/BUSD,0,60.22%,29.81,32d 15h 2m
GMT/BUSD,0,60.02%,348.46,35d 13h 34m
FLM/BTC,4,59.96%,68.52,81d 16h 55m
CTXC/USDT,2,59.94%,62.21,69d 2h 17m
ETC/USDT,2,59.67%,5440.46,32d 12h 24m
GMT/BUSD,0,58.99%,554.74,32d 12h 7m
GMT/BUSD,0,58.15%,377.00,76d 8h 43m
DODO/BUSD,6,56.85%,96.90,57d 3h 20m
GMT/BUSD,0,56.63%,89.92,55d 1h 55m
GTC/BUSD,0,56.36%,460.61,65d 2h 32m
GMT/BUSD,0,53.49%,22.01,32d 15h 30m
TROY/BUSD,1,53.49%,149.06,56d 10h 17m
GMT/BUSD,0,52.76%,21.30,33d 6h 18m
ETC/USDT,0,51.95%,37248.61,6d 17h 21m
RARE/BNB,1,50.43%,35.79,64d 21h 53m
GMT/BUSD,1,50.21%,22.62,31d 9h
GMT/BUSD,3,49.50%,31.46,31d 3h 49m
GMT/BUSD,0,49.27%,21.63,33d 11h 3m
GMT/USDT,9,49.09%,481.02,70d 14h 8m
LINK/USDT,3,48.50%,241.69,38d 19h 20m
UNI/BTC,0,48.04%,1018.81,53d 19h 17m
ENS/BUSD,1,47.97%,45.31,68d 14h 14m
AAVE/USDT,2,47.89%,254.40,20d 10h 20m
AVAX/USDT,10,47.69%,428.02,35d 10h 46m
GMT/BUSD,0,47.40%,879.68,33d 3h 41m
RARE/BUSD,1,47.30%,51.50,54d 23h 39m
ENS/USDT,1,47.18%,84.93,68d 19m
ETH/BUSD,5,47.01%,3685.19,32d 7h 25m
KEY/USDT,0,46.93%,104.75,57d 3h 21m
PEOPLE/BTC,1,46.90%,1069.00,70d 6h 45m
THETA/USDT,2,46.88%,101.33,59d 1h 19m
COCOS/USDT,1,45.66%,215.69,47d 8h 34m
TCT/USDT,1,45.48%,59.37,39d 12h 46m
APE/BUSD,3,44.87%,447.00,32d 19h 19m
OOKI/BUSD,0,44.56%,161.05,67d 10h 18m
ETH/BUSD,13,44.28%,682.50,31d 16h 48m
PAXG/BTC,4,44.21%,167.22,77d 14h 7m
PORTO/USDT,0,43.92%,81.86,60d 10h 50m
AAVE/ETH,1,43.79%,406.64,69d 14h 41m
DUSK/BTC,1,43.73%,173.22,66d 23h 31m
SHIB/DOGE,0,43.55%,49.27,164d 5h 41m
ERN/BUSD,0,42.95%,155.10,37d 15m
LAZIO/BUSD,3,42.84%,115.62,59d 18h 20m
ANC/USDT,2,42.57%,57.46,38d 18h 35m
ETH/USDT,1,42.17%,1674.75,31d 7h 10m
TRX/USDT,0,41.95%,762.78,92d 13h 15m
SOL/USDT,37,41.85%,49.99,35d 14h 36m
LINK/USDT,1,41.69%,54.08,69d 10h 30m
BETA/ETH,0,41.66%,40.58,52d 5h 21m
FLM/BTC,0,41.63%,37.93,83d 13h 54m
FTM/USDT,1,41.37%,369.48,35d 10h 43m
GMT/BUSD,0,41.34%,129.96,84d 2h 13m
SOL/BUSD,20,41.21%,763.82,37d 18h 27m
TRU/BTC,2,40.82%,42.87,25d 9h 17m
BEL/BUSD,1,40.16%,123.78,52d 15h 8m
ETH/USDT,0,40.13%,1243.90,20d 2h 23m
LINK/USDT,0,40.03%,40.60,69d 12h 38m
MATIC/BTC,0,39.56%,418.32,35d 2h 43m
QI/BUSD,0,39.49%,63.22,38d 43m
ETH/USDT,2,39.21%,432.95,16d 11h 36m
GMT/BUSD,0,38.87%,104.76,36d 13h 20m
HIGH/BTC,0,38.64%,82.13,50d 10h 22m
MDX/BUSD,0,38.64%,139.41,37d 16m
ETH/USDT,2,38.48%,234.58,8d 11h 19m
ENS/BUSD,1,38.37%,48.67,68d 10h 10m
ADA/USDT,14,38.36%,742.57,69d 16h 25m
ANC/BUSD,1,38.09%,48.02,38d 42m
OG/USDT,0,37.93%,44.23,41d 10h 36m
ENS/USDT,0,37.56%,881.38,67d 9h 11m
DEGO/BUSD,0,37.52%,180.27,15d 14h 13m
SAND/USDT,1,37.25%,128.29,35d 12h 16m
DEGO/BTC,0,37.17%,220.49,32d 40m
CRV/USDT,0,36.88%,398.65,22d 22h 37m
SOL/BUSD,2,36.64%,1136.41,32d 12h 2m
VOXEL/BUSD,0,36.48%,133.86,37d 10h 7m
ETH/BUSD,0,36.16%,12276.92,27d 16h 18m
JASMY/BTC,0,36.09%,93.89,94d 20h 51m
TRX/USDT,4,35.73%,164.64,83d 17h 33m
DEGO/USDT,0,35.67%,59.05,38d 4h 12m
SHIB/DOGE,0,35.53%,24.45,72d 9h 48m
ETH/USDT,0,34.59%,225.93,17d 19h 27m
PORTO/USDT,0,34.50%,52.02,55d 3h 10m
CTXC/USDT,0,34.42%,295.18,20d 11h 48m
REQ/BTC,0,34.39%,42.67,32d 13h 10m
ETH/BUSD,0,34.35%,505.82,18d 11h 18m
JUV/USDT,0,34.33%,104.06,32d 1h 34m
ANC/BUSD,2,34.32%,32.21,58d 22h 43m
THETA/BUSD,4,34.18%,112.22,43d 8h 22m
SOL/BTC,4,33.98%,4.19,43d 15h 21m
AAVE/USDT,0,33.92%,610.78,20d 13h 59m
UNI/BNB,1,33.89%,4809.55,55d 21h 21m
APE/BUSD,0,33.83%,106.56,69d 19h 26m
TCT/BTC,0,33.75%,22.51,91d 7h 12m
ETH/USDT,4,33.68%,91.00,7d 3h 22m
ETH/USDT,0,33.23%,682.27,30d 14h 47m
