cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1107,916.12%,8053.22,49d 4h 51m
GMT/BUSD,15,683.65%,665.49,59d 2h 27m
GMT/BUSD,8,583.07%,587.90,57d 13h 8m
GMT/BUSD,5,465.73%,498.95,57d 9h 3m
GMT/BUSD,5,326.47%,525.75,55d 11h 15m
GMT/BUSD,0,325.84%,629.89,82d 4h 54m
GMT/BUSD,1,310.80%,415.99,48d 10h 46m
GMT/BUSD,7,309.44%,10913.61,65d 3h 36m
GMT/BUSD,1,301.66%,1466.53,82d 12h 24m
GMT/BUSD,6,288.72%,1037.25,51d 13h 23m
GMT/BUSD,0,237.75%,789.55,52d 26m
GMT/BUSD,1,237.11%,448.99,52d 7h 5m
GMT/BUSD,0,235.85%,632.65,54d 5h 27m
GMT/BUSD,0,231.66%,455.86,54d 5m
GMT/BUSD,0,221.20%,832.91,58d 6h 13m
GMT/BUSD,1,185.55%,321.72,45d 22h 9m
GMT/BUSD,0,172.85%,398.49,82d 21h 49m
GMT/BUSD,1,155.76%,685.45,44d 2h 8m
GMT/BUSD,0,143.56%,870.83,66d 21h 3m
ANC/USDT,43,131.08%,54.22,54d 4h 49m
GMT/BUSD,0,120.38%,317.32,71d 22h 8m
GMT/BUSD,0,113.91%,383.46,70d 13h 48m
GMT/BUSD,0,108.06%,581.67,79d 5h 28m
GMT/BUSD,0,107.05%,565.58,82d 4h 57m
GMT/BUSD,0,99.12%,400.34,70d 18h 40m
GMT/BUSD,0,96.50%,271.17,74d 8h 33m
ANC/BNB,6,95.69%,84.14,56d 5h 13m
PEOPLE/USDT,2,89.32%,723.50,53d 7h 10m
UMA/BUSD,1,84.83%,249.69,60d 20h 38m
GMT/BUSD,0,83.56%,408.12,73d 6h 7m
GMT/BUSD,0,83.46%,462.03,68d 2h 3m
GMT/BUSD,1,81.01%,66.77,72d 18h 18m
GMT/BUSD,0,73.23%,1272.48,75d 20h 21m
