cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1224,918.63%,8075.29,52d 6h 51m
GMT/BUSD,17,685.63%,667.43,62d 4h 27m
GMT/BUSD,8,585.42%,590.27,60d 15h 8m
GMT/BUSD,5,468.14%,501.53,60d 11h 3m
GMT/BUSD,5,329.17%,530.09,58d 13h 15m
GMT/BUSD,1,326.93%,632.00,85d 6h 54m
GMT/BUSD,1,313.29%,419.31,51d 12h 46m
GMT/BUSD,7,310.82%,10962.39,68d 5h 36m
GMT/BUSD,1,302.74%,1471.79,85d 14h 24m
GMT/BUSD,6,291.61%,1047.64,54d 15h 23m
GMT/BUSD,0,240.56%,798.87,55d 2h 26m
GMT/BUSD,1,239.61%,453.72,55d 9h 6m
GMT/BUSD,0,238.32%,639.28,57d 7h 27m
GMT/BUSD,0,234.17%,460.81,57d 2h 5m
GMT/BUSD,0,223.79%,842.64,61d 8h 13m
GMT/BUSD,1,188.71%,327.19,49d 9m
GMT/BUSD,0,173.84%,400.77,85d 23h 50m
GMT/BUSD,1,158.56%,697.77,47d 4h 8m
GMT/BUSD,0,144.89%,878.89,69d 23h 3m
ANC/USDT,45,127.55%,52.76,57d 6h 49m
GMT/BUSD,0,121.40%,320.00,75d 9m
GMT/BUSD,0,114.97%,387.04,73d 15h 48m
GMT/BUSD,0,109.14%,587.49,82d 7h 28m
GMT/BUSD,0,108.13%,571.31,85d 6h 57m
GMT/BUSD,0,100.19%,404.69,73d 20h 40m
GMT/BUSD,0,97.47%,273.89,77d 10h 33m
ANC/BNB,6,92.25%,82.62,59d 7h 13m
PEOPLE/USDT,2,86.51%,700.75,56d 9h 11m
UMA/BUSD,1,86.29%,253.99,63d 22h 38m
GMT/BUSD,0,84.58%,413.09,76d 8h 7m
GMT/BUSD,0,84.57%,468.17,71d 4h 4m
GMT/BUSD,1,81.95%,67.55,75d 20h 19m
TCT/BTC,4,78.88%,28.90,61d 7h 47m
FORTH/BUSD,0,74.52%,86.36,45d 17h 52m
GMT/BUSD,0,74.37%,1292.23,78d 22h 21m
MATIC/USDT,9,67.92%,457.64,25d 6h 22m
TRX/BUSD,2,65.20%,303.57,97d 4h 23m
CVX/BUSD,0,64.88%,2511.15,28d 58m
GMT/BUSD,0,59.97%,1803.79,76d 3h 22m
FLM/BTC,3,59.97%,58.80,75d 11h 53m
ASR/USDT,2,59.92%,40.87,52d 3h 27m
TRX/BUSD,0,59.00%,1891.25,87d 19h 46m
GMT/BUSD,0,58.84%,126.02,76d 18h 11m
OG/USDT,3,58.82%,832.52,51d 1h 15m
GMT/BUSD,9,57.41%,121.56,26d 4h 16m
FORTH/BUSD,0,56.53%,62.01,59d 2h 37m
PEOPLE/USDT,1,56.44%,82.27,62d 5h 46m
KP3R/USDT,0,56.16%,62.55,62d 18m
GMT/BUSD,0,55.57%,360.29,70d 3h 40m
GMT/BUSD,1,54.34%,72.75,26d 6h 36m
MATIC/USDT,0,53.71%,963.46,30d 32m
PAXG/BTC,4,53.26%,172.87,71d 9h 4m
UNI/BTC,0,52.50%,955.60,47d 14h 14m
CTXC/USDT,2,52.03%,53.99,62d 21h 14m
GMT/BUSD,0,51.97%,23.65,26d 7h 37m
GMT/BUSD,1,51.81%,21.04,26d 8h 8m
GMT/BUSD,0,51.70%,82.09,48d 20h 52m
GMT/BUSD,3,50.94%,25.85,25d 23h 8m
GMT/BUSD,0,50.90%,45.76,25d 22h 23m
GMT/BUSD,0,50.80%,477.79,26d 7h 4m
RARE/BNB,1,50.23%,32.01,58d 16h 50m
GMT/BUSD,0,49.10%,285.05,29d 8h 31m
ASR/USDT,0,48.78%,257.24,40d 20m
GMT/BUSD,0,47.91%,400.45,26d 23h 8m
GMT/BUSD,0,47.58%,23.55,26d 9h 59m
PEOPLE/BTC,1,46.93%,917.98,64d 1h 42m
