cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1243,921.35%,8099.18,52d 21h 51m
GMT/BUSD,17,687.79%,669.52,62d 19h 27m
GMT/BUSD,8,587.97%,592.84,61d 6h 8m
GMT/BUSD,5,470.75%,504.33,61d 2h 3m
GMT/BUSD,5,332.10%,534.80,59d 4h 15m
GMT/BUSD,1,328.11%,634.28,85d 21h 54m
GMT/BUSD,1,315.98%,422.92,52d 3h 46m
GMT/BUSD,7,312.32%,11015.20,68d 20h 36m
GMT/BUSD,1,303.91%,1477.48,86d 5h 24m
GMT/BUSD,6,294.50%,1058.04,55d 6h 23m
GMT/BUSD,0,243.60%,808.98,55d 17h 26m
GMT/BUSD,1,242.32%,458.84,56d 6m
GMT/BUSD,0,241.00%,646.47,57d 22h 27m
GMT/BUSD,0,236.90%,466.18,57d 17h 5m
GMT/BUSD,0,226.58%,853.17,61d 23h 13m
GMT/BUSD,1,192.12%,333.11,49d 15h 9m
GMT/BUSD,0,174.91%,403.23,86d 14h 50m
GMT/BUSD,1,160.83%,707.73,47d 19h 8m
ANC/USDT,45,132.00%,54.60,57d 21h 49m
GMT/BUSD,0,122.50%,322.91,75d 15h 9m
GMT/BUSD,0,116.12%,390.92,74d 6h 48m
GMT/BUSD,0,110.31%,593.79,82d 22h 28m
GMT/BUSD,0,109.31%,577.51,85d 21h 57m
GMT/BUSD,0,101.36%,409.40,74d 11h 40m
GMT/BUSD,0,98.51%,276.83,78d 1h 33m
ANC/BNB,6,97.02%,88.12,59d 22h 13m
PEOPLE/USDT,3,90.08%,729.66,57d 11m
UMA/BUSD,1,87.16%,256.55,64d 13h 38m
GMT/BUSD,0,85.77%,474.81,71d 19h 4m
GMT/BUSD,0,85.68%,418.47,76d 23h 7m
GMT/BUSD,1,82.98%,68.40,76d 11h 19m
TCT/BTC,4,78.88%,29.79,61d 22h 47m
FORTH/BUSD,0,76.44%,88.58,46d 8h 52m
GMT/BUSD,0,75.60%,1313.60,79d 13h 21m
MATIC/USDT,9,71.78%,483.62,25d 21h 22m
DYDX/USDT,1,69.30%,623.52,27d 20h 12m
CVX/BUSD,0,68.23%,2640.95,28d 15h 58m
TRX/BUSD,2,66.25%,308.43,97d 19h 23m
GMT/BUSD,10,64.05%,135.61,26d 19h 16m
KP3R/USDT,0,61.14%,68.10,62d 15h 18m
GMT/BUSD,0,61.01%,1835.05,76d 18h 22m
ASR/USDT,3,60.84%,41.49,52d 18h 27m
GMT/BUSD,1,60.77%,81.35,26d 21h 36m
FLM/BTC,4,60.11%,60.76,76d 2h 53m
TRX/BUSD,0,60.09%,1925.95,88d 10h 46m
OG/USDT,3,59.93%,848.27,51d 16h 15m
GMT/BUSD,0,59.89%,128.26,77d 9h 11m
FORTH/BUSD,0,59.47%,65.23,59d 17h 37m
PEOPLE/USDT,1,58.72%,85.60,62d 20h 46m
MATIC/USDT,0,58.40%,1047.72,30d 15h 32m
GMT/BUSD,0,57.92%,26.36,26d 22h 37m
GMT/BUSD,1,57.69%,23.42,26d 23h 8m
UNI/BTC,0,57.24%,1073.96,48d 5h 14m
GMT/BUSD,0,57.09%,51.33,26d 13h 23m
GMT/BUSD,3,56.91%,28.88,26d 14h 8m
GMT/BUSD,0,56.75%,367.92,70d 18h 40m
GMT/BUSD,0,54.23%,453.24,27d 14h 8m
GMT/BUSD,0,54.05%,313.79,29d 23h 31m
GMT/BUSD,0,53.39%,26.43,27d 59m
GMT/BUSD,0,53.34%,84.70,49d 11h 52m
GMT/BUSD,0,53.29%,501.20,26d 22h 4m
CTXC/USDT,2,52.85%,54.85,63d 12h 14m
AAVE/BUSD,7,52.60%,193.54,30d 2h 5m
PAXG/BTC,4,51.57%,172.55,72d 4m
ASR/USDT,0,50.01%,263.73,40d 15h 20m
RARE/BNB,1,49.99%,32.31,59d 7h 50m
GTC/BUSD,0,49.16%,401.78,59d 12h 29m
MATIC/USDT,1,48.96%,286.11,14d 18h 52m
DODO/BUSD,5,48.45%,82.59,51d 13h 17m
AR/BTC,0,47.53%,4.44,62d 7h 41m
TROY/BUSD,0,47.39%,132.05,50d 20h 15m
GMT/BUSD,0,47.08%,19.38,27d 1h 27m
COCOS/BNB,0,46.93%,181.05,47d 13h 36m
PEOPLE/BTC,1,46.93%,946.28,64d 16h 42m
AAVE/USDT,1,46.53%,247.22,14d 20h 17m
GMT/BUSD,0,46.40%,18.73,27d 16h 15m
COCOS/USDT,1,45.20%,213.53,41d 18h 32m
REQ/BTC,0,45.12%,22.12,52d 9h 47m
KP3R/USDT,3,44.92%,42.22,18d 15h 37m
GMT/BUSD,0,44.29%,19.04,25d 17h 47m
MATIC/USDT,0,44.20%,542.87,30d 16h 9m
GMT/USDT,2,44.13%,432.48,65d 5m
GMT/BUSD,1,43.81%,19.74,25d 18h 57m
AAVE/ETH,1,43.58%,318.49,64d 38m
UMA/USDT,2,43.51%,116.76,30d 1h 57m
BNB/ETH,9,43.05%,262.68,103d 1h 17m
GMT/BUSD,0,43.01%,18.89,27d 21h
GMT/BUSD,2,42.96%,27.31,25d 13h 47m
KEY/USDT,0,42.39%,94.62,51d 13h 18m
GMT/BUSD,0,42.30%,784.98,27d 13h 38m
ERN/BUSD,0,42.16%,152.24,31d 10h 12m
SHIB/DOGE,0,41.99%,42.34,158d 15h 38m
FLM/BTC,0,41.84%,33.72,77d 23h 51m
LINK/USDT,0,41.67%,207.64,33d 5h 17m
TRU/BTC,2,41.12%,38.21,19d 19h 14m
DUSK/BTC,0,40.92%,143.40,61d 9h 28m
TRX/USDT,0,40.87%,743.21,86d 23h 12m
TCT/USDT,0,40.75%,53.20,33d 22h 43m
