cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1163,916.76%,8058.80,50d 22h 51m
GMT/BUSD,17,684.15%,665.98,60d 20h 27m
GMT/BUSD,8,583.66%,588.50,59d 7h 8m
GMT/BUSD,5,466.34%,499.60,59d 3h 3m
GMT/BUSD,5,327.16%,526.84,57d 5h 15m
GMT/BUSD,1,326.11%,630.42,83d 22h 54m
GMT/BUSD,1,311.43%,416.83,50d 4h 46m
GMT/BUSD,7,309.79%,10925.93,66d 21h 36m
GMT/BUSD,1,301.93%,1467.86,84d 6h 24m
GMT/BUSD,6,289.48%,1039.98,53d 7h 23m
GMT/BUSD,0,238.46%,791.91,53d 18h 26m
GMT/BUSD,1,237.75%,450.18,54d 1h 6m
GMT/BUSD,0,236.47%,634.32,55d 23h 27m
GMT/BUSD,0,232.29%,457.11,55d 18h 5m
GMT/BUSD,0,221.86%,835.37,60d 13m
GMT/BUSD,1,186.35%,323.10,47d 16h 9m
GMT/BUSD,0,173.10%,399.07,84d 15h 50m
GMT/BUSD,1,156.62%,689.21,45d 20h 8m
GMT/BUSD,0,143.90%,872.86,68d 15h 3m
ANC/USDT,43,129.29%,53.48,55d 22h 49m
GMT/BUSD,0,120.63%,318.00,73d 16h 9m
GMT/BUSD,0,114.17%,384.36,72d 7h 48m
GMT/BUSD,0,108.33%,583.14,80d 23h 28m
GMT/BUSD,0,107.32%,567.03,83d 22h 57m
GMT/BUSD,0,99.39%,401.44,72d 12h 40m
GMT/BUSD,0,96.74%,271.85,76d 2h 33m
ANC/BNB,6,96.65%,83.69,57d 23h 13m
PEOPLE/USDT,2,88.87%,719.86,55d 1h 10m
UMA/BUSD,1,84.72%,249.38,62d 14h 38m
GMT/BUSD,0,83.82%,409.37,75d 7m
GMT/BUSD,0,83.74%,463.58,69d 20h 4m
GMT/BUSD,1,81.25%,66.97,74d 12h 19m
FORTH/BUSD,0,76.28%,88.40,44d 9h 52m
GMT/BUSD,0,73.52%,1277.47,77d 14h 21m
TCT/BTC,3,68.41%,24.64,59d 23h 47m
TRX/BUSD,1,64.76%,301.49,95d 20h 23m
FORTH/BUSD,0,61.08%,67.00,57d 18h 37m
ASR/USDT,2,60.56%,41.30,50d 19h 27m
FLM/BTC,3,59.30%,57.16,74d 3h 53m
GMT/BUSD,0,59.26%,1782.22,74d 19h 22m
TRX/BUSD,0,58.64%,1879.70,86d 11h 46m
OG/USDT,3,58.49%,827.84,49d 17h 15m
GMT/BUSD,0,58.12%,124.47,75d 10h 11m
PEOPLE/USDT,1,56.34%,82.13,60d 21h 46m
GMT/BUSD,0,54.76%,355.02,68d 19h 40m
KP3R/USDT,0,54.64%,60.86,60d 16h 18m
PAXG/BTC,4,54.45%,173.74,70d 1h 4m
CVX/BUSD,0,53.94%,2088.08,26d 16h 58m
