cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1184,915.33%,8046.23,51d 12h 51m
GMT/BUSD,17,683.02%,664.88,61d 10h 27m
GMT/BUSD,8,582.32%,587.14,59d 21h 8m
GMT/BUSD,5,464.97%,498.13,59d 17h 3m
GMT/BUSD,5,325.62%,524.37,57d 19h 15m
GMT/BUSD,1,325.49%,629.22,84d 12h 54m
GMT/BUSD,1,310.02%,414.93,50d 18h 46m
GMT/BUSD,7,309.00%,10898.15,67d 11h 36m
GMT/BUSD,1,301.31%,1464.87,84d 20h 24m
GMT/BUSD,6,287.88%,1034.23,53d 21h 23m
GMT/BUSD,0,236.86%,786.60,54d 8h 26m
GMT/BUSD,1,236.32%,447.49,54d 15h 6m
GMT/BUSD,0,235.06%,630.54,56d 13h 27m
GMT/BUSD,0,230.86%,454.29,56d 8h 5m
GMT/BUSD,0,220.38%,829.83,60d 14h 13m
GMT/BUSD,1,184.55%,319.98,48d 6h 9m
GMT/BUSD,0,172.54%,397.77,85d 5h 50m
GMT/BUSD,1,155.20%,682.97,46d 10h 8m
GMT/BUSD,0,143.14%,868.27,69d 5h 3m
ANC/USDT,44,128.91%,53.32,56d 12h 49m
GMT/BUSD,0,120.06%,316.47,74d 6h 9m
GMT/BUSD,0,113.57%,382.32,72d 21h 48m
GMT/BUSD,0,107.72%,579.83,81d 13h 28m
GMT/BUSD,0,106.71%,563.77,84d 12h 57m
GMT/BUSD,0,98.78%,398.96,73d 2h 40m
ANC/BNB,6,96.47%,83.21,58d 13h 13m
GMT/BUSD,0,96.19%,270.31,76d 16h 33m
PEOPLE/USDT,2,87.57%,709.32,55d 15h 10m
GMT/BUSD,0,83.24%,406.54,75d 14h 7m
GMT/BUSD,0,83.11%,460.09,70d 10h 4m
UMA/BUSD,1,83.03%,244.40,63d 4h 38m
GMT/BUSD,1,80.71%,66.53,75d 2h 19m
TCT/BTC,3,79.27%,28.53,60d 13h 47m
FORTH/BUSD,0,73.97%,85.72,44d 23h 52m
GMT/BUSD,0,72.87%,1266.23,78d 4h 21m
TRX/BUSD,1,64.50%,300.30,96d 10h 23m
CVX/BUSD,0,61.94%,2397.61,27d 6h 58m
FLM/BTC,3,60.31%,58.09,74d 17h 53m
ASR/USDT,2,58.85%,40.14,51d 9h 27m
GMT/BUSD,0,58.71%,1765.78,75d 9h 22m
TRX/BUSD,0,58.33%,1869.75,87d 1h 46m
GMT/BUSD,0,57.57%,123.29,76d 11m
PEOPLE/USDT,1,57.19%,83.37,61d 11h 46m
FORTH/BUSD,0,56.78%,62.28,58d 8h 37m
MATIC/USDT,9,56.40%,379.99,24d 12h 22m
OG/USDT,3,56.01%,792.81,50d 7h 15m
PAXG/BTC,4,54.98%,175.30,70d 15h 4m
GMT/BUSD,0,54.14%,351.01,69d 9h 40m
CTXC/USDT,2,54.14%,56.18,62d 3h 14m
KP3R/USDT,0,53.65%,59.76,61d 6h 18m
GMT/BUSD,9,49.35%,104.48,25d 10h 16m
GMT/BUSD,0,49.00%,77.81,48d 2h 52m
RARE/BNB,1,48.36%,29.68,57d 22h 50m
UNI/BTC,0,47.99%,857.98,46d 20h 14m
BNB/ETH,9,47.36%,259.01,101d 16h 17m
ASR/USDT,0,47.34%,249.68,39d 6h 20m
GMT/BUSD,0,47.27%,444.59,25d 13h 4m
COCOS/BNB,0,47.12%,172.62,46d 4h 36m
LINK/ETH,2,47.11%,187.73,63d 14h 34m
PEOPLE/BTC,1,46.94%,901.91,63d 7h 42m
REQ/BTC,0,46.53%,21.74,51d 47m
GMT/BUSD,1,46.52%,62.28,25d 12h 36m
DYDX/USDT,1,45.06%,405.46,26d 11h 12m
GMT/BUSD,0,44.73%,20.35,25d 13h 37m
GMT/BUSD,1,44.66%,18.13,25d 14h 8m
COCOS/USDT,0,44.20%,208.81,40d 9h 31m
