cryptoPair,copyPopularity,roi,pnl,runningTime
ETH/USDT,1,38.71%,1537.45,31d 15h 9m
BEL/BUSD,1,38.58%,118.90,52d 23h 7m
HIGH/BTC,0,38.38%,79.42,50d 18h 22m
ADA/USDT,14,38.15%,738.62,70d 25m
PORTO/USDT,0,38.08%,57.41,55d 11h 9m
FTM/USDT,1,37.83%,337.89,35d 18h 42m
OG/USDT,0,37.66%,43.91,41d 18h 36m
QI/BUSD,0,37.59%,60.18,38d 8h 42m
GMT/BUSD,0,37.29%,100.50,36d 21h 20m
ENS/USDT,0,37.19%,872.69,67d 17h 10m
SAND/USDT,1,37.07%,127.66,35d 20h 16m
ETH/USDT,0,36.91%,1144.00,20d 10h 23m
DEGO/USDT,0,36.67%,60.71,38d 12h 12m
ENS/BUSD,1,36.25%,45.98,68d 18h 10m
CRV/USDT,0,36.21%,391.36,23d 6h 37m
SOL/BUSD,2,35.91%,1113.71,32d 20h 1m
SHIB/DOGE,0,35.75%,23.79,72d 17h 47m
ETH/USDT,2,35.44%,391.37,16d 19h 36m
JASMY/BTC,0,35.17%,89.08,95d 4h 50m
ETH/USDT,2,35.09%,213.91,8d 19h 19m
JUV/USDT,0,34.93%,105.87,32d 9h 33m
TRX/USDT,4,34.93%,160.92,84d 1h 33m
REQ/BTC,0,34.80%,42.04,32d 21h 10m
TCT/USDT,1,34.76%,53.22,41d 10h 37m
UNI/BNB,1,34.33%,4734.09,56d 5h 21m
AR/BTC,0,34.30%,3.53,68d 5h 43m
TCT/BTC,0,34.04%,22.11,91d 15h 11m
PSG/BTC,2,33.98%,147.29,62d 21h 42m
MITH/BTC,1,33.65%,44.71,4d 13h 58m
ATOM/BTC,0,33.65%,206.63,49d 7h 43m
VOXEL/BUSD,0,33.40%,122.58,37d 18h 7m
ENS/USDT,0,33.20%,229.25,55d 8h 50m
THETA/BUSD,4,33.15%,108.84,43d 16h 22m
AAVE/USDT,0,33.10%,595.97,20d 21h 59m
