cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1273,919.00%,8078.50,53d 18h 51m
GMT/BUSD,17,685.92%,667.71,63d 16h 27m
GMT/BUSD,8,585.77%,590.62,62d 3h 8m
GMT/BUSD,5,468.49%,501.91,61d 23h 3m
GMT/BUSD,5,329.57%,530.73,60d 1h 15m
GMT/BUSD,1,327.09%,632.30,86d 18h 54m
GMT/BUSD,1,313.65%,419.80,53d 46m
GMT/BUSD,7,311.02%,10969.49,69d 17h 36m
GMT/BUSD,1,302.90%,1472.56,87d 2h 24m
GMT/BUSD,6,292.00%,1049.03,56d 3h 23m
GMT/BUSD,0,241.12%,800.76,56d 14h 26m
GMT/BUSD,1,239.98%,454.40,56d 21h 6m
GMT/BUSD,0,238.68%,640.25,58d 19h 27m
GMT/BUSD,0,234.54%,461.53,58d 14h 5m
GMT/BUSD,0,224.16%,844.06,62d 20h 13m
GMT/BUSD,1,189.17%,327.98,50d 12h 9m
GMT/BUSD,0,173.98%,401.10,87d 11h 50m
GMT/BUSD,1,158.87%,699.11,48d 16h 8m
ANC/USDT,46,129.82%,53.70,58d 18h 49m
GMT/BUSD,0,121.54%,320.40,76d 12h 9m
GMT/BUSD,0,115.12%,387.56,75d 3h 48m
GMT/BUSD,0,109.30%,588.34,83d 19h 28m
GMT/BUSD,0,108.29%,572.14,86d 18h 57m
GMT/BUSD,0,100.35%,405.33,75d 8h 40m
GMT/BUSD,0,97.61%,274.28,78d 22h 33m
ANC/BNB,6,96.07%,86.77,60d 19h 13m
UMA/BUSD,1,87.73%,258.22,65d 10h 38m
PEOPLE/USDT,3,87.19%,706.24,57d 21h 10m
GMT/BUSD,0,84.73%,469.06,72d 16h 4m
GMT/BUSD,0,84.73%,413.81,77d 20h 7m
GMT/BUSD,1,82.09%,67.67,77d 8h 19m
TCT/BTC,4,78.39%,29.49,62d 19h 47m
FORTH/BUSD,0,75.64%,87.65,47d 5h 52m
GMT/BUSD,0,74.53%,1295.10,80d 10h 21m
MATIC/USDT,10,72.06%,485.51,26d 18h 22m
CVX/BUSD,0,68.75%,2660.97,29d 12h 58m
ASR/USDT,3,66.26%,45.19,53d 15h 27m
TRX/BUSD,2,66.10%,307.76,98d 16h 23m
OG/USDT,3,65.84%,931.94,52d 13h 15m
ASR/USDT,0,65.83%,347.18,41d 12h 20m
DYDX/USDT,2,61.86%,556.54,28d 17h 12m
FLM/BTC,4,60.21%,60.63,76d 23h 53m
GMT/BUSD,0,60.11%,1808.00,77d 15h 22m
TRX/BUSD,0,59.87%,1919.15,89d 7h 46m
KP3R/USDT,1,59.87%,66.68,63d 12h 18m
GMT/BUSD,0,58.98%,126.32,78d 6h 11m
MATIC/USDT,0,58.67%,1052.55,31d 12h 32m
GMT/BUSD,10,58.31%,123.45,27d 16h 16m
FORTH/BUSD,0,58.25%,63.89,60d 14h 37m
PEOPLE/USDT,1,56.77%,82.76,63d 17h 46m
GMT/BUSD,0,55.73%,361.32,71d 15h 40m
GMT/BUSD,1,55.20%,73.90,27d 18h 36m
UNI/BTC,0,54.32%,1015.30,49d 2h 14m
CTXC/USDT,2,53.49%,55.51,64d 9h 14m
DODO/BUSD,5,53.10%,90.52,52d 10h 17m
GMT/BUSD,0,52.77%,24.02,27d 19h 37m
GMT/BUSD,1,52.60%,21.36,27d 20h 8m
PAXG/BTC,4,51.93%,173.10,72d 21h 4m
GMT/BUSD,0,51.81%,82.27,50d 8h 52m
GMT/BUSD,3,51.74%,26.25,27d 11h 8m
GMT/BUSD,0,51.73%,46.51,27d 10h 23m
GMT/BUSD,0,51.67%,485.97,27d 19h 4m
GMT/BUSD,0,49.76%,288.92,30d 20h 31m
GTC/BUSD,0,49.52%,404.74,60d 9h 29m
MATIC/USDT,1,49.03%,286.53,15d 15h 52m
RARE/BNB,1,48.89%,31.42,60d 4h 50m
GMT/BUSD,0,48.76%,407.55,28d 11h 8m
GMT/BUSD,0,48.36%,23.94,27d 21h 59m
COCOS/BNB,0,47.09%,180.66,48d 10h 36m
PEOPLE/BTC,1,46.92%,942.45,65d 13h 42m
TROY/BUSD,0,46.88%,130.63,51d 17h 15m
AR/BTC,0,46.35%,4.32,63d 4h 41m
COCOS/USDT,1,45.32%,214.10,42d 15h 31m
MATIC/USDT,0,44.58%,547.49,31d 13h 9m
AAVE/USDT,1,44.09%,234.22,15d 17h 17m
UMA/USDT,2,44.08%,118.27,30d 22h 57m
REQ/BTC,0,43.94%,21.46,53d 6h 47m
AAVE/ETH,1,43.49%,320.59,64d 21h 38m
SHIB/DOGE,0,42.97%,42.83,159d 12h 38m
ERN/BUSD,0,42.50%,153.45,32d 7h 12m
GMT/BUSD,0,42.36%,17.43,27d 22h 27m
BNB/ETH,9,42.01%,258.54,103d 22h 17m
FLM/BTC,0,41.98%,33.70,78d 20h 51m
DUSK/BTC,0,41.93%,146.39,62d 6h 28m
LINK/USDT,1,41.93%,208.96,34d 2h 17m
GMT/USDT,2,41.77%,409.35,65d 21h 5m
GMT/BUSD,0,41.71%,16.84,28d 13h 15m
KP3R/USDT,3,41.65%,39.15,19d 12h 37m
KEY/USDT,0,41.37%,92.33,52d 10h 18m
LAZIO/BUSD,2,41.24%,111.33,55d 1h 17m
TRU/BTC,2,41.01%,37.96,20d 16h 14m
TCT/USDT,1,40.66%,53.08,34d 19h 43m
GMT/BUSD,0,40.64%,754.27,28d 10h 38m
TRX/USDT,0,40.56%,737.51,87d 20h 12m
LINK/ETH,2,39.67%,177.90,65d 20h 34m
BEL/BUSD,1,39.38%,121.36,47d 22h 5m
BETA/ETH,0,39.30%,30.39,47d 12h 19m
THETA/USDT,0,39.25%,84.85,54d 8h 16m
GMT/BUSD,0,39.24%,123.36,79d 9h 10m
GMT/BUSD,1,39.17%,17.64,26d 15h 57m
PSG/BTC,1,38.90%,152.62,57d 20h 39m
GMT/BUSD,0,38.41%,16.87,28d 18h
GMT/BUSD,2,38.20%,24.28,26d 10h 46m
JASMY/BTC,0,38.12%,87.38,90d 3h 48m
SOL/USDT,35,37.99%,45.38,30d 21h 33m
ANC/USDT,2,37.46%,50.56,34d 1h 32m
UNI/BNB,1,37.39%,4805.03,51d 4h 18m
ETH/USDT,194,36.66%,37785.25,27d 8h 48m
ENS/USDT,1,36.65%,65.99,63d 7h 16m
SAND/USDT,1,35.86%,123.52,30d 19h 13m
GMT/BUSD,0,35.77%,13.11,26d 13h 18m
LINK/USDT,1,35.76%,46.39,64d 17h 27m
SOL/BUSD,19,35.66%,660.98,33d 1h 24m
MATIC/BTC,0,35.36%,329.52,30d 9h 40m
TRX/BTC,1,35.07%,27.78,67d 16h 27m
OG/USDT,0,35.00%,40.81,36d 17h 33m
LINK/USDT,0,34.94%,35.43,64d 19h 35m
GMT/BUSD,0,34.74%,62.41,29d 9h 45m
MDX/BUSD,0,34.74%,125.34,32d 7h 13m
TRX/USDT,4,34.65%,159.64,79d 30m
RARE/BUSD,0,34.64%,37.72,50d 6h 36m
THETA/BTC,3,34.62%,65.35,38d 9h 45m
FIRO/USDT,0,34.62%,308.83,1d 18h 7m
AVAX/USDT,6,34.61%,310.66,30d 17h 44m
HIGH/BTC,0,34.11%,63.89,45d 17h 19m
SHIB/DOGE,0,34.06%,20.65,67d 16h 45m
OOKI/BUSD,0,33.86%,122.38,62d 17h 15m
PAXG/BTC,1,33.60%,395.47,64d 2h 6m
TCT/BTC,0,33.54%,19.71,86d 14h 9m
ANC/BTC,1,33.51%,31.22,35d 18h 33m
CRV/BUSD,0,33.08%,953.78,29d 12h 49m
REQ/BTC,0,33.01%,36.10,27d 20h 7m
ATOM/BTC,0,32.83%,182.50,44d 6h 41m
DODO/BTC,0,32.75%,156.53,56d 16h 18m
CRV/USDT,0,32.47%,350.97,18d 5h 34m
BNB/ETH,1,32.41%,223.57,186d 10h 17m
ENS/BUSD,1,32.39%,30.60,63d 21h 11m
EGLD/USDT,6,32.38%,198.14,33d 14h 18m
ADA/USDT,12,32.09%,621.20,64d 23h 22m
AAVE/ETH,0,31.93%,124.66,53d 3h 48m
LAZIO/BUSD,2,31.54%,20.11,57d 18h 10m
ATOM/USDT,0,31.48%,566.07,32d 19h 35m
DEGO/BTC,0,31.39%,164.12,27d 7h 37m
GMT/BUSD,0,31.24%,84.20,31d 20h 17m
SOL/BTC,3,31.20%,3.39,38d 22h 18m
JUV/USDT,0,31.13%,94.36,27d 8h 31m
DEGO/USDT,0,31.09%,51.47,33d 11h 9m
PAXG/BNB,0,31.09%,661.19,51d 16h 44m
AAVE/USDT,0,31.05%,559.04,15d 20h 56m
SOL/ETH,2,30.81%,154.10,41d 9h 45m
ANC/BUSD,1,30.75%,38.78,33d 7h 39m
UNI/USDT,0,30.59%,25.04,62d 4h 40m
GMT/BUSD,0,30.49%,222.06,78d 23h 32m
MATIC/BUSD,0,30.44%,5641.87,15d 14h 7m
QI/BUSD,0,30.41%,48.69,33d 7h 40m
CTK/USDT,0,30.28%,217.93,43d 9h 57m
SOL/BUSD,2,30.18%,936.13,27d 18h 59m
TRX/BUSD,0,30.17%,1034.82,82d 3h 12m
TRX/BTC,0,29.82%,138.77,68d 20h 15m
ASR/USDT,0,29.55%,30.89,34d 10h 25m
UNI/BUSD,2,29.34%,105.37,63d 14h 15m
DOGE/BTC,0,29.32%,92.71,104d 12h 51m
BNB/ETH,0,29.27%,146.91,185d 9h 6m
DUSK/BTC,0,29.22%,1096.40,33d 17h 33m
TRU/USDT,4,29.19%,94.60,8d 14h 29m
IMX/BTC,0,28.95%,94.74,54d 19h 8m
APE/BUSD,3,28.94%,288.28,28d 2h 16m
SOL/USDT,1,28.81%,102.90,32d 21h 3m
KP3R/USDT,0,28.60%,50.11,55d 17h 53m
TRX/USDT,0,28.56%,132.96,81d 21h 44m
XMR/USDT,1,28.49%,980.09,30d 20h 36m
BNB/ETH,0,28.48%,239.75,155d 3h 27m
