cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1143,915.26%,8045.65,50d 4h 51m
GMT/BUSD,15,682.96%,664.83,60d 2h 27m
GMT/BUSD,8,582.26%,587.08,58d 13h 8m
GMT/BUSD,5,464.90%,498.07,58d 9h 3m
GMT/BUSD,5,325.55%,524.25,56d 11h 15m
GMT/BUSD,1,325.47%,629.17,83d 4h 54m
GMT/BUSD,1,309.95%,414.84,49d 10h 46m
GMT/BUSD,7,308.97%,10896.87,66d 3h 36m
GMT/BUSD,1,301.29%,1464.73,83d 12h 24m
GMT/BUSD,6,287.80%,1033.97,52d 13h 23m
GMT/BUSD,0,236.79%,786.35,53d 26m
GMT/BUSD,1,236.26%,447.36,53d 7h 6m
GMT/BUSD,0,235.00%,630.37,55d 5h 27m
GMT/BUSD,0,230.79%,454.16,55d 5m
GMT/BUSD,0,220.32%,829.57,59d 6h 13m
GMT/BUSD,1,184.47%,319.84,46d 22h 9m
GMT/BUSD,0,172.51%,397.71,83d 21h 49m
GMT/BUSD,1,155.14%,682.68,45d 2h 8m
GMT/BUSD,0,143.11%,868.06,67d 21h 3m
ANC/USDT,43,124.15%,51.36,55d 4h 49m
GMT/BUSD,0,120.03%,316.40,72d 22h 9m
GMT/BUSD,0,113.54%,382.23,71d 13h 48m
GMT/BUSD,0,107.69%,579.68,80d 5h 28m
GMT/BUSD,0,106.68%,563.62,83d 4h 57m
GMT/BUSD,0,98.75%,398.85,71d 18h 40m
GMT/BUSD,0,96.17%,270.23,75d 8h 33m
ANC/BNB,6,92.65%,80.02,57d 5h 13m
PEOPLE/USDT,2,86.49%,700.59,54d 7h 10m
GMT/BUSD,0,83.21%,406.41,74d 6h 7m
GMT/BUSD,0,83.08%,459.92,69d 2h 4m
UMA/BUSD,1,82.22%,242.02,61d 20h 38m
GMT/BUSD,1,80.68%,66.51,73d 18h 18m
FORTH/BUSD,0,75.55%,87.55,43d 15h 52m
GMT/BUSD,0,72.84%,1265.71,76d 20h 21m
TCT/BTC,3,68.41%,24.71,59d 5h 47m
TRX/BUSD,1,64.17%,298.77,95d 2h 23m
FORTH/BUSD,0,62.20%,68.22,57d 37m
ASR/USDT,2,61.28%,41.79,50d 1h 27m
OG/USDT,3,60.45%,855.61,48d 23h 15m
FLM/BTC,3,59.17%,57.20,73d 9h 52m
GMT/BUSD,0,58.68%,1765.02,74d 1h 22m
TRX/BUSD,0,58.09%,1861.99,85d 17h 46m
GMT/BUSD,0,57.54%,123.24,74d 16h 11m
PEOPLE/USDT,1,55.09%,80.31,60d 3h 46m
KP3R/USDT,0,54.74%,60.97,59d 22h 18m
PAXG/BTC,4,54.47%,174.29,69d 7h 4m
GMT/BUSD,0,54.11%,350.83,68d 1h 40m
MATIC/USDT,9,52.85%,356.13,23d 4h 22m
ASR/USDT,0,50.59%,266.81,37d 22h 20m
CVX/BUSD,0,50.35%,1949.02,25d 22h 58m
DYDX/USDT,1,49.52%,445.60,25d 3h 12m
LINK/ETH,2,49.33%,194.71,62d 6h 34m
GMT/BUSD,9,49.18%,104.14,24d 2h 16m
CTXC/USDT,2,48.59%,50.42,60d 19h 14m
GMT/BUSD,0,48.47%,76.96,46d 18h 52m
RARE/BNB,1,48.36%,29.72,56d 14h 50m
BNB/ETH,9,48.02%,260.18,100d 8h 17m
REQ/BTC,0,47.54%,22.29,49d 16h 47m
PEOPLE/BTC,1,46.94%,905.01,61d 23h 42m
GMT/BUSD,0,46.61%,438.33,24d 5h 4m
COCOS/BNB,0,46.58%,170.89,44d 20h 36m
GMT/BUSD,1,46.36%,62.07,24d 4h 36m
UNI/BTC,0,45.38%,814.07,45d 12h 14m
GMT/BUSD,0,44.58%,20.29,24d 5h 37m
GMT/BUSD,1,44.52%,18.08,24d 6h 8m
GTC/BUSD,0,43.72%,357.34,56d 19h 29m
GMT/BUSD,3,43.53%,22.09,23d 21h 8m
AAVE/ETH,1,43.24%,280.65,61d 7h 38m
GMT/BUSD,0,43.22%,38.86,23d 20h 23m
GMT/BUSD,0,42.95%,249.40,27d 6h 31m
COCOS/USDT,0,42.48%,200.68,39d 1h 31m
TROY/BUSD,0,42.48%,118.38,48d 3h 14m
SHIB/DOGE,0,41.55%,40.86,155d 22h 38m
KEY/USDT,0,41.44%,92.50,48d 20h 18m
DUSK/BTC,0,41.03%,137.50,58d 16h 28m
FLM/BTC,0,40.57%,31.27,75d 6h 51m
GMT/BUSD,0,40.37%,19.98,24d 7h 59m
GMT/BUSD,0,40.07%,334.97,24d 21h 8m
LINK/USDT,0,39.22%,195.44,30d 12h 17m
UMA/USDT,1,39.07%,104.83,27d 8h 57m
TRU/BTC,2,39.01%,34.66,17d 2h 14m
BEL/BUSD,1,38.67%,119.19,44d 8h 5m
TRX/USDT,0,38.47%,699.56,84d 6h 12m
GMT/USDT,10,38.43%,1164.80,23d 6h 55m
JASMY/BTC,0,38.21%,84.07,86d 13h 48m
BETA/ETH,0,38.04%,25.90,43d 22h 18m
BNB/ETH,1,37.92%,230.22,182d 20h 17m
GMT/BUSD,0,37.83%,118.92,75d 19h 10m
GMT/BUSD,0,37.66%,975.08,25d 21h 3m
THETA/BTC,3,37.18%,67.37,34d 19h 45m
PAXG/BTC,1,37.09%,419.08,60d 12h 6m
THETA/USDT,0,36.98%,79.94,50d 18h 16m
CTK/USDT,0,36.91%,199.29,56d 11h 59m
GMT/USDT,2,36.87%,361.30,62d 7h 5m
GMT/BUSD,0,36.15%,670.97,24d 20h 38m
DODO/BUSD,5,35.83%,61.07,48d 20h 17m
MATIC/USDT,0,35.82%,642.65,27d 22h 32m
TRX/BTC,1,35.03%,26.64,64d 2h 27m
GMT/BUSD,0,34.87%,14.35,24d 8h 27m
LINK/USDT,1,34.69%,45.00,61d 3h 27m
BNB/ETH,0,34.66%,153.15,181d 19h 6m
PAXG/BNB,0,34.51%,701.89,48d 2h 44m
ERN/BUSD,0,34.40%,124.22,28d 17h 12m
GMT/BUSD,0,34.27%,13.84,24d 23h 15m
FORTH/USDT,1,33.59%,166.29,52d 23h 52m
LINK/USDT,0,33.55%,34.02,61d 5h 35m
SHIB/DOGE,0,33.48%,20.03,64d 2h 45m
MDX/BUSD,0,33.21%,119.84,28d 17h 13m
TRX/USDT,4,33.12%,152.61,75d 10h 30m
BNB/ETH,0,33.03%,244.76,151d 13h 27m
REQ/BTC,0,32.77%,34.40,24d 6h 7m
SOL/USDT,30,32.65%,39.00,27d 7h 33m
DODO/BTC,0,32.64%,149.74,53d 2h 18m
SAND/USDT,1,32.56%,112.15,27d 5h 13m
AAVE/BUSD,6,32.55%,119.76,27d 9h 5m
PSG/BTC,1,32.39%,121.97,54d 6h 39m
BNB/ETH,1,32.36%,188.58,62d 21h 18m
OOKI/BUSD,0,32.28%,116.66,59d 3h 15m
GMT/BUSD,0,32.27%,13.88,23d 47m
LAZIO/BUSD,2,32.10%,86.64,51d 11h 17m
GMT/BUSD,0,32.06%,57.59,25d 19h 45m
SOL/ETH,2,32.01%,140.95,37d 19h 44m
TRU/BTC,0,31.90%,12.81,16d 17h 42m
GMT/BUSD,1,31.78%,14.32,23d 1h 57m
KP3R/USDT,3,31.67%,29.78,15d 22h 37m
BNB/ETH,0,31.53%,185.28,59d 3h 21m
ENS/USDT,1,31.35%,56.44,59d 17h 16m
TCT/BTC,0,31.09%,17.54,83d 9m
GMT/BUSD,0,31.09%,13.65,25d 4h
GMT/BUSD,2,30.65%,19.48,22d 20h 46m
SOL/BUSD,16,30.65%,568.09,29d 11h 24m
MATIC/USDT,0,30.42%,373.65,27d 23h 9m
ADA/USDT,8,30.36%,587.78,61d 9h 22m
CTK/USDT,0,30.29%,218.02,39d 19h 57m
ANC/USDT,2,30.26%,40.85,30d 11h 32m
ANC/BTC,1,29.99%,26.83,32d 4h 33m
OG/USDT,0,29.68%,34.61,33d 3h 33m
UNI/BNB,1,29.65%,3643.69,47d 14h 18m
FORTH/USDT,0,29.65%,17810.58,56d 11h 26m
MATIC/USDT,1,29.63%,164.30,22d 21h 10m
TRX/BTC,0,29.38%,131.27,65d 6h 15m
ADA/ETH,0,29.37%,182.89,84d 19h 39m
TRX/BTC,0,29.22%,224.70,62d 1m
DOGE/BTC,0,29.14%,88.42,100d 22h 51m
GMT/BUSD,0,29.04%,211.47,75d 9h 32m
IMX/BTC,0,28.95%,90.94,51d 5h 7m
KEY/USDT,0,28.94%,52.10,39d 16h 54m
GMT/BUSD,0,28.76%,10.54,22d 23h 18m
DUSK/BTC,0,28.22%,1016.09,30d 3h 33m
MATIC/USDT,1,28.13%,164.42,12d 1h 51m
TRX/BUSD,0,28.12%,964.64,78d 13h 12m
SHIB/DOGE,0,28.09%,1857.12,62d 7h 16m
ATOM/USDT,0,27.95%,502.59,29d 5h 35m
MATIC/BTC,0,27.93%,249.88,26d 19h 40m
WAVES/BTC,2,27.74%,45.55,62d 5h 54m
UNI/USDT,0,27.38%,22.41,58d 14h 40m
ATOM/BTC,0,27.33%,145.82,40d 16h 41m
AVAX/USDT,6,27.29%,244.99,27d 3h 43m
SHIB/DOGE,0,27.26%,15.22,96d 20h 52m
DEGO/BTC,0,27.14%,136.18,23d 17h 37m
ENS/BUSD,1,26.94%,25.45,60d 7h 11m
DOGE/BTC,3,26.91%,13.60,105d 21h 16m
ROSE/BTC,0,26.87%,47.97,60d 18h 47m
BNB/ETH,0,26.83%,18.29,166d 14h 34m
JASMY/BTC,0,26.58%,171.08,40d 21m
SHIB/DOGE,0,26.51%,374.34,62d 14h 54m
UMA/BTC,0,26.49%,289.67,27d 4h 36m
GMT/BUSD,0,26.31%,70.91,28d 6h 17m
RARE/BUSD,0,26.23%,28.56,46d 16h 36m
TRX/USDT,0,26.22%,122.06,78d 7h 44m
XMR/USDT,0,26.08%,927.74,27d 6h 40m
AAVE/ETH,0,26.06%,89.57,49d 13h 48m
CRV/BUSD,0,26.02%,750.41,25d 22h 49m
SOL/BTC,3,26.00%,2.71,35d 8h 18m
THETA/BUSD,4,25.97%,85.28,35d 1h 19m
LINK/ETH,1,25.91%,147.20,84d 19h 41m
UNI/BUSD,2,25.84%,92.81,60d 14m
SHIB/DOGE,0,25.83%,31.09,163d 5h 7m
ADA/BTC,0,25.82%,125.46,69d 15h 41m
XMR/USDT,1,25.78%,887.17,27d 6h 36m
HIGH/BTC,0,25.78%,46.36,42d 3h 19m
