cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1176,914.89%,8042.39,51d 7h 51m
GMT/BUSD,17,682.67%,664.54,61d 5h 27m
GMT/BUSD,8,581.87%,586.69,59d 16h 8m
GMT/BUSD,5,464.50%,497.64,59d 12h 3m
GMT/BUSD,1,325.29%,628.82,84d 7h 54m
GMT/BUSD,5,325.10%,523.54,57d 14h 15m
GMT/BUSD,1,309.51%,414.25,50d 13h 46m
GMT/BUSD,7,308.74%,10888.82,67d 6h 36m
GMT/BUSD,1,301.11%,1463.86,84d 15h 24m
GMT/BUSD,6,287.39%,1032.47,53d 16h 23m
GMT/BUSD,0,236.37%,784.98,54d 3h 26m
GMT/BUSD,1,235.85%,446.58,54d 10h 6m
GMT/BUSD,0,234.63%,629.39,56d 8h 27m
GMT/BUSD,0,230.42%,453.42,56d 3h 5m
GMT/BUSD,0,219.89%,827.97,60d 9h 13m
GMT/BUSD,1,183.91%,318.86,48d 1h 9m
GMT/BUSD,0,172.35%,397.33,85d 50m
GMT/BUSD,1,154.72%,680.87,46d 5h 8m
GMT/BUSD,0,142.87%,866.62,69d 3m
ANC/USDT,43,129.11%,53.40,56d 7h 49m
GMT/BUSD,0,119.86%,315.96,74d 1h 9m
GMT/BUSD,0,113.35%,381.59,72d 16h 48m
GMT/BUSD,0,107.50%,578.64,81d 8h 28m
GMT/BUSD,0,106.48%,562.59,84d 7h 57m
GMT/BUSD,0,98.57%,398.13,72d 21h 40m
ANC/BNB,6,97.29%,83.43,58d 8h 13m
GMT/BUSD,0,95.99%,269.75,76d 11h 33m
PEOPLE/USDT,2,86.06%,697.07,55d 10h 11m
UMA/BUSD,1,83.70%,246.38,62d 23h 38m
GMT/BUSD,0,83.04%,405.59,75d 9h 7m
GMT/BUSD,0,82.90%,458.91,70d 5h 4m
GMT/BUSD,1,80.53%,66.38,74d 21h 19m
FORTH/BUSD,0,73.39%,85.05,44d 18h 53m
GMT/BUSD,0,72.65%,1262.45,77d 23h 21m
TCT/BTC,3,70.02%,25.18,60d 8h 47m
TRX/BUSD,1,64.57%,300.64,96d 5h 23m
FLM/BTC,3,59.57%,57.32,74d 12h 53m
ASR/USDT,2,58.98%,40.22,51d 4h 28m
GMT/BUSD,0,58.53%,1760.25,75d 4h 22m
TRX/BUSD,0,58.39%,1871.59,86d 20h 46m
CVX/BUSD,0,57.77%,2236.10,27d 1h 58m
GMT/BUSD,0,57.38%,122.90,75d 19h 11m
OG/USDT,3,57.02%,807.03,50d 2h 15m
