cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1139,915.14%,8044.58,50d 2h 51m
GMT/BUSD,15,682.87%,664.73,60d 27m
GMT/BUSD,8,582.15%,586.97,58d 11h 8m
GMT/BUSD,5,464.79%,497.94,58d 7h 3m
GMT/BUSD,1,325.41%,629.06,83d 2h 54m
GMT/BUSD,5,325.40%,524.02,56d 9h 15m
GMT/BUSD,1,309.83%,414.68,49d 8h 46m
GMT/BUSD,7,308.89%,10894.22,66d 1h 36m
GMT/BUSD,1,301.23%,1464.44,83d 10h 24m
GMT/BUSD,6,287.67%,1033.48,52d 11h 23m
GMT/BUSD,0,236.65%,785.90,52d 22h 26m
GMT/BUSD,1,236.12%,447.11,53d 5h 6m
GMT/BUSD,0,234.88%,630.05,55d 3h 27m
GMT/BUSD,0,230.67%,453.92,54d 22h 5m
GMT/BUSD,0,220.18%,829.05,59d 4h 13m
GMT/BUSD,1,184.30%,319.54,46d 20h 9m
GMT/BUSD,0,172.46%,397.59,83d 19h 49m
GMT/BUSD,1,155.02%,682.15,45d 8m
GMT/BUSD,0,143.04%,867.62,67d 19h 3m
ANC/USDT,43,124.38%,51.45,55d 2h 49m
GMT/BUSD,0,119.97%,316.26,72d 20h 8m
GMT/BUSD,0,113.48%,382.04,71d 11h 48m
GMT/BUSD,0,107.63%,579.36,80d 3h 28m
GMT/BUSD,0,106.62%,563.31,83d 2h 57m
GMT/BUSD,0,98.69%,398.64,71d 16h 40m
GMT/BUSD,0,96.12%,270.10,75d 6h 33m
ANC/BNB,6,93.32%,80.03,57d 3h 13m
PEOPLE/USDT,2,86.05%,696.99,54d 5h 10m
GMT/BUSD,0,83.16%,406.17,74d 4h 7m
GMT/BUSD,0,83.02%,459.59,69d 3m
UMA/BUSD,1,82.38%,242.49,61d 18h 38m
GMT/BUSD,1,80.63%,66.46,73d 16h 18m
FORTH/BUSD,0,76.30%,88.42,43d 13h 52m
GMT/BUSD,0,72.78%,1264.64,76d 18h 21m
TCT/BTC,3,70.02%,25.23,59d 3h 47m
TRX/BUSD,1,64.14%,298.62,95d 23m
FORTH/BUSD,0,63.73%,69.90,56d 22h 37m
OG/USDT,3,60.97%,863.05,48d 21h 15m
ASR/USDT,2,60.58%,41.31,49d 23h 27m
FLM/BTC,3,59.12%,57.00,73d 7h 52m
GMT/BUSD,0,58.64%,1763.62,73d 23h 22m
TRX/BUSD,0,58.08%,1861.68,85d 15h 46m
GMT/BUSD,0,57.49%,123.13,74d 14h 11m
PEOPLE/USDT,1,54.82%,79.91,60d 1h 46m
PAXG/BTC,4,54.76%,174.78,69d 5h 4m
GMT/BUSD,0,54.06%,350.49,67d 23h 40m
KP3R/USDT,0,52.17%,58.10,59d 20h 17m
CVX/BUSD,0,50.79%,1965.91,25d 20h 58m
MATIC/USDT,9,50.76%,342.01,23d 2h 22m
ASR/USDT,0,49.65%,261.87,37d 20h 20m
LINK/ETH,2,49.51%,194.75,62d 4h 34m
CTXC/USDT,2,48.95%,50.80,60d 17h 14m
GMT/BUSD,9,48.85%,103.44,24d 16m
