cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1273,918.49%,8074.01,53d 19h 51m
GMT/BUSD,17,685.52%,667.32,63d 17h 27m
GMT/BUSD,8,585.29%,590.13,62d 4h 8m
GMT/BUSD,5,468.00%,501.38,62d 3m
GMT/BUSD,5,329.02%,529.84,60d 2h 15m
GMT/BUSD,1,326.87%,631.88,86d 19h 54m
GMT/BUSD,1,313.15%,419.12,53d 1h 46m
GMT/BUSD,7,310.74%,10959.56,69d 18h 36m
GMT/BUSD,1,302.68%,1471.49,87d 3h 24m
GMT/BUSD,6,291.45%,1047.08,56d 4h 23m
GMT/BUSD,0,240.55%,798.86,56d 15h 26m
GMT/BUSD,1,239.47%,453.44,56d 22h 6m
GMT/BUSD,0,238.18%,638.90,58d 20h 27m
GMT/BUSD,0,234.03%,460.53,58d 15h 5m
GMT/BUSD,0,223.64%,842.08,62d 21h 13m
GMT/BUSD,1,188.52%,326.87,50d 13h 9m
GMT/BUSD,0,173.78%,400.64,87d 12h 49m
GMT/BUSD,1,158.44%,697.24,48d 17h 8m
ANC/USDT,46,129.05%,53.38,58d 19h 49m
GMT/BUSD,0,121.34%,319.85,76d 13h 8m
GMT/BUSD,0,114.91%,386.83,75d 4h 48m
GMT/BUSD,0,109.08%,587.15,83d 20h 28m
GMT/BUSD,0,108.07%,570.98,86d 19h 57m
GMT/BUSD,0,100.13%,404.44,75d 9h 40m
GMT/BUSD,0,97.41%,273.73,78d 23h 33m
ANC/BNB,6,95.69%,85.77,60d 20h 13m
UMA/BUSD,1,87.38%,257.20,65d 11h 38m
PEOPLE/USDT,3,86.22%,698.44,57d 22h 10m
GMT/BUSD,0,84.52%,412.80,77d 21h 7m
GMT/BUSD,0,84.51%,467.81,72d 17h 4m
GMT/BUSD,1,81.90%,67.51,77d 9h 18m
TCT/BTC,4,80.00%,29.87,62d 20h 47m
FORTH/BUSD,0,75.48%,87.47,47d 6h 52m
GMT/BUSD,0,74.30%,1291.08,80d 11h 21m
MATIC/USDT,10,71.37%,480.89,26d 19h 22m
OG/USDT,3,68.99%,976.47,52d 14h 15m
CVX/BUSD,0,67.58%,2615.85,29d 13h 58m
ASR/USDT,3,67.05%,45.72,53d 16h 27m
ASR/USDT,0,66.97%,353.19,41d 13h 20m
TRX/BUSD,2,65.49%,304.92,98d 17h 23m
DYDX/USDT,2,60.85%,547.49,28d 18h 12m
FLM/BTC,4,60.23%,60.18,77d 52m
GMT/BUSD,0,59.92%,1802.12,77d 16h 22m
KP3R/USDT,1,59.31%,66.05,63d 13h 17m
TRX/BUSD,0,59.23%,1898.64,89d 8h 46m
GMT/BUSD,0,58.79%,125.90,78d 7h 11m
FORTH/BUSD,0,58.00%,63.62,60d 15h 37m
MATIC/USDT,0,57.79%,1036.79,31d 13h 32m
GMT/BUSD,10,57.06%,120.81,27d 17h 16m
PEOPLE/USDT,1,56.14%,81.84,63d 18h 46m
GMT/BUSD,0,55.51%,359.88,71d 16h 40m
UNI/BTC,0,54.52%,1010.99,49d 3h 14m
GMT/BUSD,1,53.99%,72.28,27d 19h 36m
CTXC/USDT,2,52.94%,54.94,64d 10h 14m
PAXG/BTC,4,52.37%,173.22,72d 22h 4m
GMT/BUSD,0,51.65%,23.51,27d 20h 37m
GMT/BUSD,1,51.50%,20.91,27d 21h 8m
GMT/BUSD,0,51.48%,81.75,50d 9h 52m
GMT/BUSD,0,51.21%,481.65,27d 20h 4m
DODO/BUSD,5,51.04%,87.00,52d 11h 17m
GMT/BUSD,3,50.62%,25.68,27d 12h 8m
GMT/BUSD,0,50.57%,45.47,27d 11h 23m
PORTO/USDT,0,49.70%,92.63,55d 18h 47m
RARE/BNB,1,49.13%,31.34,60d 5h 50m
GTC/BUSD,0,48.96%,400.14,60d 10h 29m
GMT/BUSD,0,48.83%,283.51,30d 21h 31m
MATIC/USDT,1,48.19%,281.58,15d 16h 51m
GMT/BUSD,0,47.57%,397.63,28d 12h 8m
GMT/BUSD,0,47.27%,23.40,27d 22h 59m
COCOS/BNB,0,47.09%,179.29,48d 11h 36m
AR/BTC,0,47.02%,4.35,63d 5h 41m
PEOPLE/BTC,1,46.92%,935.13,65d 14h 42m
TROY/BUSD,0,46.12%,128.52,51d 18h 14m
LAZIO/BUSD,2,46.05%,124.31,55d 2h 17m
