cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1236,921.01%,8096.23,52d 13h 51m
GMT/BUSD,17,687.52%,669.26,62d 11h 27m
GMT/BUSD,8,587.66%,592.52,60d 22h 8m
GMT/BUSD,5,470.43%,503.98,60d 18h 4m
GMT/BUSD,5,331.74%,534.22,58d 20h 15m
GMT/BUSD,1,327.96%,634.00,85d 13h 54m
GMT/BUSD,1,315.65%,422.47,51d 19h 46m
GMT/BUSD,7,312.14%,11008.67,68d 12h 36m
GMT/BUSD,1,303.76%,1476.78,85d 21h 24m
GMT/BUSD,6,294.15%,1056.75,54d 22h 23m
GMT/BUSD,0,243.24%,807.79,55d 9h 26m
GMT/BUSD,1,241.98%,458.20,55d 16h 6m
GMT/BUSD,0,240.67%,645.58,57d 14h 27m
GMT/BUSD,0,236.56%,465.51,57d 9h 5m
GMT/BUSD,0,226.24%,851.87,61d 15h 13m
GMT/BUSD,1,191.70%,332.37,49d 7h 9m
GMT/BUSD,0,174.77%,402.93,86d 6h 50m
GMT/BUSD,1,160.55%,706.49,47d 11h 8m
GMT/BUSD,0,146.15%,886.54,70d 6h 3m
ANC/USDT,45,129.20%,53.44,57d 13h 49m
GMT/BUSD,0,122.36%,322.55,75d 7h 9m
GMT/BUSD,0,115.98%,390.44,73d 22h 48m
GMT/BUSD,0,110.17%,593.01,82d 14h 28m
GMT/BUSD,0,109.16%,576.74,85d 13h 57m
GMT/BUSD,0,101.22%,408.82,74d 3h 41m
GMT/BUSD,0,98.36%,276.40,77d 17h 33m
ANC/BNB,6,95.09%,86.29,59d 14h 13m
PEOPLE/USDT,2,88.94%,720.47,56d 16h 11m
UMA/BUSD,1,86.72%,255.27,64d 5h 38m
GMT/BUSD,0,85.63%,473.99,71d 11h 4m
GMT/BUSD,0,85.54%,417.80,76d 15h 7m
GMT/BUSD,1,82.85%,68.29,76d 3h 19m
TCT/BTC,4,77.61%,28.97,61d 14h 47m
FORTH/BUSD,0,75.96%,88.02,46d 53m
GMT/BUSD,0,75.44%,1310.96,79d 5h 21m
MATIC/USDT,9,73.31%,493.93,25d 13h 22m
CVX/BUSD,0,66.43%,2571.51,28d 7h 58m
TRX/BUSD,2,65.79%,306.31,97d 11h 23m
